"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"80","Nevada-Reno (Elevation Ultimate)","College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",79,"Nevada-Reno",1376,"Division I","Southwest","NorCal DI",22,16,284,1.19037855613171
"81","Alabama-Huntsville (Nightmares)","College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",74,"Alabama-Huntsville",1403,"Division III","Southeast","Western Southeast DIII",26,6,6,1.1481281721237
"82","Utah State (USULT)","College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",86,"Utah State",1330,"Division I","Northwest","Big Sky DI",16,15,461,1.14163016645052
"83","Chico State (Chico State Wildcats)","College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",173,"Chico State",983,"Division I","Southwest","NorCal DI",29,11,92,1.1297464024332
"84","Victoria (Vikes)","College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",68,"Victoria",1429,"Division I","Northwest","Cascadia DI",7,15,468,1.12674962415574
"85","Davidson (DUFF)","College","Men","Davidson","NC","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",71,"Davidson",1417,"Division III","Atlantic Coast","Carolina DIII",22,14,125,1.12146918278773
"86","Lehigh (Lehigh )","College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",80,"Lehigh",1369,"Division I","Ohio Valley","East Penn DIII",23,13,226,1.11729598376366
"87","California (California-Berkeley)","College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",94,"California",1297,"Division I","Southwest","NorCal DI",12,18,71,1.09896578169961
"88","North Carolina-Asheville (UNC Asheville Bulldogs)","College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",84,"North Carolina-Asheville",1340,"Division III","Atlantic Coast","Carolina DIII",17,8,288,1.08234837908669
"89","Boston College (Eagles)","College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",93,"Boston College",1309,"Division I","New England","Metro Boston DI",14,6,37,1.07428980356463
