"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"157","North Georgia","College","Women","Division III","Southeast","Southern Appalachian DI","6","11","/teams/events/Eventteam/?TeamId=7hBkPBwqvhUSBdzBIW7kTLeEBo8ygWFpX3vSf5VuuQ0%3d",0.0175749479670818
"158","Lewis & Clark","College","Women","Division III","Northwest","Northwest DIII","2","12","/teams/events/Eventteam/?TeamId=MAtH99eyVF%2fBNIo9YVs37Icj5hCUHkR0aDjEkSpc5bs%3d",0.017446521872702
"159","Texas-San Antonio","College","Women","Division I","South Central","Texas DI","11","9","/teams/events/Eventteam/?TeamId=zYw%2fFLnyV9wJriIun5XPxYGP6XOAOE1BWkFLKsjHjtg%3d",0.0168430431613243
"160","Missouri S&T","College","Women","Division III","South Central","South Central DIII","7","6","/teams/events/Eventteam/?TeamId=3hXStfnyuMBmM0GcOQ1y8XfbyaUgfxiXsiTT5FwrU4E%3d",0.0158855916984036
"161","Colorado B","College","Women","Developmental","South Central","Rocky Mountain DI","5","3","/teams/events/Eventteam/?TeamId=Ix5A%2fdLQlj%2b8aQtCi6yP6CwR3sloQzTMMcXO3Nj87xY%3d",0.0129310460972239
"162","Richmond","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII","7","4","/teams/events/Eventteam/?TeamId=h%2fLHIvvLejD4pEjT0ZrcG80ujYRT5pJGbcvfu13N7%2fo%3d",0.0123705161480984
"163","Salisbury","College","Women","Division I","Atlantic Coast","Colonial DI","6","13","/teams/events/Eventteam/?TeamId=tRb0Esip%2bZY2O1ZNHmwIRnEZ%2biWZRUjoFdMThNzUHQg%3d",0.0119339966536051
"164","Nevada-Reno","College","Women","Division I","Southwest","NorCal DI","3","8","/teams/events/Eventteam/?TeamId=FC3FeLHq4toa7apaT37TvxdWBBcbpeEuay3NhIqn5mQ%3d",0.0112294766769278
"165","Northeastern B","College","Women","Developmental","New England","New England Dev","10","11","/teams/events/Eventteam/?TeamId=0zXaKC%2fEhvZKpK09HRq%2bnVcItvt9NvoLQbTUlr2iVZw%3d",0.0109322683808859
"166","Montana","College","Women","Division I","Northwest","Big Sky DI","2","8","/teams/events/Eventteam/?TeamId=%2bquXdUAgZAajPeHi%2bR0xZ8cjX%2fbKKXJCONCoXZbka4I%3d",0.0100624861405722
"167","Illinois State","College","Women","Division I","Great Lakes","Illinois DI","2","7","/teams/events/Eventteam/?TeamId=7vHMnFyXR9aFaU6wkh9we7TDuNtxyCk8Qva8ksAMQng%3d",0.00981363272815846
"168","Kansas State","College","Women","Division I","South Central","Ozarks DI","6","7","/teams/events/Eventteam/?TeamId=z%2fW6ortmjYV7nzsER%2fq9jP1IUlUS6aREeAwaF1Lcaho%3d",0.00961555353289624
"169","Virginia Commonwealth","College","Women","Division I","Atlantic Coast","Virginia DI","7","12","/teams/events/Eventteam/?TeamId=MuwLlx4A3fZ9xMVizIE2x2r%2boBI0HoxsyeRjyhH%2ftFk%3d",0.00958994772461055
"170","Swarthmore","College","Women","Division III","Ohio Valley","Pennsylvania DIII","3","13","/teams/events/Eventteam/?TeamId=TL8nNMzOhB%2fV6tENL0mEwHerci5XDIBJ4lk%2fFFi5E2U%3d",0.00943418852038608
"171","North Carolina B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev","5","6","/teams/events/Eventteam/?TeamId=TSdxuQjaTTT%2bbn29YnFwv%2blQPrmXNKxPNS3LXSDtxEA%3d",0.00882495194258599
"172","Elon","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII","6","7","/teams/events/Eventteam/?TeamId=68E3gOoti4eHgaIAOl152CFbxpwWhhX1q385%2buNZ7dY%3d",0.00840733184465846
"173","Edinboro","College","Women","Division I","Ohio Valley","Pennsylvania DI","3","5","/teams/events/Eventteam/?TeamId=AM8%2biy15AO2VOqrRyVkmZdrQa2TvSyg4oJltzmJ3VN0%3d",0.00823275133369791
"174","Texas B","College","Women","Developmental","South Central","Texas DI","11","9","/teams/events/Eventteam/?TeamId=bl89oVoIVl8Bfw7AUnUmWEHjAXwGkZHM2Czcko%2fbAX8%3d",0.00755019557386918
"175","North Carolina-Asheville","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII","4","8","/teams/events/Eventteam/?TeamId=rdx9q6ZUKtHQENjJm%2bTSJljNMcJVVStg1MFtxBNRcqw%3d",0.00734650993340857
"176","Texas-Dallas","College","Women","Division I","South Central","Texas DI","10","5","/teams/events/Eventteam/?TeamId=HFS99A1%2b3o%2fQ2rfK%2fp92BW%2fp8%2b11rp8c%2bBeoBvArSGM%3d",0.00729866782103659
"177","Cornell B","College","Women","Developmental","Metro East","Western NY DI","1","12","/teams/events/Eventteam/?TeamId=yxyKbJxa%2bzwelMh4qUj%2f0kQVTEArJ4YznmGdYJAz20Y%3d",0.00725815113736523
"178","California-Irvine","College","Women","Division I","Southwest","SoCal DI","2","8","/teams/events/Eventteam/?TeamId=4Ey%2ffFygOoPQ3FtKJZIPsdfCt7MMmr3iYhbioKRcvNg%3d",0.00721586794937463
"179","Ithaca","College","Women","Division III","Metro East","Western NY DIII","4","8","/teams/events/Eventteam/?TeamId=2o84ZV%2fk%2fR0G2EyS6n2tB2fmq%2bwETziQ%2bXPlkBUdj54%3d",0.00706141279393417
"180","William & Mary","College","Women","Division I","Atlantic Coast","Virginia DI","5","11","/teams/events/Eventteam/?TeamId=UdHEyOdObuuLU%2beZ%2bZlF28B1kZzIaV8A0P0mznh5MeA%3d",0.00687538851713577
"181","MIT","College","Women","Division I","New England","Metro Boston DI","4","8","/teams/events/Eventteam/?TeamId=MaIpOTSAjSlOeJ9ekRzvudBcwmIITeExkPdj5GEZ52M%3d",0.00653050532687976
