"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Stanford (Stanford (Superfly))","College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",1,"Stanford",2313,"Division I","Southwest","NorCal DI",28,5,242,25.2045762219075
"2","Dartmouth (Princess Layout)","College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",4,"Dartmouth",2157,"Division I","New England","Greater New England DI",25,4,73,20.5506426474281
"3","Texas (Melee)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",2,"Texas",2227,"Division I","South Central","Texas DI",27,4,260,18.97495967116
"4","Virginia (Hydra)","College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",3,"Virginia",2200,"Division I","Atlantic Coast","Virginia DI",35,4,284,17.6086772260209
"5","UCLA (BLU)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",7,"UCLA",2115,"Division I","Southwest","SoCal DI",29,7,274,15.9288123654747
"6","Tufts (EWO)","College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",5,"Tufts",2135,"Division I","New England","Metro Boston DI",28,4,271,13.3341783699279
"7","California (Pie Queens)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",9,"California",2069,"Division I","Southwest","NorCal DI",24,13,41,11.8893241547087
"8","British Columbia (Thunderbirds)","College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",6,"British Columbia",2124,"Division I","Northwest","Cascadia DI",19,5,27,11.4758373295723
"9","Oregon (Fugue)","College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",11,"Oregon",1964,"Division I","Northwest","Cascadia DI",27,13,200,10.462487555927
"10","Pittsburgh (Danger)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",10,"Pittsburgh",2010,"Division I","Ohio Valley","Pennsylvania DI",23,7,209,8.19016834365379
"11","Colorado (Kali)","College","Women","Boulder","CO","/teams/events/Eventteam/?TeamId=gusM8XMge2EY2DPbF8NPCjtiszB7UuMTxRwXBD0dJVc%3d",12,"Colorado",1944,"Division I","South Central","Rocky Mountain DI",17,10,62,8.15993903026235
"12","Notre Dame (Womb)","College","Women","Notre Dame","IN","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",8,"Notre Dame",2106,"Division I","Great Lakes","Eastern Great Lakes DI",24,6,188,8.08614937184985
"13","Southern California (Hellions of Troy)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",17,"Southern California",1843,"Division I","Southwest","SoCal DI",24,14,237,8.00462288756622
"14","Michigan (Flywheel)","College","Women","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=VKxIKXEDdQLYPNLiXn0FibYcbr625nQBtm2CLlApId8%3d",14,"Michigan",1888,"Division I","Great Lakes","Eastern Great Lakes DI",18,12,156,6.79224761463187
"15","Carleton College (Syzygy)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=NwrqWq7T52otvyL5c9Wsgq8nWWuA6j3c9jcVFfaUhNE%3d",15,"Carleton College",1875,"Division I","North Central","Western North Central DI",23,9,43,6.47800212870559
"16","North Carolina (Pleiades)","College","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=gUiWjT9ywZbw1fX%2fupfcfpLQtBXRn%2bkZHPLcLj%2f5g8w%3d",13,"North Carolina",1924,"Division I","Atlantic Coast","Carolina DI",24,8,177,5.97545243441994
"17","California-San Diego (UCSD Psychos)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=4cRw9FDJ9oW5ffiKGabttFznjbbxQjlkLM9CmN%2fLa7k%3d",31,"California-San Diego",1707,"Division I","Southwest","SoCal DI",22,16,38,5.89665169836969
"18","Ohio State (Fever)","College","Women","Columbus","OH","/teams/events/Eventteam/?TeamId=Wmb6gNGRpntGn1S3HGYdc6MliHJ1KaUc4NkMTm%2bOadg%3d",16,"Ohio State",1872,"Division I","Ohio Valley","Ohio DI",25,11,196,5.83472063586583
"19","Florida (FUEL)","College","Women","Gainesville","FL","/teams/events/Eventteam/?TeamId=o2%2bgz5kZ4fEUJVq2NBLCaNWBn6DXEl6DRUkaIPd4bqA%3d",18,"Florida",1824,"Division I","Southeast","Florida DI",33,10,91,5.83429057849377
"20","Whitman (Whitman Sweets)","College","Women","Walla Walla","WA","/teams/events/Eventteam/?TeamId=1uJ5zDTH88%2fhgLMZuxhunRtHhOkN%2ftD5V4YVm3aQgqU%3d",19,"Whitman",1822,"Division I","Northwest","Big Sky DI",17,12,302,4.51873073789205
"21","Kansas (Betty Ultimate)","College","Women","Lawrence","KS","/teams/events/Eventteam/?TeamId=SJEwN6h039xYkq571Ag%2b6CaXtiMtHuwE2RNbj4dM8jY%3d",26,"Kansas",1736,"Division I","South Central","Ozarks DI",31,9,132,4.30542739524725
"22","California-Davis (Rogue)","College","Women","Davis","CA","/teams/events/Eventteam/?TeamId=9oWJlSxruUXZ5mlv%2ffljz7%2bjIEXyOft3F3nd1xt8dRI%3d",36,"California-Davis",1644,"Division I","Southwest","NorCal DI",22,16,35,4.28003997802096
"23","Georgetown (Huckin' Foyas)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=41GYrlDvmTeKymN9bt9oThwTqkV%2bzbvS%2fyhHFluWNlE%3d",20,"Georgetown",1819,"Division I","Atlantic Coast","Colonial DI",33,8,100,4.13121411114423
"24","Cal Poly-SLO (SLO Motion)","College","Women","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=zeFWx%2f3rImfgKOs0kwsvgR2NRLIxtgYapZk6iqVi8Wo%3d",70,"Cal Poly-SLO",1288,"Division I","Southwest","SoCal DI",20,11,31,3.46312319781991
"25","Iowa State (Woman Scorned)","College","Women","Ames","IA","/teams/events/Eventteam/?TeamId=%2brbxZekO2c0nzlhiafO3HcIDdynbCestG6MixMijxUk%3d",22,"Iowa State",1784,"Division I","North Central","Western North Central DI",24,8,125,2.84962286784276
"26","North Carolina-Wilmington (Seaweed)","College","Women","Wilmington","NC","/teams/events/Eventteam/?TeamId=Svc7GD5ciYxSWUqtNiL4cLKPAHwbd2oHPX7pzv67rnI%3d",28,"North Carolina-Wilmington",1729,"Division I","Atlantic Coast","Carolina DI",22,12,176,2.69618959407526
"27","Chico State  (Chico Chicas)","College","Women","Chico","CA","/teams/events/Eventteam/?TeamId=u62GZSQFWTchsABWE%2blS%2fvEhyhFdrsDImTA25vuNNSA%3d",95,"Chico State",1084,"Division I","Southwest","NorCal DI",21,10,51,2.36019809560893
"28","California-Santa Barbara (Burning Skirts)","College","Women","Goleta","CA","/teams/events/Eventteam/?TeamId=DJU6wjdQQDTsL30jYJPTxbDqfQKHf0CfbILG%2f2T%2bR2w%3d",62,"California-Santa Barbara",1346,"Division I","Southwest","SoCal DI",18,16,39,2.29452943896591
"29","Vermont  (Ruckus)","College","Women","Burlington","VT","/teams/events/Eventteam/?TeamId=tnSj9MDVfXpvFsGoAdunXjjhz4lGWDc0MjzUbRh3n5I%3d",21,"Vermont",1793,"Division I","New England","Greater New England DI",22,11,281,2.27109937313191
"30","Cornell (Wild Roses)","College","Women","Ithaca","NY","/teams/events/Eventteam/?TeamId=z3eFI7xFYmutBzFzercqYtBoddv8p8SD9xT%2fuSyenkE%3d",32,"Cornell",1707,"Division I","Metro East","Western NY DI",36,3,71,2.25940259588226
"31","West Chester (West Chester)","College","Women","West Chester","PA","/teams/events/Eventteam/?TeamId=l956kZyz0JpZ5LX%2bn6e0RfghY9QIumLsK6X218BRmYM%3d",40,"West Chester",1587,"Division I","Ohio Valley","Pennsylvania DI",24,7,296,2.19420999093474
"32","Liberty (Lady Flames)","College","Women","Lynchburg","VA","/teams/events/Eventteam/?TeamId=2KtfN4%2f1SybgbVEiL4BgCHwU%2fMt6UUhr2U99VtwS8gQ%3d",34,"Liberty",1659,"Division I","Atlantic Coast","Virginia DI",26,12,140,1.98085022366944
"33","Georgia Tech (Wreck)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=DtIkXqr2fcyHHJBWO2ns59w6%2bSp8mxYkyTyUVOAlCu0%3d",51,"Georgia Tech",1427,"Division I","Southeast","Southern Appalachian DI",23,17,106,1.91298893502049
"34","Colorado State (Hell's Belles)","College","Women","Fort Collins","CO","/teams/events/Eventteam/?TeamId=%2bXYlWj%2fs0LB%2f7GD0pgbUG7HQuDjd0CcmTehQxIz3HFs%3d",30,"Colorado State",1726,"Division I","South Central","Rocky Mountain DI",21,10,64,1.86338733741792
"35","Delaware (Sideshow Ultimate)","College","Women","Newark","DE","/teams/events/Eventteam/?TeamId=aLhdH%2bEG4J1Z74u6Uku9dzsribdKZiM1EWzcxU2rYYA%3d",25,"Delaware",1745,"Division I","Atlantic Coast","Colonial DI",17,9,77,1.79815167408138
"36","Williams (La WUFA)","College","Women","Williamstown","MA","/teams/events/Eventteam/?TeamId=eFylP9zG4UAbOBCLlGiSOfrJQ8A1VY8UTp8Dk72Y2Ao%3d",29,"Williams",1727,"Division III","New England","South New England DIII",26,2,304,1.78741880810852
"37","Penn State  (Crisis)","College","Women","State College","PA","/teams/events/Eventteam/?TeamId=orJfAYX9d9xX5aNHwn6ARbtRoljCE%2byc1OR9fWc%2bH0c%3d",46,"Penn State",1533,"Division I","Ohio Valley","Pennsylvania DI",16,14,204,1.60497342036142
"38","Colorado College (Lysistrata's Tools)","College","Women","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=shxGM7ge4qsLfJqbKelBfpY9r18Q46xoRk%2fFK19%2bMTU%3d",42,"Colorado College",1580,"Division I","South Central","Rocky Mountain DI",12,17,63,1.58777671206562
"39","Minnesota (Ninjas)","College","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=8j5IDNJ2mmTGHEB4J6akgvGmZ8yE2cNy5JBF8u4xkFM%3d",23,"Minnesota",1753,"Division I","North Central","Western North Central DI",15,12,160,1.58741332866005
"40","Texas-Dallas (MonStars)","College","Women","Richardson","TX","/teams/events/Eventteam/?TeamId=HFS99A1%2b3o%2fQ2rfK%2fp92BW%2fp8%2b11rp8c%2bBeoBvArSGM%3d",178,"Texas-Dallas",517,"Division I","South Central","Texas DI",12,10,258,1.5502800515577
"41","Carleton College-Eclipse (Eclipse)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=m1DkV3n9%2fo6kLW3AWLG7dSvPceEGoEnC07SgyHdhOK0%3d",80,"Carleton College-Eclipse",1226,"Division III","North Central","North Central DIII",17,7,42,1.44365681952039
"42","Portland (UPRoar)","College","Women","Portland","OR","/teams/events/Eventteam/?TeamId=boldYMSHhHP%2fZnPS3hRcZoFizEykg5NrAUy8Le16Ij0%3d",78,"Portland",1233,"Division III","Northwest","Northwest DIII",20,4,210,1.38279461210029
"43","Sonoma State (D'Vine)","College","Women","Rohnert Park","CA","/teams/events/Eventteam/?TeamId=aPid5g7Rl4Q5qYAko8Yqlxuj4UzkDk60VNXenGREtRE%3d",152,"Sonoma State",706,"Division I","Southwest","NorCal DI",13,14,234,1.35210421885475
"44","North Carolina State (Jaga Monsta)","College","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=U3CpEGnLUG%2f8JDXI0pkPpdfrjLKb%2fyp2Ee0Nh1vDQSs%3d",38,"North Carolina State",1635,"Division I","Atlantic Coast","Carolina DI",18,12,178,1.32851635004925
"45","Florida State (Seminole Ladies)","College","Women","Tallahassee","FL","/teams/events/Eventteam/?TeamId=jmdXQMKsoEqlx%2fndlWxqZBHFZdN2arSj%2f2sZBXI8DRw%3d",45,"Florida State",1539,"Division I","Southeast","Florida DI",27,15,93,1.32007073456542
"46","Washington (Element)","College","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=IdzlN7L1l6MEgyweYTbtLfoXm5eOhDnr%2fbrKUDrh8oU%3d",39,"Washington",1611,"Division I","Northwest","Cascadia DI",11,19,289,1.24585960367474
"47","Western Washington (Chaos)","College","Women","Bellingham","WA","/teams/events/Eventteam/?TeamId=PUsywval7dv8Gpn8URBwtPJx0bimD74i1mIOA7RYAzU%3d",35,"Western Washington",1655,"Division I","Northwest","Cascadia DI",4,8,299,1.20409033290077
"48","Boston College (Boston College)","College","Women","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=0DKZAY%2fClTUlcMJNV3ErO3mO58jDb9XDosf9Qieitw0%3d",27,"Boston College",1734,"Division I","New England","Metro Boston DI",18,8,22,1.18598981536327
"49","Chicago (Supersnatch)","College","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=agCGUT6w3uLl52%2boCeMfULuFyIJNEZVN2aIIzIKG3Zg%3d",82,"Chicago",1225,"Division I","Great Lakes","Illinois DI",21,12,50,1.18217865245204
"50","Kennesaw State (Strix)","College","Women","Kennesaw","GA","/teams/events/Eventteam/?TeamId=SsDArHe7imZC0wDTMqr4zR7HCndeywtem5EJ8BadDeg%3d",24,"Kennesaw State",1747,"Division I","Southeast","Southern Appalachian DI",26,8,134,1.15917658918504
"51","Georgia (Dawgma)","College","Women","Athens","GA","/teams/events/Eventteam/?TeamId=bv0piAGJ2T9Ulg9%2b2sCDhNKmdutHSSEi2i%2bOOiBQi%2bQ%3d",49,"Georgia",1481,"Division I","Southeast","Southern Appalachian DI",20,14,101,1.14730626414036
"52","Wisconsin (Bella Donna)","College","Women","Madison","WI","/teams/events/Eventteam/?TeamId=s7xC%2f2JqXAnPXLgnWZds6lD4Xh62tSZbI6PBAr2tEsk%3d",47,"Wisconsin",1531,"Division I","North Central","Lake Superior DI",16,16,312,1.09590834771483
"53","Auburn (Ares)","College","Women","Auburn","AL","/teams/events/Eventteam/?TeamId=Itxp5yUgi7zE4VdHsGbImiqfb0PKZnjdDCsLW3cTj38%3d",48,"Auburn",1505,"Division I","Southeast","Gulf Coast DI",26,7,14,1.0807607083102
"54","Clemson (Tigerlilies)","College","Women","Clemson","SC","/teams/events/Eventteam/?TeamId=A%2fGcWvr8lK3AqaY31RTjqGpSrTNEzkjXh8ouRi%2bSqEM%3d",55,"Clemson",1406,"Division I","Atlantic Coast","Carolina DI",14,14,56,0.911260347669786
