"Rank","Team","Wins","Losses","Rating","City","State"
1,"Revolver",24,3,32.8370653948991,"San Francisco","CA"
2,"Sockeye",21,9,21.2571653750509,"Seattle","WA"
3,"Florida United",22,2,18.9547330366996,"Florida","FL"
4,"Ring of Fire",25,4,18.3043028953225,"Raleigh","NC"
5,"Ironside",25,8,17.847623223706,"Boston","MA"
6,"Truck Stop",22,6,13.7672906247504,"Washington","DC"
7,"Dig",26,6,13.0746328698105,"Boston","MA"
8,"HIGH FIVE",20,9,12.1450236853438,"Ohio","MI"
9,"Chicago Machine",15,12,10.556873557775,"Chicago","IL"
10,"PoNY",18,11,9.75572145006011,"New York","NY"
11,"Johnny Bravo",18,9,9.26715198927447,"Denver","CO"
12,"GOAT",20,9,7.87150003203097,"Toronto","Ontario"
13,"Doublewide",15,7,6.43992870569704,"Austin","TX"
14,"Patrol",16,13,6.33917109995611,"Philadelphia","PA"
15,"SoCal Condors",17,10,5.70876652391979,"Calico","CA"
16,"Chain Lightning",19,12,5.50757144451262,"Atlanta","GA"
17,"Sub Zero",16,14,5.25663672035694,"Minneapolis","MN"
18,"Medicine Men",27,13,4.9479469295024,"Baltimore","MD"
19,"Guerrilla",18,15,4.7234462996411,"Oakland","CA"
20,"Rhino",17,11,4.04598691460375,"Portland","OR"
21,"Pittsburgh Temper",16,10,3.7058717959312,"Pittsburgh","PA"
22,"Freaks",28,6,3.66443805308021,"Huntsville","AL"
23,"Inception",20,9,3.30623356160184,"Denver","CO"
24,"Madison Club",13,13,2.79882469596136,"Madison","WI"
25,"Furious George",12,13,2.69743013278008,"Vancouver","BC"
26,"Richmond Floodwall",24,9,2.4668491956596,"Richmond","VA"
27,"Dark Star",22,5,2.20451368049479,"Eugene","OR"
28,"Cash Crop",17,7,2.17962412508849,"Triangle","NC"
29,"Mad Men",28,8,2.12117640146336,"Madison","WI"
30,"Voodoo",20,5,2.11342065802849,"Seattle","WA"
31,"CLE Smokestack",21,12,2.0717236811476,"Cleveland","OH"
32,"Garden State Ultimate",28,10,1.92282469323322,"Princeton","NJ"
33,"Brickyard",28,6,1.79099618930923,"Indianapolis","IN"
34,"PowderHogs",13,10,1.70059353135736,"Salt Lake City","UT"
35,"Turbine",20,13,1.57328673286586,"Durham","NC"
36,"Prairie Fire",11,16,1.39113850028223,"Kansas City","KS"
37,"Ironmen",22,13,1.37515106015455,"Birmingham","AL"
38,"Sprawl",21,5,1.34074353877955,"Phoenix","AZ"
39,"Lost Boys",19,12,1.29817703586127,"South Carolina","SC"
40,"Illusion",27,8,1.16762199052725,"Iowa City","IA"
41,"Ghost Train",14,17,1.16422909423118,"Seattle","WA"
