"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"95","Shippensburg (Scapegoats)","College","Men","Shippensburg","PA","/teams/events/Eventteam/?TeamId=nsIr61T92ky5DFTp0s6YgrgAaFFGQOj1eJVLdg2NL4U%3d",101,"Shippensburg",1276,"Division III","Ohio Valley","West Penn DIII",27,15,378,0.913906113524104
"96","Middlebury (Pranksters)","College","Men","Middlebury","VT","/teams/events/Eventteam/?TeamId=yz6e0bnGEiKsWKk8mx9utIqf0ouM2czoJXc7fs3gUbA%3d",56,"Middlebury",1465,"Division III","New England","North New England DIII",23,6,261,0.882482298089682
"97","California-Santa Cruz (Slugs)","College","Men","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=cfoctX7h6HnBTcJTB33HRsDBjJtFuPEwZ1Lx5PVtt80%3d",127,"California-Santa Cruz",1163,"Division I","Southwest","NorCal DI",7,17,69,0.879463257000347
"98","Virginia Commonwealth (Villains)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",60,"Virginia Commonwealth",1445,"Division I","Atlantic Coast","Virginia DI",13,8,472,0.874973583698197
"99","Carnegie Mellon (Mr. Yuk)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=w9j2GKeBI8jzBkwNxwATCevnsj4GfbBGz4p%2fFcczMVg%3d",98,"Carnegie Mellon",1283,"Division I","Ohio Valley","West Penn DI",21,13,78,0.865285684467388
"100","Boston College (Eagles)","College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",93,"Boston College",1309,"Division I","New England","Metro Boston DI",11,6,37,0.839481690020224
"101","North Carolina-Charlotte (QCG)","College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",73,"North Carolina-Charlotte",1413,"Division I","Atlantic Coast","Carolina DI",13,11,290,0.797267110947056
"102","South Carolina (Warbird)","College","Men","Columbia","SC","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",116,"South Carolina",1215,"Division I","Atlantic Coast","Carolina DI",13,16,383,0.793456952149159
"103","Luther (Lufda)","College","Men","Decorah","IA","/teams/events/Eventteam/?TeamId=wDxsfTXVmWs38BKCaBQHdzGUSPXK6FHlTVYPJIRuTrw%3d",110,"Luther",1244,"Division I","North Central","West Plains DI",23,14,235,0.762158572285022
"104","Texas State (Buckets)","College","Men","San Marcos","TX","/teams/events/Eventteam/?TeamId=yPc3fDWldCajYIbrjA6NabVBVUtoHofP48FvbJFRb7M%3d",108,"Texas State",1255,"Division I","South Central","South Texas DI",16,11,442,0.76009379046476
"105","Minnesota-Duluth (Northern Lights)","College","Men","Duluth","MN","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",54,"Minnesota-Duluth",1472,"Division I","North Central","Northwoods DI",22,9,266,0.752232446999675
"106","UCLA (Smaug)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",129,"UCLA",1153,"Division I","Southwest","SoCal DI",14,12,456,0.744142378217144
"107","Akron (Goon Squad)","College","Men","Akron","OH","/teams/events/Eventteam/?TeamId=rFoAL46KGXy%2fSm83z1X8L0L2oytNISIYsU1DBrfmgZM%3d",132,"Akron",1136,"Division I","Ohio Valley","Ohio DI",15,11,3,0.740264740234894
"108","Brandeis (TRON)","College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",105,"Brandeis",1263,"Division III","New England","Metro Boston DIII",24,5,44,0.739039120860786
"109","Wheaton (Illinois) (Mastodon)","College","Men","Wheaton","IL","/teams/events/Eventteam/?TeamId=jNoABSpERdFbnwfyzTzhH3Ni9EfRe2DmE8OJcOxgt5c%3d",128,"Wheaton (Illinois)",1158,"Division III","Great Lakes","Illinois DIII",22,3,493,0.735642859240736
"110","Indiana (HoosierMama?s)","College","Men","Bloomington","IN","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",106,"Indiana",1259,"Division I","Great Lakes","East Plains DI",14,14,197,0.722570907352156
"111","West Virginia (WV Wild)","College","Men","Morgantown","WV","/teams/events/Eventteam/?TeamId=MlPYa4%2f58saFXhfQfV64D5P3QY28zg%2bErQM0VK6hJcs%3d",271,"West Virginia",541,"Division I","Ohio Valley","West Penn DI",9,11,487,0.709730345736152
"112","St John's (Saint John's Ultimate)","College","Men","Collegeville","MN","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",89,"St John's",1316,"Division III","North Central","Northwoods DIII",19,7,393,0.681215914455805
"113","Baylor (Stonewall A)","College","Men","Waco","TX","/teams/events/Eventteam/?TeamId=fURgImJfk1urNKcgGQwLFay%2fbjVnQxze36jAcdXNW2E%3d",123,"Baylor",1184,"Division I","South Central","North Texas DI",17,11,29,0.679267438643592
"114","Temple (Alert)","College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=bynADsBIHvxtxO2hdCNxYFi%2ft%2fnSqRHoEm9DGVT2nU8%3d",112,"Temple",1236,"Division I","Ohio Valley","East Penn DI",18,18,426,0.678849572101123
"115","Cornell (Buds)","College","Men","Ithaca","NY","/teams/events/Eventteam/?TeamId=sDD7hdoa9yAG%2fWGRunEnD3BuYHNpjkMEWM%2btyANPaQM%3d",137,"Cornell",1123,"Division I","Metro East","Western NY DI",16,16,119,0.64616059968866
"116","Kansas (Horrorzontals)","College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",118,"Kansas",1194,"Division I","South Central","Ozarks DI",17,19,212,0.618854177137393
"117","Humboldt State (Humboldt State Buds)","College","Men","Arcata","CA","/teams/events/Eventteam/?TeamId=ktcIqJHEUwa6ARFpvn5oGM5RIV1%2bR0ONqxVGOvaTJCk%3d",159,"Humboldt State",1047,"Division I","Southwest","NorCal DI",15,21,188,0.606062947077551
"118","Mississippi (HYDRa)","College","Men","Oxford","MS","/teams/events/Eventteam/?TeamId=0lfD2%2fhUDkHMZ7CLgGwtvX55DgFxZY3nJ0NKcpKwbMg%3d",103,"Mississippi",1273,"Division I","Southeast","Gulf Coast DI",20,13,269,0.604125419269942
"119","San Jose State (Megabyte)","College","Men","San Jose","CA","/teams/events/Eventteam/?TeamId=OK9ukDpH4wfrLNmFs9zUaTOmwFDGgOHHrGdqxVeb65c%3d",198,"San Jose State",890,"Division I","Southwest","NorCal DI",17,12,374,0.594907272374377
"120","MIT (Grim Beaver)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=di88oqxrUWAbUAbWvnEIPpZ2Xt2SVeR%2fDee0nxnbHiY%3d",135,"MIT",1133,"Division I","New England","Metro Boston DI",14,5,275,0.580539739433769
"121","North Texas (UNT illeagles)","College","Men","Denton","TX","/teams/events/Eventteam/?TeamId=3TRnXf4DHTXmYmg5ubEVrWhWuSNL9fANTclqIYCkHZg%3d",170,"North Texas",992,"Division I","South Central","North Texas DI",18,18,300,0.577712650811789
"122","Wisconsin-Whitewater (Sub*Par)","College","Men","Whitewater","WI","/teams/events/Eventteam/?TeamId=WLENu4moC2USmixCOwUqUUlu%2fIBkH2333zqbaOYhEKM%3d",NA,NA,NA,NA,NA,NA,17,9,514,0.57217371307853
"123","Union (Tennessee) (Union Jaxx)","College","Men","Jackson","TN","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",120,"Union (Tennessee)",1187,"Division III","Southeast","Western Southeast DIII",14,13,457,0.569957957240546
"124","High Point (High Point University Bagheera)","College","Men","High Point","NC","/teams/events/Eventteam/?TeamId=V55BdEw6QV0qWkHBbMitCw%2bYekb4Sz%2fbdjf7QccvD7o%3d",96,"High Point",1287,"Division III","Atlantic Coast","Carolina DIII",18,16,184,0.568122609704054
"125","Navy (Poseidon)","College","Men","Annapolis","MD","/teams/events/Eventteam/?TeamId=PKSkInPRdQb8AaTzvxXpZ%2fwpSpV2Rucp98JpzG8lFAU%3d",143,"Navy",1100,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",19,16,280,0.563844978331282
"126","George Mason (Massacre)","College","Men","Fairfax","VA","/teams/events/Eventteam/?TeamId=N8b2QXd9Pi0a%2bsWazxdlWJrhBbQwNcijqGpmNiUKncA%3d",113,"George Mason",1233,"Division I","Atlantic Coast","Virginia DI",14,16,159,0.561757201073741
"127","Alabama (Yellow Hammer)","College","Men","Tuscaloosa","AL","/teams/events/Eventteam/?TeamId=Fy7ndC0YiChGMO1BqxR7nhD2Wg3a3vBOqOPe0XaIAfs%3d",91,"Alabama",1311,"Division I","Southeast","Gulf Coast DI",20,11,7,0.554163833017996
"128","Georgetown (Catholic Justice)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=xji%2fAev%2fUFxJ%2bIiurk53yZqMsyHlKb7s91MfT%2boVty8%3d",83,"Georgetown",1345,"Division I","Atlantic Coast","Colonial DI",13,16,163,0.553515439189839
"129","Whitman (Sweets)","College","Men","Walla Walla","WA","/teams/events/Eventteam/?TeamId=pWhAvD22y8UdAprDxT%2bnE5UP4wsaapvQSmzp6kjZKSQ%3d",133,"Whitman",1134,"Division I","Northwest","Northwest DIII",17,13,495,0.543123489137021
"130","Portland (Uprise)","College","Men","Portland","OR","/teams/events/Eventteam/?TeamId=1qMSY9s2z1fz9zrsBwRnIKblujosHLq20202RDEaVwo%3d",99,"Portland",1282,"Division III","Northwest","Northwest DIII",19,7,340,0.533799561279448
"131","Texas A&M-B (Dozen Matter)","College","Men","College Station","TX","/teams/events/Eventteam/?TeamId=%2b%2bXs0wZalmdzrfBu6wIp9s%2bhlPSepktRiZVUvYs5wI4%3d",107,"Texas A&M B",1256,"Developmental","South Central","South Texas DI",16,4,437,0.504135009158911
"132","Delaware (Sideshow)","College","Men","Newark","DE","/teams/events/Eventteam/?TeamId=8g0aol20xh6MfcEIDy6Jh93qot7gc0uDT9Vyi120jtw%3d",119,"Delaware",1189,"Division I","Atlantic Coast","Colonial DI",14,13,128,0.50090644002754
"133","Wisconsin-Eau Claire (EauZone)","College","Men","Eau Claire","WI","/teams/events/Eventteam/?TeamId=oTPLE%2f13NbexIWAeKskflYxJbemze9VL4AIgqKz5pzE%3d",152,"Wisconsin-Eau Claire",1056,"Division I","North Central","Lake Superior DI",25,18,506,0.50045916734406
"134","Kentucky (KULT)","College","Men","Lexington","KY","/teams/events/Eventteam/?TeamId=ozv8TE5l7TS1Qr30NwlnQXOp8Ye37z%2fYXzgXofX8vJA%3d",138,"Kentucky",1121,"Division I","Great Lakes","East Plains DI",13,13,217,0.492696316772236
"135","West Chester (West Chester A)","College","Men","West Chester","PA","/teams/events/Eventteam/?TeamId=qGw1m%2bmGzQhbZStKGvMSucQkl233rPpWNkO5AxIomDY%3d",155,"West Chester",1050,"Division I","Ohio Valley","East Penn DI",24,14,485,0.482105282007217
"136","Edinboro (Haggis)","College","Men","Edinboro","PA","/teams/events/Eventteam/?TeamId=nPpJKdHTD2%2b4KHTtAPACfEyYsOFkq7FS%2bcNRAd8lNgU%3d",160,"Edinboro",1043,"Division I","Ohio Valley","West Penn DI",17,17,140,0.4347135268758
"137","Bentley (Icehouse)","College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=BhaUDPg1D0x2dNfCztGGCyeK1YGcbThSg9z3O9kOry8%3d",104,"Bentley",1268,"Division III","New England","Metro Boston DIII",19,9,32,0.430844034172909
"138","Oklahoma State (Ultimato)","College","Men","Stillwater","OK","/teams/events/Eventteam/?TeamId=j7zIHsEoSStTdnbxUMoj2qBRB3682%2fdEFH7LUnVny2k%3d",126,"Oklahoma State",1166,"Division I","South Central","Ozarks DI",13,10,323,0.43040574735581
"139","Lewis & Clark (Bacchus )","College","Men","Portland","OR","/teams/events/Eventteam/?TeamId=MYFVLmUmE7W%2bxHrMZk27Y4oimt3x8XO%2bBVdaBvqTlLU%3d",130,"Lewis & Clark",1142,"Division III","Northwest","Northwest DIII",20,12,228,0.414319386265027
"140","Northern Arizona (El Ponderoso)","College","Men","Flagstaff","AZ","/teams/events/Eventteam/?TeamId=gBJZqIleakKjm1D4Q66PZpwLZ9WMHqtAaJcfm8vA8dQ%3d",195,"Northern Arizona",903,"Division I","Southwest","Desert DI",12,9,303,0.414127618274163
"141","Haverford (Big Donkey Ultimate)","College","Men","Haverford","PA","/teams/events/Eventteam/?TeamId=Dfqz%2beW75o8%2bNMB02W49X8daFAhJAQ5j1zr%2fII2Js%2fg%3d",174,"Haverford",978,"Division III","Ohio Valley","East Penn DIII",25,15,183,0.410582638199675
"142","Messiah (Falcons)","College","Men","Mechanicsburg","PA","/teams/events/Eventteam/?TeamId=fLROpVGomaod4oPBZWFrNpwyTjc4WjoKg3EGIc76VK4%3d",136,"Messiah",1132,"Division III","Ohio Valley","West Penn DIII",20,14,252,0.406137770608195
"143","Saint Louis (Archangel)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=yYSwXY2i9gEUMvYxONjJtA2kSQfNyXIuBtcSLipbums%3d",156,"Saint Louis",1049,"Division I","South Central","Ozarks DI",20,9,366,0.405868401772629
"144","Princeton (Clockwork)","College","Men","Princeton","NJ","/teams/events/Eventteam/?TeamId=rQkIWkXQej3%2fsDUA0r9gzfBHjx0UVq0UtZvFPsdPkj0%3d",111,"Princeton",1238,"Division I","Metro East","Metro NY DI",16,12,343,0.40517450436111
"145","Cal Poly-Pomona (Cow Ultimate)","College","Men","Pomona","CA","/teams/events/Eventteam/?TeamId=gntlJzCFM1RFGts5qarwtqV04eG6eOnqTaaPolZBazo%3d",190,"Cal Poly-Pomona",910,"Division I","Southwest","SoCal DI",15,10,53,0.402219728617672
"146","Texas-Dallas (Woof)","College","Men","Richardson","TX","/teams/events/Eventteam/?TeamId=ZiwD8eKNnkXY5HoTiF%2bPyqsmjksh1CSMRrvkYIUdpRk%3d",131,"Texas-Dallas",1139,"Division I","South Central","North Texas DI",15,8,433,0.385949876403238
"147","Bates (Bates Orange Whip)","College","Men","Lewiston","ME","/teams/events/Eventteam/?TeamId=%2b4gm1%2bik3WlKxSF65M%2fr1MMCdydfPS9aFzpnmrJhasM%3d",147,"Bates",1087,"Division III","New England","North New England DIII",22,15,27,0.379417944577316
"148","Knox (River Rats)","College","Men","Galesburg","IL","/teams/events/Eventteam/?TeamId=0qfpsFOFzBh3S7DSsowt1Yqccp4WEBMxVkkd8NI%2bCmE%3d",140,"Knox",1110,"Division III","Great Lakes","Illinois DIII",24,9,220,0.371864742638571
"149","New Mexico (HantaVirus)","College","Men","Albuquerque","NM","/teams/events/Eventteam/?TeamId=GUQvwqzLd60mtE3TU6xjCT3LmYnh0ZANB6OlaK%2b2w%2fM%3d",NA,NA,NA,NA,NA,NA,7,11,287,0.371808634886599
"150","Liberty (Flames)","College","Men","Lynchburg","VA","/teams/events/Eventteam/?TeamId=IMuvM5U1f%2fVlS79c%2bVlh9ET2t4hj4oSvNkENt20MJos%3d",125,"Liberty",1174,"Division I","Atlantic Coast","Virginia DI",11,16,229,0.36346504972533
"151","Bowdoin (Clown)","College","Men","Brunswick","ME","/teams/events/Eventteam/?TeamId=h71qNdruesk4kN%2bBErX6jZmlRl9QgbT7cKA4qGXwBAM%3d",146,"Bowdoin",1096,"Division III","New England","North New England DIII",17,11,40,0.361639044835389
"152","Boise State (Mamu Zaldi)","College","Men","Boise","ID","/teams/events/Eventteam/?TeamId=C4FfvY85qhaiVVBVPce5HJq6DZIrnoCCVcbQTtLXzk4%3d",187,"Boise State",916,"Division I","Northwest","Big Sky DI",8,9,35,0.351919939352376
"153","Appalachian State (Nomads)","College","Men","Boone","NC","/teams/events/Eventteam/?TeamId=kDpZlPeZtYxuEsBO2Zl6y3JXtvhWfhraWqegorg%2fy78%3d",100,"Appalachian State",1279,"Division I","Atlantic Coast","Carolina DI",13,5,13,0.346611650275795
"154","Mary Washington (Mother of George)","College","Men","Fredericksburg","VA","/teams/events/Eventteam/?TeamId=tGQ766I0MMdXcqj7JLfgayaCSjaVh9xWAhzOot5T%2fj0%3d",NA,NA,NA,NA,NA,NA,10,12,241,0.344776875570075
"155","Minnesota-B (Ugly Duckling)","College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=KdPKYOOWkQuYG2tVEN6Whbr6GEdTQh3ms5OG7V9U7s8%3d",121,"Minnesota B",1187,"Developmental","North Central","Northwoods DI",22,8,264,0.335573702029425
"156","Cedarville (Swarm)","College","Men","Cedarville","OH","/teams/events/Eventteam/?TeamId=pZUIh3BT98aNKtd1u2eH%2fAsS6shGhki24vAMUVeYxAQ%3d",183,"Cedarville",931,"Division III","Ohio Valley","Ohio DIII",14,13,83,0.330617566293947
"157","NYU (New York Ultimate)","College","Men","New York","NY","/teams/events/Eventteam/?TeamId=aufgVHUnmlD4WTDWxCN66q%2fYdWGnWDOeeTqlsx6rNpw%3d",144,"NYU",1099,"Division I","Metro East","Metro NY DI",15,13,311,0.329088311237755
"158","Elon (Elon)","College","Men","Elon","NC","/teams/events/Eventteam/?TeamId=iE5PD33%2bx1FSAMjG7nwviDW%2b%2btM1N371D0GVRySZhJk%3d",181,"Elon",942,"Division III","Atlantic Coast","Carolina DIII",9,17,141,0.316653845363431
"159","Army (Army West Point)","College","Men","West Point","NY","/teams/events/Eventteam/?TeamId=Bpp7A%2frr05NamJReP8Fsk9NbpdsFWFTFenF9am2Z5V0%3d",197,"Army",890,"Division III","Metro East","Hudson Valley DIII",21,9,23,0.31581233894424
"160","Colorado School of Mines (Entropy)","College","Men","Golden","CO","/teams/events/Eventteam/?TeamId=1lHNidtRY3%2fJviPrmGI5MXUTckwp3n0v9HktLJCQnQs%3d",163,"Colorado School of Mines",1034,"Division III","South Central","Northern South Central DIII",12,16,110,0.312881937520984
"161","Rutgers (Machine)","College","Men","New Brunswick","NJ","/teams/events/Eventteam/?TeamId=oaXE5s9dgIUMtPdknoFWUn%2bq0TTGI4bBiJxaGp6CLvM%3d",139,"Rutgers",1115,"Division I","Metro East","Metro NY DI",13,11,364,0.30484171913315
"162","Occidental (Detox)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=ofp5lL7gSfeN9g1JMez%2bOy897NILIg3WOtfbkm6llGY%3d",184,"Occidental",928,"Division III","Southwest","Southwest DIII",11,8,314,0.304090307027135
"163","Alabama-Birmingham (Inferno)","College","Men","Birmingham","AL","/teams/events/Eventteam/?TeamId=fELZWpSEzioofgXJuroLaxe2iLXkCdO9BAT6owBt3gg%3d",177,"Alabama-Birmingham",955,"Division I","Southeast","Gulf Coast DI",12,21,5,0.295791646898772
"164","Marquette  (Birdhouse 2017)","College","Men","Milwaukee","WI","/teams/events/Eventteam/?TeamId=VQztMHq2ylsdj0cfLMz%2b8Hxd5w6fD8jfrUZ1o3kf0ew%3d",114,"Marquette",1233,"Division I","North Central","Lake Superior DI",20,8,239,0.293351637286655
"165","Duke (Brimstone)","College","Men","Durham","NC","/teams/events/Eventteam/?TeamId=F5D4gEB%2b4TiO507xjaNd9Pd1PpTU7qmXdeQs47VyqQk%3d",145,"Duke",1098,"Division I","Atlantic Coast","Carolina DI",12,11,136,0.291976141253185
"166","Puget Sound (Postmen)","College","Men","Tacoma","WA","/teams/events/Eventteam/?TeamId=PBzY6DSk%2bsAmPy%2basFL4rFtvp4hpHOHlx402Bcyi7kM%3d",219,"Puget Sound",813,"Division III","Northwest","Northwest DIII",17,16,344,0.289549492526212
"167","Swarthmore (Earthworms)","College","Men","Swarthmore","PA","/teams/events/Eventteam/?TeamId=c3euS7C%2blYGDGW65%2fcLH4EOG7Vcb6U1UaiZRLn27kKM%3d",151,"Swarthmore",1069,"Division III","Ohio Valley","East Penn DIII",24,13,423,0.284602507250462
"168","Johns Hopkins (Dangerzone)","College","Men","Baltimore","MD","/teams/events/Eventteam/?TeamId=%2bWTF70g3CHNXwsONnrGF6kboDX8JAZQcpvfIs4yI6Oo%3d",122,"Johns Hopkins",1185,"Division I","Atlantic Coast","Colonial DI",10,16,209,0.283047440248078
"169","American (Stall 11)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=dONAg4zdJqvI8BPsCrBe6NOvFapyugN6BIFKsKBsm0U%3d",176,"American",968,"Division I","Atlantic Coast","Colonial DI",17,13,10,0.28258956381854
"170","Wisconsin-Milwaukee (Black Cat)","College","Men","Milwaukee","WI","/teams/events/Eventteam/?TeamId=JdCQeGd1ldCORa4kZ2WH27%2bwI%2bNylkCKThazWv28LgE%3d",192,"Wisconsin-Milwaukee",908,"Division I","North Central","Lake Superior DI",13,20,509,0.27903902377059
"171","Michigan State (ARC)","College","Men","East Lansing","MI","/teams/events/Eventteam/?TeamId=BbBQpnXbg0B1Rz%2bFPbAQbk0SMuTUbz1Is3KZGfJrHvg%3d",117,"Michigan State",1206,"Division I","Great Lakes","Michigan DI",8,10,258,0.275356506026203
"172","Pittsburgh-B (En Sabah Nur-B)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=E5Kfa6ICgOTCiFic4z5LbfkcOvtDj5nOKq%2fC9%2fE10Hc%3d",157,"Pittsburgh B",1048,"Developmental","Ohio Valley","Ohio Valley Dev",24,9,338,0.273026643719205
"173","Mississippi State (Dark Horse)","College","Men","Starkville","MS","/teams/events/Eventteam/?TeamId=AkNJpncB8StV46G%2femh%2fscGD1isVYQvkdD%2bXZT7qvao%3d",172,"Mississippi State",985,"Division I","Southeast","Gulf Coast DI",20,18,270,0.269969872001352
"174","Missouri (Missouri)","College","Men","Columbia","MO","/teams/events/Eventteam/?TeamId=M%2bqHPpOv2pFU1Pv6eNc78su%2fqhLDJy3Yu%2fqCxPLNXs0%3d",164,"Missouri",1034,"Division I","South Central","Ozarks DI",15,13,271,0.267879693070914
"175","Syracuse (Doom)","College","Men","Syracuse","NY","/teams/events/Eventteam/?TeamId=9%2fr6VgQx%2b4WsZMrf0jVfiEZ5yzSzLP0UqDdsYPKD3DU%3d",196,"Syracuse",901,"Division I","Metro East","Western NY DI",18,10,424,0.26782262830792
"176","Missouri S&T (Miner Threat)","College","Men","Rolla","MO","/teams/events/Eventteam/?TeamId=TcHAao6MQG5yPY00UibMKk15AW%2fIFAf8aKNBOgxbHOY%3d",158,"Missouri S&T",1048,"Division III","South Central","Northern South Central DIII",12,10,272,0.264668235045423
"177","SUNY-Buffalo (Green Eggs and Ham)","College","Men","Buffalo","NY","/teams/events/Eventteam/?TeamId=rYQUJ9LMmkRVQuXI9IK8NdnVDRRM%2bdvb9ltOj41W%2bfM%3d",186,"SUNY-Buffalo",923,"Division I","Metro East","Western NY DI",9,15,414,0.262807561131503
"178","Kansas State (Wizards)","College","Men","Manhattan","KS","/teams/events/Eventteam/?TeamId=P5OopdYXgb%2bF8DQuvXVFaQf4UkDGaTG8jm4K05dE9y0%3d",193,"Kansas State",907,"Division I","South Central","Ozarks DI",15,11,213,0.261487853007741
"179","Georgia College (Disconnected)","College","Men","Milledgeville","GA","/teams/events/Eventteam/?TeamId=I7jQiLoR4Wi0nHMqyMmdZ7Ut9c4VWldLMoP2HnFxBWg%3d",142,"Georgia College",1104,"Division III","Southeast","Eastern Southeast DIII",14,10,166,0.260585551120268
"180","Pennsylvania (Void)","College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=N4tGgiijID79HzFUMm1lIFGVQda%2f7PQE%2fkoOcfoL5Wk%3d",175,"Pennsylvania",978,"Division I","Ohio Valley","East Penn DI",12,29,336,0.259466537141599
"181","Rice (Cloud 9)","College","Men","Houston","TX","/teams/events/Eventteam/?TeamId=8hYqMmABou0kA9%2fT%2fckGrUG9SwtGyk2eOgXawYNWgN8%3d",148,"Rice",1087,"Division III","South Central","Texas DIII",11,9,355,0.258913443490891
"182","Texas Christian (High Noon)","College","Men","Fort Worth","TX","/teams/events/Eventteam/?TeamId=E1MLj45mT5byioM1EbTrgFLod4zfur%2bDg%2fvfUUZgcAs%3d",182,"Texas Christian",939,"Division I","South Central","North Texas DI",17,11,440,0.257439648259632
"183","Whitworth (Bangarang)","College","Men","Spokane","WA","/teams/events/Eventteam/?TeamId=%2bo7T%2bg%2bWJM9CdQOcV3g4IntHeMQ%2fURW5vuDq5QDXRj4%3d",171,"Whitworth",987,"Division III","Northwest","Northwest DIII",18,9,496,0.255131596969364
"184","Rhode Island  (RIUT)","College","Men","Kingston","RI","/teams/events/Eventteam/?TeamId=pfKVCQmOzQUk3sNGxA9dmXLnRiMjNYj9nRwTsnAZJj4%3d",150,"Rhode Island",1081,"Division I","New England","South New England DI",15,10,353,0.251306219940535
"185","Washington State (Suspicious Package)","College","Men","Pullman","WA","/teams/events/Eventteam/?TeamId=K5zpnfLtY1aMUku2Wn00vToHKNtXxyYqTyUw77kMi6A%3d",229,"Washington State",747,"Division I","Northwest","Big Sky DI",13,14,479,0.249181094309865
"186","Clark (Heart of Clarkness)","College","Men","Worcester","MA","/teams/events/Eventteam/?TeamId=0Ciin5bASTbsWvqL%2bpg162ljx0%2f7jSEPyUHev4gMurA%3d",NA,NA,NA,NA,NA,NA,1,7,97,0.246786374558792
"187","Truman State (JujiTSU )","College","Men","Kirksville","MO","/teams/events/Eventteam/?TeamId=%2f9JHI%2bPjMnwM2z4xVzwmM4jInsNBCYWc8G7tdyqFBoY%3d",220,"Truman State",808,"Division III","South Central","Northern South Central DIII",12,18,450,0.23263196118161
"188","Las Positas (Hawks)","College","Men","Livermore","CA","/teams/events/Eventteam/?TeamId=L4lir6KToi%2ff2%2bXz%2biurt0%2bI92BijdCI1T0tIBi8lJ0%3d",NA,NA,NA,NA,NA,NA,5,6,222,0.232076987935927
"189","Macalester (Blue Monkeys)","College","Men","St. Paul","MN","/teams/events/Eventteam/?TeamId=RRzpGAIvjSft8vP8JrbFkw%2fndEV%2b4FDGh%2fFCgGWFqq0%3d",169,"Macalester",1001,"Division III","North Central","Northwoods DIII",17,8,236,0.229088266244667
"190","Georgia State (Underground)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=0JsYDH5zmHzNn%2b9do%2bb53vhchcW5HfS2Ud03Rc7uG2c%3d",191,"Georgia State",909,"Division I","Southeast","Southern Appalachian DI",13,22,169,0.22859985892953
"191","Vanderbilt (Armada)","College","Men","Nashville","TN","/teams/events/Eventteam/?TeamId=viUfnl6I2l%2bFOxFHsrloXazBe60Hv0egAivVhqA8kbI%3d",149,"Vanderbilt",1085,"Division I","Southeast","Gulf Coast DI",15,13,464,0.220225939618136
"192","Xavier (B.L.O.B.)","College","Men","Cincinnati","OH","/teams/events/Eventteam/?TeamId=KxieV8Ws83i8Nrzn3lrtDwjeKgIPEMH2YDLgjYfGO3w%3d",205,"Xavier",858,"Division III","Ohio Valley","Ohio DIII",18,17,520,0.216157351059453
"193","Wentworth Institute of Technology  (Concrete Jungle)","College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=zmiw45DQZ0N7XzOtI0JBJFfzxiZ2bdoiu6TU60C%2f2NI%3d",185,"Wentworth Institute of Technology",923,"Division III","New England","Metro Boston DIII",14,15,482,0.216098334135549
