"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","North Carolina (Darkside)","College","Men","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",4,"North Carolina",2056,"Division I","Atlantic Coast","Carolina DI",35,5,292,32.3243887473727
"2","Pittsburgh (En Sabah Nur)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",2,"Pittsburgh",2088,"Division I","Ohio Valley","West Penn DI",32,3,338,29.3945472335718
"3","Massachusetts (Zoodisc)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",1,"Massachusetts",2119,"Division I","New England","South New England DI",26,3,248,27.1876032408879
"4","Carleton College (Carleton College (CUT))","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",3,"Carleton College",2072,"Division I","North Central","Northwoods DI",26,8,77,22.9276684320968
"5","Minnesota (Grey Duck)","College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",5,"Minnesota",2001,"Division I","North Central","Northwoods DI",30,4,266,19.8463607997555
"6","Oregon (Ego)","College","Men","Eugene","OR","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",6,"Oregon",1979,"Division I","Northwest","Cascadia DI",33,6,325,19.6882004194122
"7","Wisconsin (Hodags)","College","Men","Madison","WI","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",9,"Wisconsin",1886,"Division I","North Central","Lake Superior DI",27,11,514,15.278294942673
"8","Colorado (Mamabird)","College","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",11,"Colorado",1877,"Division I","South Central","Rocky Mountain DI",25,7,108,11.6347492959861
"9","North Carolina-Wilmington (Seamen)","College","Men","Wilmington","NC","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",12,"North Carolina-Wilmington",1869,"Division I","Atlantic Coast","Carolina DI",26,9,291,11.1942505188589
"10","Michigan (MagnUM)","College","Men","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",7,"Michigan",1900,"Division I","Great Lakes","Michigan DI",28,5,255,10.5324928975698
