"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"142","Skidmore (Skidmore College ThoroughBEARS)","College","Women","Saratoga Springs","NY","/teams/events/Eventteam/?TeamId=9g%2fJ3kuVswmmR0dJI%2byhKObxGUmF0Y8Dxy9WKYxHRdc%3d",75,"Skidmore",1261,"Division III","Metro East","Eastern Metro East DIII",18,6,232,0.103401658407153
"143","MIT (sMITe)","College","Women","Cambridge","MA","/teams/events/Eventteam/?TeamId=MaIpOTSAjSlOeJ9ekRzvudBcwmIITeExkPdj5GEZ52M%3d",98,"MIT",1066,"Division I","New England","Metro Boston DI",6,17,166,0.103315689995081
"144","Missouri S&T (Miner Threat)","College","Women","Rolla","MO","/teams/events/Eventteam/?TeamId=3hXStfnyuMBmM0GcOQ1y8XfbyaUgfxiXsiTT5FwrU4E%3d",129,"Missouri S&T",863,"Division III","South Central","South Central DIII",7,6,164,0.102123329960976
"145","Haverford (Sneetches)","College","Women","Haverford","PA","/teams/events/Eventteam/?TeamId=C9rF5TVDf6p7dt1CLN%2fh70cv1rPoWOTRIMJzA4Ghovw%3d",104,"Haverford",1027,"Division III","Ohio Valley","Pennsylvania DIII",13,10,117,0.098580453131829
"146","College of New Jersey (Anarchy)","College","Women","Ewing","NJ","/teams/events/Eventteam/?TeamId=YTf0guwmOh7uTbvFwtAuq7pQLHB3%2berfA3Px2D3s8wY%3d",117,"College of New Jersey",933,"Division III","Metro East","Eastern Metro East DIII",13,14,60,0.0976179175447685
"147","Loyola-Chicago (Sirens)","College","Women","Chicago","IL","/teams/events/Eventteam/?TeamId=wA1gxuuk96SzU4NK888bfnSTfVbYmlvYOzOJkgIf2mo%3d",158,"Loyola-Chicago",654,"Division I","Great Lakes","Illinois DI",12,9,141,0.0944262193077463
"148","Mount Holyoke (Daisy Chain)","College","Women","South Hadley","MA","/teams/events/Eventteam/?TeamId=gHteUx32cCZ0teqOvgZpTvcIRVwxLDJDC17R4rRXoeU%3d",79,"Mount Holyoke",1230,"Division III","New England","South New England DIII",13,9,169,0.0933555263740177
"149","Georgia College (Lynx Rufus)","College","Women","MIlledgeville","GA","/teams/events/Eventteam/?TeamId=oBy%2fYsD4CFWHxceGY9znDDUCl3YKBWgq4VmPrFvg%2bnI%3d",125,"Georgia College",874,"Division III","Southeast","Southern Appalachian DI",11,7,102,0.0919007280808533
"150","Mississippi (Landsharks)","College","Women","Oxford","MS","/teams/events/Eventteam/?TeamId=hf6gYBOFCjfpkx4O0i3qNp8RNBykLjvv4iKYWu%2b%2fuyQ%3d",134,"Mississippi",823,"Division I","Southeast","Gulf Coast DI",10,15,161,0.0884769669496215
"151","Rutgers (Rutgers Nightshade)","College","Women","New Brunswick","NJ","/teams/events/Eventteam/?TeamId=ZZNJwc4iiudiN5Om3Ws%2beqaK4p3IhqoGVlPOM9mMNNk%3d",110,"Rutgers",981,"Division I","Metro East","Eastern Metro East DI",17,16,224,0.0879347442538208
"152","SUNY-Binghamton  (Big Bear )","College","Women","Binghamton","NY","/teams/events/Eventteam/?TeamId=2jwCbVfS5qpHZcr1txN4VuzZUFzEnBVPZR1uEStLFkI%3d",88,"SUNY-Binghamton",1169,"Division I","Metro East","Western NY DI",12,15,245,0.0860493561920662
"153","SUNY-Oneonta (Love$eat)","College","Women","Oneonta","NY","/teams/events/Eventteam/?TeamId=GwaRpdJ%2bPRfBDpLrmzUMhMVPJ1fLQk3gN6TguH7rEsw%3d",NA,NA,NA,NA,NA,NA,13,7,249,0.0841257727764413
"154","St Benedict (Rapture)","College","Women","St. Joseph","MN","/teams/events/Eventteam/?TeamId=qE57UeJ7BtJHPoguGjlsKPzQufnim7BjkA4ikMkdJiI%3d",135,"St Benedict",811,"Division III","North Central","North Central DIII",10,9,239,0.0836029236657019
"155","California-San Diego-B (California-San Diego-B)","College","Women","La Jolla","CA","/teams/events/Eventteam/?TeamId=Ub%2bLpLOQR1BpN%2fvaN5Vgyal2x0PjgyONd4xmEr8wDMQ%3d",194,"California-San Diego B",338,"Developmental","Southwest","Southwest Dev",9,10,37,0.0819308623987914
"156","SUNY-Stony Brook (Smash)","College","Women","Stony Brook","NY","/teams/events/Eventteam/?TeamId=V46IwX86LSY0twm4ulc9%2f7lEyfGB8h0R2FuyDM4t7Qk%3d",94,"SUNY-Stony Brook",1087,"Division I","Metro East","Eastern Metro East DI",14,10,250,0.0805226026336018
"157","Catholic (Nun Betta)","College","Women","Washington","DC","/teams/events/Eventteam/?TeamId=dSGFsvKj6zvGLr%2fhRkna1LNL8d97VCwRnLdpauEMick%3d",111,"Catholic",971,"Division III","Atlantic Coast","Atlantic Coast DIII",18,10,46,0.0791189062650246
"158","Mississippi State (Night Mare)","College","Women","Starkville","MS","/teams/events/Eventteam/?TeamId=CFMhcAxHEfHffUDP1PRL%2b7IsYsD94O0LtIDHGqJQls4%3d",168,"Mississippi State",597,"Division I","Southeast","Gulf Coast DI",8,18,162,0.0788156791161321
"159","Wellesley (Whiptails)","College","Women","Wellesley","MA","/teams/events/Eventteam/?TeamId=vt84CP34%2fFazTyLOhK1QXJKUAZvQSR86c6kvK86VtwQ%3d",114,"Wellesley",954,"Division III","New England","Metro Boston DIII",13,9,293,0.0780302500317666
"160","Maryland-B (Cosmic Ultimate)","College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=N%2fQ8jJSeUMS03GlsdMmW%2bVmcM4yHG1IRKQVnOe%2bhdgk%3d",140,"Maryland B",796,"Developmental","Atlantic Coast","Atlantic Coast Dev",16,3,148,0.0762551795029275
"161","Wisconsin-Stevens Point (Shockwave)","College","Women","Stevens Point","WI","/teams/events/Eventteam/?TeamId=gicJKw4GZH%2fCKc8MyQ9ySuOyqIDWrL5RyaMoQP%2b0IIw%3d",NA,NA,NA,NA,NA,NA,8,18,311,0.0754862177476792
"162","Portland State (Osiks)","College","Women","Portland","OR","/teams/events/Eventteam/?TeamId=rg4hqnZW%2fW430ZYlbxOG%2bp1LJnBXSJqFdJieVfrwvFQ%3d",NA,NA,NA,NA,NA,NA,7,17,211,0.0723937179909557
