"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"153","Swarthmore","College","Women","Division III","Ohio Valley","Pennsylvania DIII",6,15,"/teams/events/Eventteam/?TeamId=TL8nNMzOhB%2fV6tENL0mEwHerci5XDIBJ4lk%2fFFi5E2U%3d",0.0313813609420294
"154","NYU","College","Women","Division I","Metro East","Eastern Metro East DI",11,10,"/teams/events/Eventteam/?TeamId=G0XzI8MIhfmYY910WaUIg2Qlo5s7veWeiWEhVV19vyc%3d",0.0286729803295275
"155","Oklahoma","College","Women","Division I","South Central","Ozarks DI",12,12,"/teams/events/Eventteam/?TeamId=9mZQ4N3JWR5vmMZ6tScE2Yw4s8ZRoyLCWiOsN9YRV98%3d",0.0272932105038514
"156","Texas State","College","Women","Division I","South Central","Texas DI",7,10,"/teams/events/Eventteam/?TeamId=8hF8JcZo%2fNSinJjoa93cz6q5CXHLrbjO476VNl9NbME%3d",0.0270960958693773
"157","DePaul","College","Women","Division I","Great Lakes","Illinois DI",5,9,"/teams/events/Eventteam/?TeamId=V0eo6r%2b3r14Qh9s9D%2fPvlY%2ft75afsqbWo1epA7Eaf6w%3d",0.0254275195404724
"158","Wooster","College","Women","Division III","Ohio Valley","Ohio DIII",10,5,"/teams/events/Eventteam/?TeamId=oJc5aIAyNkb3FqIWQjXcqzoiDsUt%2frp7pzylVPu0xqk%3d",0.0248957382227371
"159","Mississippi State","College","Women","Division I","Southeast","Gulf Coast DI",7,18,"/teams/events/Eventteam/?TeamId=CFMhcAxHEfHffUDP1PRL%2b7IsYsD94O0LtIDHGqJQls4%3d",0.0229766848343609
"160","Drexel","College","Women","Division I","Ohio Valley","Pennsylvania DI",2,13,"/teams/events/Eventteam/?TeamId=FpEZjrEKa3XUqrhNpNgpsERhAiUcTQ43ogBysspzAQc%3d",0.0224956467964156
"161","Oberlin","College","Women","Division III","Ohio Valley","Ohio DIII",10,4,"/teams/events/Eventteam/?TeamId=DLHU3Jn2ogr30qcwEHhNI27kWRV8e9ROK0n%2fEYBXTik%3d",0.0212187771814778
"162","California-Irvine","College","Women","Division I","Southwest","SoCal DI",1,10,"/teams/events/Eventteam/?TeamId=4Ey%2ffFygOoPQ3FtKJZIPsdfCt7MMmr3iYhbioKRcvNg%3d",0.0207836703959437
"163","Illinois State","College","Women","Division I","Great Lakes","Illinois DI",4,14,"/teams/events/Eventteam/?TeamId=7vHMnFyXR9aFaU6wkh9we7TDuNtxyCk8Qva8ksAMQng%3d",0.0202840633735679
"164","California-San Diego B","College","Women","Developmental","Southwest","Southwest Dev",4,7,"/teams/events/Eventteam/?TeamId=Ub%2bLpLOQR1BpN%2fvaN5Vgyal2x0PjgyONd4xmEr8wDMQ%3d",0.019696204256165
"165","Wake Forest","College","Women","Division I","Atlantic Coast","Carolina DI",4,16,"/teams/events/Eventteam/?TeamId=qXG6f%2bi7evYJOABVbb97pusmAQCuNW4V80iETttBRzk%3d",0.0193439613012627
"166","North Carolina B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev",12,10,"/teams/events/Eventteam/?TeamId=TSdxuQjaTTT%2bbn29YnFwv%2blQPrmXNKxPNS3LXSDtxEA%3d",0.0193197003109741
"167","Elon","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII",7,10,"/teams/events/Eventteam/?TeamId=68E3gOoti4eHgaIAOl152CFbxpwWhhX1q385%2buNZ7dY%3d",0.0184770276831808
"168","Missouri S&T","College","Women","Division III","South Central","South Central DIII",7,6,"/teams/events/Eventteam/?TeamId=3hXStfnyuMBmM0GcOQ1y8XfbyaUgfxiXsiTT5FwrU4E%3d",0.0180858788914556
"169","Missouri","College","Women","Division I","South Central","Ozarks DI",5,16,"/teams/events/Eventteam/?TeamId=uZ5D3q53CJVk3Tfr2zFniXhMPwH8rM%2b70eglmcwzJCI%3d",0.0175714743501613
"170","George Washington","College","Women","Division I","Atlantic Coast","Colonial DI",7,19,"/teams/events/Eventteam/?TeamId=TumuqVImLwdfPHUGTkihqoeZeLnHaCPw8k2NRmPismU%3d",0.0171977352822616
"171","MIT","College","Women","Division I","New England","Metro Boston DI",5,13,"/teams/events/Eventteam/?TeamId=MaIpOTSAjSlOeJ9ekRzvudBcwmIITeExkPdj5GEZ52M%3d",0.0161660008776107
"172","Richmond","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII",11,5,"/teams/events/Eventteam/?TeamId=h%2fLHIvvLejD4pEjT0ZrcG80ujYRT5pJGbcvfu13N7%2fo%3d",0.0150440932824524
"173","Rensselaer Polytech","College","Women","Division III","Metro East","Eastern Metro East DIII",10,5,"/teams/events/Eventteam/?TeamId=3EB7xsuF0QUP8aUFIPZoXDzrbzMdg%2bNXHaKyGf5GAhY%3d",0.0148349645300752
"174","Virginia Tech","College","Women","Division I","Atlantic Coast","Virginia DI",7,17,"/teams/events/Eventteam/?TeamId=6nJs1k%2fEk7TqqU4m7KOUAxannsz7mBLvsrJTrn2Ypkw%3d",0.0146409607360879
"175","Ohio","College","Women","Division I","Ohio Valley","Ohio DI",5,8,"/teams/events/Eventteam/?TeamId=YSA%2bf%2fsYz3rBDTORSuEf6fflmT0ssUZgPZ1ySB8mRO8%3d",0.0138044699616091
"176","Mary Washington","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII",6,13,"/teams/events/Eventteam/?TeamId=%2blYLJ%2f4DynXWdm%2fFO7YfOa4i%2b3Tzg%2fmCKG8rz9Cj04M%3d",0.0136237452169435
"177","Kansas State","College","Women","Division I","South Central","Ozarks DI",8,11,"/teams/events/Eventteam/?TeamId=z%2fW6ortmjYV7nzsER%2fq9jP1IUlUS6aREeAwaF1Lcaho%3d",0.0126484840919184
"178","Tennessee-Chattanooga","College","Women","Division I","Southeast","Southern Appalachian DI",5,13,"/teams/events/Eventteam/?TeamId=Y73ak340Rd22gAgKFTsPAi%2f1HOt1JkVxXjTIfoqri0E%3d",0.0125696541518655
"179","Virginia Commonwealth","College","Women","Division I","Atlantic Coast","Virginia DI",8,18,"/teams/events/Eventteam/?TeamId=MuwLlx4A3fZ9xMVizIE2x2r%2boBI0HoxsyeRjyhH%2ftFk%3d",0.0123812345567422
