"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","North Carolina (Darkside)","College","Men","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",4,"North Carolina",2056,"Division I","Atlantic Coast","Carolina DI",39,8,292,34.828563580687
"2","Carleton College (Carleton College (CUT))","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",3,"Carleton College",2072,"Division I","North Central","Northwoods DI",33,9,77,30.0465138344308
"3","Massachusetts (Zoodisc)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",1,"Massachusetts",2119,"Division I","New England","South New England DI",31,4,248,29.7219235923002
"4","Pittsburgh (En Sabah Nur)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",2,"Pittsburgh",2088,"Division I","Ohio Valley","West Penn DI",36,5,338,29.1734409037978
"5","Minnesota (Grey Duck)","College","Men","Minneapolis","MN","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",5,"Minnesota",2001,"Division I","North Central","Northwoods DI",33,6,266,20.0854120365222
"6","Oregon (Ego)","College","Men","Eugene","OR","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",6,"Oregon",1979,"Division I","Northwest","Cascadia DI",35,9,325,19.5127594001527
"7","Wisconsin (Hodags)","College","Men","Madison","WI","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",9,"Wisconsin",1886,"Division I","North Central","Lake Superior DI",32,12,514,19.2099524769846
"8","North Carolina-Wilmington (Seamen)","College","Men","Wilmington","NC","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",12,"North Carolina-Wilmington",1869,"Division I","Atlantic Coast","Carolina DI",32,11,291,15.8353395656184
"9","Washington (Sundodgers)","College","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",8,"Washington",1890,"Division I","Northwest","Cascadia DI",29,13,477,12.6093228824411
"10","Colorado (Mamabird)","College","Men","Boulder","CO","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",11,"Colorado",1877,"Division I","South Central","Rocky Mountain DI",27,10,108,11.0433163822253
"11","Cal Poly-SLO (SLOCORE)","College","Men","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",21,"Cal Poly-SLO",1765,"Division I","Southwest","SoCal DI",30,17,55,10.5719420476707
"12","British Columbia (Thunderbirds)","College","Men","Vancouver","BC","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",18,"British Columbia",1810,"Division I","Northwest","Cascadia DI",24,14,47,9.4127901861197
"13","Stanford (Stanford Bloodthirsty)","College","Men","Stanford","CA","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",14,"Stanford",1813,"Division I","Southwest","NorCal DI",28,11,400,9.09837092715567
"14","Brigham Young (CHI)","College","Men","Provo","UT","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",10,"Brigham Young",1882,"Division I","Northwest","Big Sky DI",22,6,46,8.72865177985359
"15","Michigan (MagnUM)","College","Men","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",7,"Michigan",1900,"Division I","Great Lakes","Michigan DI",30,8,255,8.48564384987153
"16","Georgia (Jojah)","College","Men","Athens","GA","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",19,"Georgia",1803,"Division I","Southeast","Southern Appalachian DI",25,8,165,7.83002581691089
"17","Auburn (Aetos)","College","Men","Auburn","AL","/teams/events/Eventteam/?TeamId=t9l5eJtNdev%2bjDQ9ssYoEi9Otfbn4IeepbeItME4Lrs%3d",17,"Auburn",1811,"Division I","Southeast","Gulf Coast DI",29,16,24,7.57820811326634
"18","North Carolina State (NCSU Wolfpack)","College","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",20,"North Carolina State",1775,"Division I","Atlantic Coast","Carolina DI",30,13,293,6.80623105875516
"19","Central Florida (Dogs of War)","College","Men","Orlando","FL","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",22,"Central Florida",1711,"Division I","Southeast","Florida DI",27,15,87,6.62926045662518
"20","Colorado State (Hibida)","College","Men","Fort Collins","CO","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",16,"Colorado State",1813,"Division I","South Central","Rocky Mountain DI",25,15,112,6.31687708936865
"21","Florida (Florida)","College","Men","Gainesville","FL","/teams/events/Eventteam/?TeamId=p6Oa%2fO5c4opxvVr%2bnt556ig40ZsdI4NLAfq5Oc1NiUc%3d",39,"Florida",1589,"Division I","Southeast","Florida DI",29,12,147,5.63223715730567
"22","Texas A&M (Dozen)","College","Men","COLLEGE STATION","TX","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",15,"Texas A&M",1813,"Division I","South Central","South Texas DI",25,12,438,5.57735237493203
"23","Oregon State (Beavers)","College","Men","Corvallis","OR","/teams/events/Eventteam/?TeamId=KK9IlE32pAzCH4xAy%2bN2lJKVus6hjjCV%2bu8zX4bboVs%3d",33,"Oregon State",1599,"Division I","Northwest","Cascadia DI",28,21,327,5.11923126949183
"24","Franciscan (Fatal)","College","Men","Steubenville","OH","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",46,"Franciscan",1548,"Division III","Ohio Valley","Ohio DIII",35,1,155,4.62130285329919
"25","Connecticut (UConn Grind)","College","Men","Storrs","CT","/teams/events/Eventteam/?TeamId=YYnZYOyp3grP1GuSgf90imP3KKBYrG6C3NUoIhxf65k%3d",24,"Connecticut",1662,"Division I","Metro East","Hudson Valley DI",24,20,116,4.43129112947256
"26","Florida State (DUF)","College","Men","TALLAHASSEE","FL","/teams/events/Eventteam/?TeamId=Jjdh%2fXtnfhVHWcjlZqdfm3BtjB50AjaNgx%2frE6YoiSE%3d",32,"Florida State",1603,"Division I","Southeast","Florida DI",19,17,151,4.18589470835645
"27","Virginia (Night Train)","College","Men","Charlottesville","VA","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",26,"Virginia",1632,"Division I","Atlantic Coast","Virginia DI",26,9,470,3.85372832177416
"28","California-Santa Barbara (Black Tide)","College","Men","Goleta","CA","/teams/events/Eventteam/?TeamId=nelFhkhjgGclVCvGljw%2fHnNM7puXeb56ng695eGpy6E%3d",42,"California-Santa Barbara",1566,"Division I","Southwest","SoCal DI",21,17,67,3.56310553815496
"29","Southern California (USC Lockdown)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=CxR4R4GqVpPdk%2b%2bJ9Fd8LgQMMKPk5yIgX6QA4gjkaFc%3d",23,"Southern California",1673,"Division I","Southwest","SoCal DI",25,10,386,3.50790660463352
"30","Case Western Reserve (Fighting Gobies[A])","College","Men","Cleveland","OH","/teams/events/Eventteam/?TeamId=rM4XY89tFm7AEQ3s7Cm87hmWl3Oe2j2OTZ3I49m3rMc%3d",34,"Case Western Reserve",1597,"Division I","Ohio Valley","Ohio DI",22,13,81,3.42887033988771
"31","Brown (Brownian Motion)","College","Men","Providence","RI","/teams/events/Eventteam/?TeamId=OUvScYkbw0BFIf8OR05004gIdCq5%2bEKKkgCM0P3ASIw%3d",30,"Brown",1611,"Division I","New England","South New England DI",14,17,50,3.38142687576541
"32","Cincinnati (Cincinnati)","College","Men","Cincinnati","OH","/teams/events/Eventteam/?TeamId=DGe1rZIRMlgiShbKCDcbv5dp6NL7vaFtP6tDaHA%2b6eg%3d",44,"Cincinnati",1564,"Division I","Ohio Valley","Ohio DI",23,12,95,3.22215074064129
"33","James Madison (Hellfish)","College","Men","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",40,"James Madison",1581,"Division I","Atlantic Coast","Virginia DI",26,11,206,3.21965182744514
"34","Purdue (Undue Ultimate)","College","Men","West Lafayette","IN","/teams/events/Eventteam/?TeamId=8XhkSNmN63ufgVWOWT6OLqvw9O3kfk5v59B4fOD%2fJ4o%3d",31,"Purdue",1608,"Division I","Great Lakes","East Plains DI",27,7,345,3.19676696290286
"35","Northwestern (NUT)","College","Men","Evanston","IL","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",29,"Northwestern",1615,"Division I","Great Lakes","Illinois DI",31,12,307,3.16101242968518
"36","Texas (TUFF)","College","Men","Austin","TX","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",36,"Texas",1593,"Division I","South Central","South Texas DI",18,16,435,3.12458013254247
"37","Western Washington (Dirt)","College","Men","Bellingham","WA","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",37,"Western Washington",1592,"Division I","Northwest","Cascadia DI",16,15,490,3.05679660907024
