"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"29","Virginia (Night Train)",36,7,"College","Men","Charlottesville","VA","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",471,3.85518916957943
"30","California-Santa Barbara (Black Tide)",38,30,"College","Men","Goleta","CA","/teams/events/Eventteam/?TeamId=nelFhkhjgGclVCvGljw%2fHnNM7puXeb56ng695eGpy6E%3d",67,3.83052679023678
"31","Cincinnati (Cincinnati)",44,22,"College","Men","Cincinnati","OH","/teams/events/Eventteam/?TeamId=DGe1rZIRMlgiShbKCDcbv5dp6NL7vaFtP6tDaHA%2b6eg%3d",95,3.64087765740111
"32","Texas A&M (Dozen)",25,12,"College","Men","COLLEGE STATION","TX","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",439,3.62197954298285
"33","Southern California (USC Lockdown)",32,9,"College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=CxR4R4GqVpPdk%2b%2bJ9Fd8LgQMMKPk5yIgX6QA4gjkaFc%3d",387,3.61126700524764
"34","Brown (Brownian Motion)",20,30,"College","Men","Providence","RI","/teams/events/Eventteam/?TeamId=OUvScYkbw0BFIf8OR05004gIdCq5%2bEKKkgCM0P3ASIw%3d",50,3.27173628523346
"35","Iowa State (ISUC)",48,16,"College","Men","Ames","IA","/teams/events/Eventteam/?TeamId=sZVKoPDQhqIVwv2VnZyEGynxRoEmPoPxx1SgajX1j2I%3d",202,3.24159579594432
"36","Western Washington (Dirt)",18,22,"College","Men","Bellingham","WA","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",491,3.13923411953874
"37","Northwestern (NUT)",42,18,"College","Men","Evanston","IL","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",308,3.11690525603987
"38","Notre Dame (Papal Rage)",33,21,"College","Men","Notre Dame","IN","/teams/events/Eventteam/?TeamId=WgRfir8LU7DOF%2bdWNsPthKYWwj4uiLzr6G4izUkmxVM%3d",310,3.03956809856932
"39","Virginia Tech (Burn)",19,22,"College","Men","Blacksburg","VA","/teams/events/Eventteam/?TeamId=cka3O9x4lcgypSMx8dYlv3ZdTWfKMlJDK6rm9lGMSQE%3d",474,2.97308467637761
"40","Harvard (Red Line)",30,28,"College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",182,2.70870844687923
"41","LSU (LSU Ultimate)",60,24,"College","Men","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",233,2.69065912275053
"42","Texas (TUFF)",16,24,"College","Men","Austin","TX","/teams/events/Eventteam/?TeamId=IpqF2j5DGGSa4G05i%2fN9juaihnT8eQxDdoJmCkCdgfg%3d",436,2.69058295495405
"43","James Madison (Hellfish)",46,16,"College","Men","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",206,2.68453544983413
"44","Penn State (Spank)",32,8,"College","Men","State College","PA","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",332,2.59110972895715
"45","Ohio State (Leadbelly)",41,28,"College","Men","Columbus","OH","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",318,2.58671178586294
"46","Texas Tech (Tumbleweed)",37,5,"College","Men","Lubbock","TX","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",443,2.35349552652892
"47","William & Mary (Darkhorse)",30,18,"College","Men","Williamsburg","VA","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",498,2.34597333354847
"48","Tufts (Elephant Men)",8,16,"College","Men","Medford","MA","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",453,2.31206329864665
"49","Northeastern (Huskies)",30,14,"College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",302,2.24828431962934
"50","Air Force (Afterburn)",54,8,"College","Men","USAF Academy","CO","/teams/events/Eventteam/?TeamId=fpIytPB8Dx8D%2bL%2fkzLPPlRYLVEip8jnSUOtmSvMfe9g%3d",1,2.15429654421599
"51","Villanova (Main Line Ultimate)",32,17,"College","Men","Villanova","PA","/teams/events/Eventteam/?TeamId=9lBthNu%2fVQzijesSj9EhIFh6Neq8MCxBUn%2fhVEEcj3M%3d",469,2.06207290973729
"52","Emory (Emory Juice)",40,22,"College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=eWCzyIv%2bSrZj08gDeJjqfsjGStcMk10ToMQ9iLcKGRA%3d",144,1.90086747957398
"53","California-San Diego (Air Squids)",22,26,"College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=g%2b5fP8ugcD%2bL221WEoSTUmqynJ0Y9IB8S%2fEbDOoChRI%3d",65,1.8159583659774
"54","Clemson (Joint Chiefs of Waft)",32,36,"College","Men","Clemson","SC","/teams/events/Eventteam/?TeamId=tc9UyJTaX5LKMgJ535CxjSMVhuhozup31vjSyx3q4d4%3d",100,1.79800480360247
"55","Colorado College (Wasabi)",46,8,"College","Men","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=3x6AvfTJCnboUJDh5njMg7rapfixLdypMISpRG3T2Ds%3d",109,1.75750536396436
"56","Iowa (IHUC)",48,34,"College","Men","Iowa City","IA","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",200,1.73200426488575
"57","George Washington (G-Dub Hippos)",40,12,"College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=bYgFb61CtHM6%2bRdfAs3JRH6dvZQX7Qnfnsn1nqK8Yv0%3d",161,1.66734914307058
"58","Maryland (Maryland Ultimate)",50,18,"College","Men","College Park","MD","/teams/events/Eventteam/?TeamId=vpO8IDzh0CE7pgnQnnC%2fSHS8GzgkuiKxuhA%2bX81C1EE%3d",245,1.62433071125272
"59","John Brown (Ironfist)",48,12,"College","Men","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=CTVb1gnmHNTikOYyZqvozB83tJJUwUzfRvkyYdpSbQk%3d",207,1.58336224642695
"60","Georgia Tech (Tribe)",30,40,"College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=MT%2fVWJEI5XhmTVdRDaQhMbrckbFJu%2fObwFy0ytoRsMw%3d",171,1.56709478406382
"61","Richmond (Spidermonkeys)",25,17,"College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=BOu52yIpK8UabwRgnYVxum02k8MsmgUjS3WHjqARGCg%3d",356,1.56111536557801
"62","Illinois (Illinois Ultimate)",24,26,"College","Men","Champaign","IL","/teams/events/Eventteam/?TeamId=Dt%2fGNzRwOX8%2bfQu6yc0cHFo89pJVTkxCCrMJRbpVnpY%3d",193,1.54756224117647
"63","Montana State  (Rum Runners)",30,6,"College","Men","Bozeman","MT","/teams/events/Eventteam/?TeamId=K4NGflpVOgSAJTJEbD5qCe5sxkF9ZsO5QqXmH6jVpac%3d",278,1.52638722741837
"64","Arkansas (Ludicrous Speed )",24,20,"College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",20,1.50319302465142
"65","Georgia Southern (Eagles)",42,24,"College","Men","Statesboro, GA","GA","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",168,1.48179782606883
"66","Tennessee (Agent Orange)",32,23,"College","Men","Knoxville","TN","/teams/events/Eventteam/?TeamId=KSrojy1smBAQRLAkb%2bco%2b7qDvP4gDX4Plbm19SHH9qY%3d",428,1.47266121344711
"67","Amherst (Army of Darkness)",38,12,"College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",12,1.45002648370881
"68","Utah State (USULT)",20,18,"College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",461,1.44892071657961
"69","Carleton College-GoP (Gods of Plastic)",36,10,"College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=SFOuSxNgXNRdrhe50SdBj4XRfw62Yz1tuY9INL3X20Y%3d",76,1.42452115708943
"70","California-Davis (Davis Dogs)",28,28,"College","Men","Davis","CA","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",61,1.32582756911624
"71","Vermont (Chill)",18,9,"College","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=ZZIVWFW12JtpVc8PsvdoPFShuAuZjdeDSvUYAeLmLa4%3d",467,1.31822060686605
"72","Tennessee-Chattanooga (Swamp Donkeys)",35,25,"College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",427,1.29355457692627
"73","Nevada-Reno (Elevation Ultimate)",31,19,"College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",284,1.28464469755304
"74","Williams (WUFO)",33,31,"College","Men","Williamstown","MA","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",500,1.2592582894592
"75","Davidson (DUFF)",42,26,"College","Men","Davidson","NC","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",125,1.24077334308679
"76","Alabama-Huntsville (Nightmares)",44,12,"College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",6,1.23680726373397
"77","Lehigh (Lehigh )",42,24,"College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",226,1.22790945617396
"78","California (California-Berkeley)",22,34,"College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",71,1.22281883261882
"79","Oklahoma (Apes of Wrath)",25,16,"College","Men","Norman","OK","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",322,1.19899792619504
"80","Utah (Zion Curtain)",20,14,"College","Men","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",460,1.1872338463707
"81","Victoria (Vikes)",8,21,"College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",468,1.14792331190009
"82","North Carolina-Asheville (UNC Asheville Bulldogs)",23,12,"College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",288,1.10995508966583
"83","Washington University (Contra)",25,18,"College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=5oOYlrU3ho%2fA15VgLDs%2fuzBSMRXoVPqPqlCjYEbwRI4%3d",481,1.10359298673423
"84","South Florida (Scallywags)",19,24,"College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",385,1.08139622432974
"85","Arizona State (Prime)",18,32,"College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",18,1.07388917571812
"86","Dartmouth (Pain Train)",34,32,"College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",124,1.06325547908095
"87","Illinois State (Gnomes)",38,28,"College","Men","Normal","IL","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",195,1.03614732424583
"88","Ohio (Ohio University)",27,17,"College","Men","Athens","OH","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",315,1.03201962485015
