"Rank","Team","Wins","Losses","Rating","City","State"
1,"Johnny Encore",14,2,0.210170864592166,"Denver","CO"
2,"Rest Stop",6,2,0.0610250052409463,"Baltimore","MD"
3,"Voltron 2020",6,2,0.0594488183297154,"Seattle","WA"
4,"Boneyard",6,1,0.0577133932284845,"Raleigh-Durham","NC"
5,"Black Cans & Highlands",5,4,0.0365328766395914,"Washington","DC"
6,"All Bashed Out",6,3,0.0266651026293437,"Albany ""Cap City Bang Bang""","NY"
7,"Surly",11,2,0.0254882187206719,"MINNEAPOLIS","MN"
8,"Crawl",6,3,0.00612882968465411,"Phoenix","AZ"
9,"Horse",1,1,0.00212426024585774,"New York","NY"
10,"Pacemaker",9,3,0.000861653931262051,"Chicago","IL"
11,"Get Off My Lawn",0,2,0.000559015333329319,"Burlington","VT"
12,"Beyondors",1,1,0.000381348735548092,"Santa Barbara","CA"
13,"Gravy Train Wreck",1,6,0.000144451566449876,"Seattle","WA"
14,"Surly Cynic",9,6,0.000136536409720239,"Minneapolis","MN"
15,"Naptown",6,6,7.99955008245695e-05,"Indianapolis","IN"
16,"Young OG's",0,2,5.44783449583102e-05,"San Diego","CA"
17,"Geronimo",7,6,4.36659179243397e-05,"Dallas/Fort Worth","TX"
18,"Royal Stag",5,8,2.10255168414746e-05,"Madison","WI"
19,"Winnipeg",4,4,1.16291206645325e-05,"Winnipeg","Manitoba"
20,"s.u.r.l.y. BURNSIDE",0,2,1.16018288982462e-05,"Gresham","OR"
21,"(burnside) TIPP CITY",2,5,8.65815317548075e-06,"Portland","OR"
22,"Outlaw",4,9,7.23807216269015e-06,"Fayetteville","AR"
23,"Polar Vortex",2,9,5.68042624862032e-06,"Chicago","IL"
24,"Xtra Surly",0,6,4.46634950369811e-06,"Minneapolis","MN"
25,"FoG",0,5,2.34728168089886e-07,"Cincinnati","OH"
26,"Clippers",0,2,0,"Baltimore","MD"
26,"curmudgeon",2,4,0,"Houston","TX"
26,"HOV Violators",1,1,0,"Arlington","VA"
26,"Mr Miyagi",0,5,0,"Arlington","TX"
26,"Woolly Mammoth",0,1,0,"Gainesville","FL"
