"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Four Rivers Charter School (Four Rivers Varsity Girls)",6,0,"High School","Girls","Greenfield","MA","/teams/events/Eventteam/?TeamId=8OSnpwqyuAH3t59ra4dbCLpeeQoLmUrKKzoPBa%2fAAmo%3d",36,18.9896724661276
"2","Lower Merion (Lady Baba)",6,0,"High School","Girls","Ardmore","PA","/teams/events/Eventteam/?TeamId=MYzqjzj9K3W43FlCErNIcr8rMF447x7Rv6uA8%2beNw9o%3d",67,9.36000000000005
"3","Lone Peak (Lone Peak)",16,0,"High School","Girls","Highland","UT","/teams/events/Eventteam/?TeamId=8bP9QvfIlxR357xgEO8kOrkNu6oJCJCgWiI7YeTa4V8%3d",64,8
"4","Boulder (Flower Power)",10,0,"High School","Girls","Boulder","CO","/teams/events/Eventteam/?TeamId=WWniSFFH4KanrASx%2b4Fd3MVY0yhVyPgsjO0h3ZP1YCc%3d",8,7.51314899647332
"5","Great River School (Great River Stars)",6,0,"High School","Girls","St. Paul","MN","/teams/events/Eventteam/?TeamId=jIs6QQH%2fymdxBuy8X1L1IQTKJIkagiAkh%2fjnHeC%2bJSU%3d",43,6.24050502392121
"6","Watchung Hills (Lady Warriors)",3,0,"High School","Girls","Warren","NJ","/teams/events/Eventteam/?TeamId=rPUkg8GoBXb8g6RscmlCacn6qRErRTgzk0UxSovLmAg%3d",115,5.99999999999999
"7","Holy Family Catholic (Omega)",15,3,"High School","Girls","Cincinnati","OH","/teams/events/Eventteam/?TeamId=K8PrC3Qshnqlk%2fygUVikLE67CaZ9aK0PxYHZEem0ogU%3d",49,5.6974066232144
"8","HB Woodlawn Secondary Program (Pandamonium)",5,0,"High School","Girls","Arlington","VA","/teams/events/Eventteam/?TeamId=f8OIhFd5Fx0U3kdke2w0WiHNkDC1CgxxMBncKUVm3vE%3d",47,5.6896551724138
"9","High Country Christian Homeschoolers (Barefoot in the Park)",12,3,"High School","Girls","Valle Crucis","NC","/teams/events/Eventteam/?TeamId=VUU4e79bxGqmxyKxopWBP99f%2bM2D1vc0y7A8%2fztgHmY%3d",48,4.78741051298624
"10","Madison West High School (Nemea A)",10,1,"High School","Girls","Madison","WI","/teams/events/Eventteam/?TeamId=05T7kuvmD2zpROxLEoC6FtUAjrV%2fXVkF3XriBFL34EI%3d",70,4.04046602559448
"11","Radnor (Radnor Girls Varsity)",6,1,"High School","Girls","Radnor","PA","/teams/events/Eventteam/?TeamId=uccjj8gk4eLGXz9IHA3RQFfCxRB6ZIhEfW283r2SQQ0%3d",97,3.64000000000002
"12","Carolina Friends School (Koi)",10,6,"High School","Girls","Carrboro","NC","/teams/events/Eventteam/?TeamId=EORRS%2b8QyPdBtZcN4wy%2bGRrXq3JBrwnyB%2fqCk4iP6So%3d",13,3.04686500964969
"13","Lindbergh High School (Lady Flyers)",2,0,"High School","Girls","Saint Louis","MO","/teams/events/Eventteam/?TeamId=uRcx%2blSykXZJEr9Jcr7dwT8oeus12IJ2TULw%2bC69HEo%3d",62,2.75000000000001
"14","East Chapel Hill High School (East Eclipse)",9,7,"High School","Girls","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=1G%2fDynSh6xBDt9Uh1zleNBQl%2blAHVfJ%2f%2fx9HGZIBGwo%3d",29,2.60303433050803
"15","Holy Family Catholic-JV (Omega)",6,0,"High School","Girls","Cincinnati","OH","/teams/events/Eventteam/?TeamId=J3nswtylcCKfBQvU3C66waP09CRy%2f1hU1CeuM0rOQQE%3d",50,2.19448517264022
"16","Edina High School (JV) (Edina Ultimate Girls JV )",3,2,"High School","Girls","Edina","MN","/teams/events/Eventteam/?TeamId=NTN5ZbWZ3y3VMyq%2bU0vHWsDCCF%2ftTZB7X26VwT3PTbM%3d",34,1.9653604990399
"17","Roseville (Riveters)",3,1,"High School","Girls","Roseville","MN","/teams/events/Eventteam/?TeamId=6qRJrMUV%2bMiopdVNgt6d8%2fM1whImbkv6yR9sFRNNaVc%3d",100,1.95213771818043
"18","Robbsindale Armstrong (Gold)",9,3,"High School","Girls","Plymouth","MN","/teams/events/Eventteam/?TeamId=%2bP3LCyhgCrydrqSmJj%2b2cZ5DNfSBDHHogu9m8bgh6pM%3d",99,1.95114585160879
"19","Cathedral High School (Phoenix)",7,3,"High School","Girls","Saint Cloud","MN","/teams/events/Eventteam/?TeamId=6%2bz0Q2ZdmKcv69jEuEvnFoMb2RnR%2foUO50yi2RbFqkY%3d",14,1.68947536103462
"20","East High School (Denver East Girls)",9,2,"High School","Girls","Denver","CO","/teams/events/Eventteam/?TeamId=Mep3NaMCnMJV%2fcGESgnZK8wRJJlL%2bhn6dH0ylGtNDmE%3d",30,1.6255591091816
"21","South High School (South Squall Varsity)",4,2,"High School","Girls","Minneapolis","MN","/teams/events/Eventteam/?TeamId=aib73E%2f6vuJH%2fZscGlD703hkdvAkICLLFD%2f3Hl9jX9Y%3d",106,1.56877780295387
"22","Cooper High School (CULT)",4,2,"High School","Girls","New Hope","MN","/teams/events/Eventteam/?TeamId=k7ig3N4k8%2fze39Dj2ixO1BbZkpaWg3CyYkwWh7dxr2Q%3d",24,1.52485081536152
"23","Mount Notre Dame (Savages)",9,3,"High School","Girls","Cincinnati","OH","/teams/events/Eventteam/?TeamId=9bw8C1tC64aZA2irhUPTKPyXQrwUpIfwtTtt4%2ffobso%3d",78,1.14695593146518
"24","Durham School of the Arts (Bull City Bulldogs)",3,11,"High School","Girls","Durham","NC","/teams/events/Eventteam/?TeamId=CrbzfvcJibjujm7jry7i7I23kixG0%2bz%2b8Gb2Lyp1kjY%3d",27,1.10861463958829
