"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Wild Card",20,0,"Club","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=gu%2fYz2LSyoM9EqZKG9M0h7bL9lSEVUfZxMd6hOgvJTo%3d",419,29.4266350309584
"2","Slow White",16,4,"Club","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=LWmzGXMvYrXrW3jtfmhXgt4bj4F2SgOCO33RwPHnFSk%3d",338,27.1870551308812
"3","AMP",5,2,"Club","Mixed","Philadelphia","PA","/teams/events/Eventteam/?TeamId=lNTIRTSzmYCex2yuSSF5XmYl4M150JNNkYnzuuTaIX4%3d",18,18.1387341489809
"4","Seattle Mixtape",4,2,"Club","Mixed","Seattle","WA","/teams/events/Eventteam/?TeamId=43OgrN9qDc5AXUeL6maHTHcZbsAvIoiOlhRVQ6%2ff2I8%3d",328,16.4921425197311
"5","Tanks Obama (Team USA, WCBU Mixed)",7,0,"Beach","Mixed","San Francisco","CA","/teams/events/Eventteam/?TeamId=egrqW2WhF6AVqmThprfxl%2biOOLshkq6hxjY8kbzkv9M%3d",371,14.6457094323346
"6","BFG",5,2,"Club","Mixed","Seattle","WA","/teams/events/Eventteam/?TeamId=e4ui7ao%2bktPQVwBGYXVGP8gQKCyrfLqBgKfIgGmycCk%3d",38,13.2284086618291
"7","Mischief",7,0,"Club","Mixed","San Francisco Bay Area","CA","/teams/events/Eventteam/?TeamId=T4HjYDwJhLXrXlk%2fXDmUGg6j7oBV9MEQioomYvcSy7E%3d",233,10.4090357711055
"8","St. Charles Preparatory School (St. Charles)",9,0,"High School","Mixed","Columbus","OH","/teams/events/Eventteam/?TeamId=63KSODft97d9KLrQIG6o9CJ18mQYBOm7JGVwAhfw0a0%3d",351,10.3297847889641
"9","Lone Peak (Lone Peak (A))",6,0,"Middle School","Mixed","Highland","UT","/teams/events/Eventteam/?TeamId=ViKnDswcg8D75T54UmFSMS%2ffzZDk9bbPWxJ6W%2b98b4M%3d",198,9.16666666666671
"10","Drag'n Thrust",4,2,"Club","Mixed","Minneapolis","MN","/teams/events/Eventteam/?TeamId=hN4HeqrkCpK2lIoW9etyrkYqcKRHePN3o7Zz9x0iVR8%3d",105,8.44820051943421
"11","Blackbird",8,5,"Club","Mixed","San Francisco","CA","/teams/events/Eventteam/?TeamId=vbKzuNLGjAFiyc88d6wXrJn4r%2bD3KuKF4L7x9eqhA3U%3d",46,7.80460687680628
"12","Polar Bears",6,1,"Club","Mixed","Berkeley","CA","/teams/events/Eventteam/?TeamId=ApTYGoqFaG%2b3H5MGXRdAHYDaa82cKsuZ9vuQj9LZsqc%3d",293,7.68847552731829
"13","shame.",10,3,"Club","Mixed","Fort Collins","CO","/teams/events/Eventteam/?TeamId=miTnWsfPV6m7kAu%2bYgrmhn0MxB%2fGNsXvdfv62Dd1amM%3d",333,7.20187703826673
"14","Pitman High School  (Taco Truck)",3,0,"High School","Mixed","Turlock","CA","/teams/events/Eventteam/?TeamId=W%2f7%2b7Yn3N5%2f1%2fRsGO9YKbuFfZNalG66EMNRVanbqOdc%3d",288,7
"15","Swamp Rats",6,0,"Beach Masters","Mixed","The Great Dismal Swamp","NC","/teams/events/Eventteam/?TeamId=N6Y7TvDHyAGLSQ2u3BsYTuueYQX1%2b2F4oLnsBZ2Rsmo%3d",365,5.4892982674803
"16","The Administrators",4,0,"Club","Mixed","Willamette Valley","OR","/teams/events/Eventteam/?TeamId=p1GBAasKguXJFxLtOGcpFNwtQQuBpuojcg51UxYarpo%3d",377,5.43086360875524
"17","Steamboat",4,3,"Club","Mixed","Cincinnati","OH","/teams/events/Eventteam/?TeamId=OHWapKJklngu%2f7PfJoNB%2fboOPpvlrtmF4l2gqrq6mCo%3d",356,5.10078556802757
"18","Chippewa Middle School (Chippewa Chargers)",2,0,"Middle School","Mixed","Shoreview","MN","/teams/events/Eventteam/?TeamId=qFFLgCnBrBxUeuJmaglG6mR2SNpH7%2fHICznxqKaYMnM%3d",80,5
"19","Marquette Open (Marquette Open)",2,0,"High School","Mixed","Chesterfield","MO","/teams/events/Eventteam/?TeamId=zix2vGdx5DyYzRisV4iHG64dPP2HZ5ArAaZvNLiDfeM%3d",218,4.99999999999999
"20","7 Figures",7,3,"Club","Mixed","Los Angeles","CA","/teams/events/Eventteam/?TeamId=DdRDiQz6IxMwCPUPiheYG8Zoq1ZJngecUJTqnn920gY%3d",5,4.88861352232249
"21","Toro",11,2,"Club","Mixed","Durham","NC","/teams/events/Eventteam/?TeamId=yy2RaA0dhQ%2bmTTYcjS7%2fyd0VEhN3gnVg2FlTG%2bZZ1zI%3d",395,4.83204371461448
"22","UPAARP",6,2,"Masters","Mixed","Chicago","IL","/teams/events/Eventteam/?TeamId=yeIQNo10ee%2bBVsYSl0M9nzl0Y6wAxq4T1AgdGm7aaR0%3d",406,4.55367270235115
"23","Love Tractor",8,4,"Club","Mixed","Denver","CO","/teams/events/Eventteam/?TeamId=kOSB90ShnuST%2bGp2yOpR3nnqXXra1MlxZBnfCeIZFyQ%3d",206,4.45711554007356
"24","512",8,1,"Masters","Mixed","Austin","TX","/teams/events/Eventteam/?TeamId=2R3Rj3BxgAGDzAy7UAiBNFJidlBEJkD%2bgVx7IWoQ6KI%3d",4,4.39832979557451
"25","The Denver Waldorf School (DWS Spartans)",3,0,"Middle School","Mixed","Denver","CO","/teams/events/Eventteam/?TeamId=JbX5BRvTyR2auTINtD0l3%2bWJe2nzIdG%2bV8J3A6dtA1M%3d",380,4.36658275385325
"26","Rocky Mountain High School-Upper (Rocky Mountain )",4,2,"High School","Mixed","Meridian","ID","/teams/events/Eventteam/?TeamId=r8la09rG9sda6ABkjIvLUuDwHvgDtw6r6%2fRAIq4GQSo%3d",316,3.94783090945952
"27","Over The Hill",6,1,"Beach Masters","Mixed","Washington DC","DC","/teams/events/Eventteam/?TeamId=oDxsWkQtAJJRx9P0Hh4tlPDVxENwBQeq2h0PNbI%2b8eg%3d",276,3.69062117961726
"28","Bishop Watterson High School (Watterson LazerKatz)",8,2,"High School","Mixed","Columbus","OH","/teams/events/Eventteam/?TeamId=3uueJv4jNEjg1UQdSLVlWj8A%2fc1Alhv1mc9fm7Vh8o4%3d",44,3.59058652280278
"29","Marcus 1 (Marcus 1)",5,0,"High School","Mixed","Flower Mound","TX","/teams/events/Eventteam/?TeamId=41wWT%2b3rIkLgnU3Opw2DxvTiOME%2fyXwtsiUP6%2f3SB8A%3d",214,3.54195852629453
"30","CESJDS & Field (Private Stock)",2,0,"High School","Mixed","Bethesda","MD","/teams/events/Eventteam/?TeamId=CBss4a7Uejo7qVwN8b66n5a7M%2bOs7JO7tnJ%2fULt3XLs%3d",75,3.43359555761222
"31","BoyShe",10,5,"Club","Mixed","Boise","ID","/teams/events/Eventteam/?TeamId=6FsyMr%2bW%2bzyNFP6TxfiNKI4VuG8lucPPS3CvH1w5fnc%3d",57,3.42916799907461
"32","Warren Central  (Parakeet Penguins)",5,0,"High School","Mixed","Indianapolis","IN","/teams/events/Eventteam/?TeamId=j5wUxciOnvJjgcI1SnF83PeUxUsG4nTqbfYhyZt9Z1k%3d",411,3.07521319964117
"33","Hudson Ultimate",3,0,"High School","Mixed","","","/teams/events/Eventteam/?TeamId=l4x2tkvPXq%2fM1sgn%2bm%2bumZJowTQyN3iDRxBsbOHypYU%3d",162,3
"34","Snake Country Bromance",5,1,"Club","Mixed","SOMERVILLE","MA","/teams/events/Eventteam/?TeamId=mOHZTOTZgUOP9%2fAVXpMCl5LFrV%2fO9FKAoo9Eaz%2beVMw%3d",339,2.94828528449685
"35","St. Charles North (Northstar Ultimate)",2,0,"High School","Mixed","St. Charles","IL","/teams/events/Eventteam/?TeamId=NHL7nhT8dTrjqIysgByeEOUfdoZcEqBBlTURebVCjgE%3d",350,2.94736842105264
"36","Public Enemy",3,6,"Club","Mixed","Dallas/Fort Worth","TX","/teams/events/Eventteam/?TeamId=OVDk0WUIJymlR7MenwOUYAxHN9utvhj4tTlakbwUE%2fM%3d",303,2.83611734358658
"37","International School of Denver (ISD Dragons)",2,1,"Elementary School","Mixed","Denver","CO","/teams/events/Eventteam/?TeamId=niITYb84IZTb1xZSxCz9MjZpg5SDPZcAc02nT%2fCk774%3d",169,2.8228225967333
"38","Long Beach",5,2,"Beach","Mixed","Long Beach","CA","/teams/events/Eventteam/?TeamId=nqD0WOYQpa%2fmtV0UNkolLxmqj530GtY4CqMTW234ugk%3d",199,2.75120448365854
"39","Birdfruit",7,1,"Club","Mixed","Seattle","WA","/teams/events/Eventteam/?TeamId=5y1M8b0M9jAfQPuH1XP0gtE%2bmL%2fptHur3f3duJq3uak%3d",41,2.69360723855929
"40","Mountain View High School (Mavericks)",6,1,"High School","Mixed","Boise","ID","/teams/events/Eventteam/?TeamId=Ip5rFmZe%2bn2XF%2bd1EXfz8VcRQR79vo9AWSusY01pMZo%3d",246,2.65648492171881
"41","NOISE",3,3,"Club","Mixed","Madison","WI","/teams/events/Eventteam/?TeamId=n2J%2fTkrY4OpXCwANfzXMX%2b1HAOxUBN0a2YuA4gmbVDM%3d",260,2.59660110140976
"42","Hopkins - MSL Black",3,0,"Middle School","Mixed","Hopkins","MN","/teams/events/Eventteam/?TeamId=H4b4G4QSAMCeYZsJ18TdfMSkDAu6vAy9EybaOeNCItw%3d",157,2.57988165680473
"43","Members Only",7,3,"Masters","Mixed","SoCal","CA","/teams/events/Eventteam/?TeamId=6lMOfRV0rfqkl8R4ImGVNJAKGmiEof1XnzrdzQ41c4A%3d",222,2.44455893704127
"44","The Chad Larson Experience",3,3,"Club","Mixed","Ames","IA","/teams/events/Eventteam/?TeamId=vjowVJsXd3iL5SYTnQD5BJdffZYglZ%2b5WFuH3EKq0NQ%3d",379,2.44155895579923
"45","Phillips Exeter Academy (PEA Ultimate)",5,0,"High School","Mixed","Exeter","NH","/teams/events/Eventteam/?TeamId=2M2z1GKONhMziqlbDVwuIbzYHRQwLt%2fu%2fsCVk36JyMs%3d",284,2.38550508428667
"46","Cardinal Gibbons High School (Cardinal Gibbons Crusaders)",2,0,"High School","Mixed","Raleigh","NC","/teams/events/Eventteam/?TeamId=EFpHsky8G58bJsf%2fNRF1fFSyxjZX7TwcSqSHd4ejE9Q%3d",69,2.3677130044843
"47","Bowie (Bowie Bulldogs)",4,1,"High School","Mixed","Austin","TX","/teams/events/Eventteam/?TeamId=98H9KIA0%2b5swzFjulEAc3E7qUYuZ%2fJN6tiuuiF23vbc%3d",56,2.35734101059868
"48","Treasure Valley Home Schoolers (TVHS/Nampa) (Almost Angels)",4,2,"High School","Mixed","Nampa","ID","/teams/events/Eventteam/?TeamId=irpOwEcN5ZoVg1EXECzcB5RsKemn3IgxHD0Lua6E4dE%3d",399,2.29483800489858
"49","Waukee High School (Waukee War Eagles)",2,0,"High School","Mixed","Waukee","IA","/teams/events/Eventteam/?TeamId=%2bUW83yi%2fjCjzktj95sh8GasqTy6Qw1oOFQKKAxeNVdA%3d",413,2.21052631578948
"50","XIST",12,1,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=Qr%2fu0XuKval3x3ZHpFdCLwaFDWEx2Xc8zgQT1bQuxjI%3d",423,2.12439222464529
"51","Molasses Disaster",8,2,"Masters","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=jkhasWi7nJkRGyZFRPfifh1xSyI2LvDE1JTldJJAjos%3d",242,2.11103192582811
"52","Choate Rosemary Hall (Wild Boars)",1,0,"High School","Mixed","Wallingford","CT","/teams/events/Eventteam/?TeamId=mX5MgLhMPfe7ge1c%2fFNI76%2bewZ3L3pviDlBj6WkkHcY%3d",81,2
"53","Madison East High School (MEU)",1,0,"High School","Mixed","Madison","WI","/teams/events/Eventteam/?TeamId=hWSoFWyO1dvgElwP5VCpyypwUBO8Leb0MfoWQ38mWt0%3d",209,2
"54","Hey Babe",7,3,"Masters","Mixed","Minneapolis","MN","/teams/events/Eventteam/?TeamId=6rY4KrtKAP9MleHOPuafH%2famQnluW%2fhAApQNV7jchf8%3d",156,1.95983118528543
"55","Ambiguous Grey",3,3,"Club","Mixed","Washington","DC","/teams/events/Eventteam/?TeamId=QFD%2frfN%2fuowEcBhfEj4Un76YjcOoeVKjALNIpsDMb3c%3d",15,1.93486553088338
"56","Pickerington (Pickerington)",7,1,"High School","Mixed","Pickerington","OH","/teams/events/Eventteam/?TeamId=mY0BUsAEV5WK7NH5gMKrOXPmz5o2qUpvg7moTuAGEbE%3d",285,1.85814288362595
"57","San Francisco Bridge Club",6,4,"Masters","Mixed","San Francisco","CA","/teams/events/Eventteam/?TeamId=tyGCQGk2FQ%2fQfMmxMQkgrMj1T9tbvidvQk8GQg6j1t4%3d",325,1.85264705706583
