"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Stanford (Stanford (Superfly))","College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",1,"Stanford",2313,"Division I","Southwest","NorCal DI",28,5,242,26.396154451038
"2","UCLA (BLU)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",7,"UCLA",2115,"Division I","Southwest","SoCal DI",29,7,274,16.7591933900873
"3","Tufts (EWO)","College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",5,"Tufts",2135,"Division I","New England","Metro Boston DI",22,3,271,16.3362796552933
"4","Texas (Melee)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",2,"Texas",2227,"Division I","South Central","Texas DI",21,4,260,16.2553093013953
"5","Dartmouth (Princess Layout)","College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",4,"Dartmouth",2157,"Division I","New England","Greater New England DI",19,4,73,14.6890065883596
"6","Virginia (Hydra)","College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",3,"Virginia",2200,"Division I","Atlantic Coast","Virginia DI",28,4,284,13.9411946977612
"7","California (Pie Queens)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",9,"California",2069,"Division I","Southwest","NorCal DI",24,13,41,12.5733742743062
"8","British Columbia (Thunderbirds)","College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",6,"British Columbia",2124,"Division I","Northwest","Cascadia DI",19,5,27,11.9930827656268
"9","Oregon (Fugue)","College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",11,"Oregon",1964,"Division I","Northwest","Cascadia DI",27,13,200,10.990840638036
"10","Pittsburgh (Danger)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",10,"Pittsburgh",2010,"Division I","Ohio Valley","Pennsylvania DI",23,7,209,8.93841895155595
"11","Southern California (Hellions of Troy)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",17,"Southern California",1843,"Division I","Southwest","SoCal DI",24,14,237,8.46646327840542
"12","Carleton College (Syzygy)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=NwrqWq7T52otvyL5c9Wsgq8nWWuA6j3c9jcVFfaUhNE%3d",15,"Carleton College",1875,"Division I","North Central","Western North Central DI",23,9,43,6.97119896541503
"13","Ohio State (Fever)","College","Women","Columbus","OH","/teams/events/Eventteam/?TeamId=Wmb6gNGRpntGn1S3HGYdc6MliHJ1KaUc4NkMTm%2bOadg%3d",16,"Ohio State",1872,"Division I","Ohio Valley","Ohio DI",25,11,196,6.94745623642809
"14","Notre Dame (Womb)","College","Women","Notre Dame","IN","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",8,"Notre Dame",2106,"Division I","Great Lakes","Eastern Great Lakes DI",19,6,188,6.92001803160723
"15","California-San Diego (UCSD Psychos)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=4cRw9FDJ9oW5ffiKGabttFznjbbxQjlkLM9CmN%2fLa7k%3d",31,"California-San Diego",1707,"Division I","Southwest","SoCal DI",22,16,38,6.2966850144627
