"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Dartmouth (Princess Layout)","College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=AGvnuk535JRIgzjZNS%2bKxqSQfwzsNXdGMajG8RSxqx4%3d",1,"Dartmouth",2422,"Division I","New England","Greater New England DI",31,1,76,65.0321905637079
"2","Stanford (Stanford (Superfly))","College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=rZc%2fWShabWwDEVNsyaJwyd2vRdgsMBjVxD39NM96l8k%3d",4,"Stanford",2236,"Division I","Southwest","NorCal DI",39,5,240,31.7423636518871
"3","California-San Diego (UCSD Psychos)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=qzCfCFM%2fbzGLsTZ7OxpePEgZzgtiBwZslV3cpCqbKtQ%3d",3,"California-San Diego",2298,"Division I","Southwest","SoCal DI",39,5,40,25.0725487855857
"4","Oregon (Fugue)","College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=HHUrSVAjDCuYOIYE0qtKjhD59%2bePMtm5j60Os82u0y8%3d",6,"Oregon",2185,"Division I","Northwest","Cascadia DI",34,9,199,14.7251876140611
"5","Ohio State (Fever)","College","Women","Columbus","OH","/teams/events/Eventteam/?TeamId=I%2fwtmGJpu5Qu6EpNgVJ%2fblViPsIApxl33hQJgTl2JPI%3d",10,"Ohio State",2024,"Division I","Ohio Valley","Ohio DI",29,13,196,9.35189859605259
"6","Texas (Melee)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=RJFHnVA8c7RY3jkfXXvkwN8X20xNqFTE4NgOXTSwdoI%3d",7,"Texas",2075,"Division I","South Central","Texas DI",26,11,259,8.07109925599459
"7","North Carolina (Pleiades)","College","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=1%2bpuO8LiTFm2uknHtlslNeKyAVqrqOyoi1DejFsnIjM%3d",2,"North Carolina",2303,"Division I","Atlantic Coast","Carolina DI",27,7,175,7.75407088696686
"8","British Columbia (Thunderbirds)","College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=nPGu%2f7Nsgpehv%2b5RbWV0hMjjWYQnYl2fU9igzO1%2fgFc%3d",5,"British Columbia",2207,"Division I","Northwest","Cascadia DI",22,8,29,7.29877649001883
"9","Colorado (Kali)","College","Women","Boulder","CO","/teams/events/Eventteam/?TeamId=tLQOrzU%2bAVs3v9smzA4wQczPz%2bMZPI7P5oLjECAG7XA%3d",12,"Colorado",1996,"Division I","South Central","Rocky Mountain DI",31,8,66,7.13705897394588
"10","Carleton College (Syzygy)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=BfErov08Z2iRPGRsUnTpHui74io8AU6CDteTqedWgB0%3d",11,"Carleton College",2015,"Division I","North Central","Western North Central DI",28,9,46,6.802039570619
"11","Pittsburgh (Danger)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=Gmu6z0Ne1k7xDKdPf%2fOI4OXSXSdGH2dn3ZveJt3O5%2bY%3d",9,"Pittsburgh",2049,"Division I","Ohio Valley","Pennsylvania DI",20,8,208,5.65634773167678
"12","Tufts (EWO (Elephant Women))","College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=%2fIDg6NW95TPLQNW%2bdiqRzyhcpB7CpM8gHIUqro3su4I%3d",8,"Tufts",2065,"Division I","New England","Metro Boston DI",23,10,268,4.08406219352953
"13","Western Washington (Chaos)","College","Women","Bellingham","WA","/teams/events/Eventteam/?TeamId=8ZDx7d2LOXdUuxNUBXy22DNOP6NLA6dTCVio%2b%2fdELOQ%3d",14,"Western Washington",1951,"Division I","Northwest","Cascadia DI",21,18,300,3.85308020806095
"14","North Carolina State (Jaga Monsta)","College","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=Yf9fueqOsuk9qJBGxf0If5HLktxOnOUIeWJm4%2b6EsXE%3d",16,"North Carolina State",1921,"Division I","Atlantic Coast","Carolina DI",23,13,176,3.22540150949647
"15","California-Santa Barbara (Burning Skirts)","College","Women","Goleta","CA","/teams/events/Eventteam/?TeamId=DyfnwYxOk20EJ8z66rAnu8Vk%2fJ%2fHaEXYiIeBB7obkR0%3d",17,"California-Santa Barbara",1887,"Division I","Southwest","SoCal DI",32,17,41,3.21884458195435
"16","Clemson (Tigerlilies)","College","Women","Clemson","SC","/teams/events/Eventteam/?TeamId=WskvWHJ1y%2bdczpa5%2fM0H1S1T5Nyklf3MDNMkgYRgkL4%3d",26,"Clemson",1698,"Division I","Atlantic Coast","Carolina DI",24,6,61,3.18707546686453
"17","Michigan (Flywheel)","College","Women","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=%2bduphMuJSnTbSbEenTpWtZIxMw7K%2fkqpyZGV01Ixg2c%3d",19,"Michigan",1832,"Division I","Great Lakes","Eastern Great Lakes DI",24,17,153,3.05324036440871
"18","Bates (Cold Front)","College","Women","Lewiston","ME","/teams/events/Eventteam/?TeamId=IVncdaHLSPNGUfdDUbG2lsUgoDQw1Ib8HCMtLc%2fsFIk%3d",38,"Bates",1567,"Division III","New England","North New England DIII",22,3,17,2.9990629389299
"19","North Carolina-Wilmington (Seaweed)","College","Women","Wilmington","NC","/teams/events/Eventteam/?TeamId=xwe3BhqePmOxe5CxWJAxKLI0tN3D92qGdLuu6AAL4hs%3d",43,"North Carolina-Wilmington",1476,"Division I","Atlantic Coast","Carolina DI",27,16,174,2.89019291814653
"20","Case Western Reserve (Fighting Gobies)","College","Women","Cleveland","OH","/teams/events/Eventteam/?TeamId=dLUNMyJaHs%2bZeuumK0gbxXiwlcjkjLsvmTTZZ45s788%3d",39,"Case Western Reserve",1525,"Division I","Ohio Valley","Ohio DI",19,9,49,2.7110328123255
"21","West Chester (West Chester)","College","Women","West Chester","PA","/teams/events/Eventteam/?TeamId=2H%2fKzEhMQm66wG6WVM0prG9jyzKSeFIHqHuzhvJ%2bCKc%3d",13,"West Chester",1987,"Division I","Ohio Valley","Pennsylvania DI",15,10,297,2.62602757803635
"22","Boston University (Ozone Pilots)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=M%2baQgjJkcBIS%2byO1dQ9jrp36H4saoAMaqZCZl7V5k%2f0%3d",74,"Boston University",1219,"Division I","New England","Metro Boston DI",13,12,25,2.58379726398402
"23","Brigham Young (CHI)","College","Women","Orem","UT","/teams/events/Eventteam/?TeamId=%2fvZ3aRfJbwroJCnTbs4XbJnrQP9EKI6lK0Cb6LIzAsI%3d",18,"Brigham Young",1876,"Division I","Northwest","Big Sky DI",15,6,28,2.38405666785086
"24","Minnesota (Ninjas)","College","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=yEYai5wFadZJNW0GmtUMDsEwbBtKfRns%2fi5qdvJwKaA%3d",25,"Minnesota",1710,"Division I","North Central","Western North Central DI",17,9,157,2.18863698732284
"25","Auburn (Ares)","College","Women","Auburn","AL","/teams/events/Eventteam/?TeamId=MMghADW29nZeUpVxgKRFOuWKMzxJ%2bWyPey5b6RAXr6Q%3d",29,"Auburn",1674,"Division I","Southeast","Gulf Coast DI",18,2,15,2.12524472719899
"26","Colorado College (Lysistrata's Tools)","College","Women","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=Zj2Bmw5M9kQnmS4Aj%2b5w17d25yvsuhUDFgq7MoJYkZU%3d",30,"Colorado College",1657,"Division I","South Central","Rocky Mountain DI",17,18,67,2.03290297003571
"27","Vermont  (Ruckus)","College","Women","Burlington","VT","/teams/events/Eventteam/?TeamId=DyFQJcv9GjA3%2fPY%2fYzjs9Mw3oVOJry2qS%2bjMfLkj7ps%3d",20,"Vermont",1763,"Division I","New England","Greater New England DI",19,12,281,1.87566945906452
"28","Connecticut (UConn Huskies)","College","Women","Storrs","CT","/teams/events/Eventteam/?TeamId=yPD71W1ChpnkX5rrfHdpjwirRvqwzxMy1eHi1O4iWfk%3d",50,"Connecticut",1428,"Division I","Metro East","Eastern Metro East DI",21,6,72,1.75453011109827
"29","UCLA (BLU)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=9%2b%2fY7dzWcmtFq2zt6wP9nJgtNSz0JLdF50S%2fkdESqP4%3d",31,"UCLA",1638,"Division I","Southwest","SoCal DI",17,23,272,1.72364172576911
