"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Cheyenne Mountain High School (Cheyenne Ultimate)",4,0,"High School","Boys","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=mZsUxHRuxm%2fJOlZ6UB3V3ReO535PHAhgtj6Thr6Kifg%3d",37,28.8752932323607
"2","Madison West High School (Madison West Ultimate)",6,0,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=I%2fBwdnK%2bkjrx5Wz0EYPrxNcLnbK4X%2fND7tFupznOJ4k%3d",108,26.325349828624
"3","Catholic High School (Bayou Hazard)",5,0,"High School","Boys","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=vZv4s63IAOdAN1zGZKwQR3fjbxmJ6cihyxxVAVSWNj0%3d",26,21.8941565865661
"4","James Madison Memorial High School (Memorial Ultimate)",3,1,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=zZUgwMUcHI6NLxZUDxv4B5TZNS6eTHo0rVg5%2fOxddnw%3d",84,12.6578621166029
"5","Carolina Friends School (Fighting Quakers)",13,0,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=sum6YzxDO%2f%2fL8nry2K9jk050KZgBttYBkFTm5NOjcms%3d",20,6.56860224399603
"6","Lakeville North High School-JV (LUDA - JV)",3,0,"High School","Boys","Lakeville","MN","/teams/events/Eventteam/?TeamId=NCTvFLgUeBVW1pSL7yqDpa1rl%2b%2f35vwKUTXTPUFNSRw%3d",95,4.45945945945963
"7","James Madison Memorial High School-B (Memorial B)",4,0,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=seZLeSx%2fEuxyz8UbdDRUN6k%2bZML1njzWYpfq3iqf4zU%3d",85,4.17803030303032
"8","Lone Peak (Lone Peak)",5,1,"High School","Boys","Highland","UT","/teams/events/Eventteam/?TeamId=xsm5R4bqy4sjJ3lYfL2432402v7B3EHLb1cur33tOfw%3d",106,4.02889663650056
"9","Cathedral High School (Griffin)",4,0,"High School","Boys","Saint Cloud","MN","/teams/events/Eventteam/?TeamId=LEW482PjTuqzn2SH6TOtunAiQdrr%2bJHSki7QJVCDZ7I%3d",24,3.99784746031033
"10","Sky View High School (Sky View Ultimate A)",9,1,"High School","Boys","Smithfield","UT","/teams/events/Eventteam/?TeamId=aSjyqkRWlwmyulZLCf3wU%2bBxiBbaEi5H0tKly%2bifHKo%3d",139,3.96117927344488
