"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Links","Wins","Losses","Rating"
"128","Wisconsin-Eau Claire","College","Men","Division I","North Central","Lake Superior DI","/teams/events/Eventteam/?TeamId=oTPLE%2f13NbexIWAeKskflYxJbemze9VL4AIgqKz5pzE%3d",16,11,0.347862389155102
"129","Oklahoma State","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=j7zIHsEoSStTdnbxUMoj2qBRB3682%2fdEFH7LUnVny2k%3d",12,10,0.345069498544223
"130","Texas A&M B","College","Men","Developmental","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=%2b%2bXs0wZalmdzrfBu6wIp9s%2bhlPSepktRiZVUvYs5wI4%3d",13,4,0.341254231906029
"131","Whitman","College","Men","Division I","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=pWhAvD22y8UdAprDxT%2bnE5UP4wsaapvQSmzp6kjZKSQ%3d",13,10,0.334759893292892
"132","Edinboro","College","Men","Division I","Ohio Valley","West Penn DI","/teams/events/Eventteam/?TeamId=nPpJKdHTD2%2b4KHTtAPACfEyYsOFkq7FS%2bcNRAd8lNgU%3d",13,12,0.327645377678426
"133","Saint Louis","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=yYSwXY2i9gEUMvYxONjJtA2kSQfNyXIuBtcSLipbums%3d",18,9,0.314643632350201
"134","MIT","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=di88oqxrUWAbUAbWvnEIPpZ2Xt2SVeR%2fDee0nxnbHiY%3d",7,5,0.304225273764524
"135","Liberty","College","Men","Division I","Atlantic Coast","Virginia DI","/teams/events/Eventteam/?TeamId=IMuvM5U1f%2fVlS79c%2bVlh9ET2t4hj4oSvNkENt20MJos%3d",10,16,0.292731325254843
"136","Texas-Dallas","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=ZiwD8eKNnkXY5HoTiF%2bPyqsmjksh1CSMRrvkYIUdpRk%3d",12,8,0.277920187776735
"137","Appalachian State","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=kDpZlPeZtYxuEsBO2Zl6y3JXtvhWfhraWqegorg%2fy78%3d",12,5,0.27164741755175
"138","Knox","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=0qfpsFOFzBh3S7DSsowt1Yqccp4WEBMxVkkd8NI%2bCmE%3d",16,6,0.263089386050019
"139","Humboldt State","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=ktcIqJHEUwa6ARFpvn5oGM5RIV1%2bR0ONqxVGOvaTJCk%3d",11,16,0.260263908819288
"140","Johns Hopkins","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=%2bWTF70g3CHNXwsONnrGF6kboDX8JAZQcpvfIs4yI6Oo%3d",10,16,0.252367298588927
"141","Boise State","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=C4FfvY85qhaiVVBVPce5HJq6DZIrnoCCVcbQTtLXzk4%3d",7,8,0.25224355485322
"142","Haverford","College","Men","Division III","Ohio Valley","East Penn DIII","/teams/events/Eventteam/?TeamId=Dfqz%2beW75o8%2bNMB02W49X8daFAhJAQ5j1zr%2fII2Js%2fg%3d",17,13,0.251699939866104
"143","Michigan State","College","Men","Division I","Great Lakes","Michigan DI","/teams/events/Eventteam/?TeamId=BbBQpnXbg0B1Rz%2bFPbAQbk0SMuTUbz1Is3KZGfJrHvg%3d",8,10,0.247822189620737
"144","San Jose State","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=OK9ukDpH4wfrLNmFs9zUaTOmwFDGgOHHrGdqxVeb65c%3d",7,9,0.239815329635182
"145","West Chester","College","Men","Division I","Ohio Valley","East Penn DI","/teams/events/Eventteam/?TeamId=qGw1m%2bmGzQhbZStKGvMSucQkl233rPpWNkO5AxIomDY%3d",19,11,0.239630930268557
"146","Lewis & Clark","College","Men","Division III","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=MYFVLmUmE7W%2bxHrMZk27Y4oimt3x8XO%2bBVdaBvqTlLU%3d",15,11,0.237744500622847
"147","Cedarville","College","Men","Division III","Ohio Valley","Ohio DIII","/teams/events/Eventteam/?TeamId=pZUIh3BT98aNKtd1u2eH%2fAsS6shGhki24vAMUVeYxAQ%3d",6,7,0.237428654458897
"148","Colorado School of Mines","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=1lHNidtRY3%2fJviPrmGI5MXUTckwp3n0v9HktLJCQnQs%3d",12,12,0.236351181748683
"149","Syracuse","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=9%2fr6VgQx%2b4WsZMrf0jVfiEZ5yzSzLP0UqDdsYPKD3DU%3d",14,6,0.235517898916102
"150","Bates","College","Men","Division III","New England","North New England DIII","/teams/events/Eventteam/?TeamId=%2b4gm1%2bik3WlKxSF65M%2fr1MMCdydfPS9aFzpnmrJhasM%3d",14,10,0.231030715490619
"151","Bentley","College","Men","Division III","New England","Metro Boston DIII","/teams/events/Eventteam/?TeamId=BhaUDPg1D0x2dNfCztGGCyeK1YGcbThSg9z3O9kOry8%3d",10,4,0.217513941452321
"152","Alabama-Birmingham","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=fELZWpSEzioofgXJuroLaxe2iLXkCdO9BAT6owBt3gg%3d",9,21,0.216306462688127
"153","Georgia College","College","Men","Division III","Southeast","Eastern Southeast DIII","/teams/events/Eventteam/?TeamId=I7jQiLoR4Wi0nHMqyMmdZ7Ut9c4VWldLMoP2HnFxBWg%3d",14,10,0.209979518333602
"154","American","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=dONAg4zdJqvI8BPsCrBe6NOvFapyugN6BIFKsKBsm0U%3d",15,13,0.208647634564161
"155","Kansas State","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=P5OopdYXgb%2bF8DQuvXVFaQf4UkDGaTG8jm4K05dE9y0%3d",13,11,0.208071541723987
"156","NYU","College","Men","Division I","Metro East","Metro NY DI","/teams/events/Eventteam/?TeamId=aufgVHUnmlD4WTDWxCN66q%2fYdWGnWDOeeTqlsx6rNpw%3d",9,11,0.207996036412995
"157","Cal Poly-Pomona","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=gntlJzCFM1RFGts5qarwtqV04eG6eOnqTaaPolZBazo%3d",8,9,0.206858344123304
"158","Duke","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=F5D4gEB%2b4TiO507xjaNd9Pd1PpTU7qmXdeQs47VyqQk%3d",9,11,0.20386157247739
"159","Missouri","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=M%2bqHPpOv2pFU1Pv6eNc78su%2fqhLDJy3Yu%2fqCxPLNXs0%3d",15,13,0.20121634725682
"160","Pennsylvania","College","Men","Division I","Ohio Valley","East Penn DI","/teams/events/Eventteam/?TeamId=N4tGgiijID79HzFUMm1lIFGVQda%2f7PQE%2fkoOcfoL5Wk%3d",9,25,0.192629113293119
"161","Bowdoin","College","Men","Division III","New England","North New England DIII","/teams/events/Eventteam/?TeamId=h71qNdruesk4kN%2bBErX6jZmlRl9QgbT7cKA4qGXwBAM%3d",10,7,0.189390042930197
"162","Occidental","College","Men","Division III","Southwest","Southwest DIII","/teams/events/Eventteam/?TeamId=ofp5lL7gSfeN9g1JMez%2bOy897NILIg3WOtfbkm6llGY%3d",8,8,0.179677098424965
"163","New Hampshire","College","Men","Division I","New England","North New England DI","/teams/events/Eventteam/?TeamId=%2b8ai2ns211h94qsKdsCL9LwakpqRxG012zLScfgxidI%3d",5,12,0.17799005881371
"164","Mississippi State","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=AkNJpncB8StV46G%2femh%2fscGD1isVYQvkdD%2bXZT7qvao%3d",13,18,0.176151385297738
"165","Vanderbilt","College","Men","Division I","Southeast","Gulf Coast DI","/teams/events/Eventteam/?TeamId=viUfnl6I2l%2bFOxFHsrloXazBe60Hv0egAivVhqA8kbI%3d",10,12,0.173796458250487
"166","Minnesota B","College","Men","Developmental","North Central","Northwoods DI","/teams/events/Eventteam/?TeamId=KdPKYOOWkQuYG2tVEN6Whbr6GEdTQh3ms5OG7V9U7s8%3d",14,3,0.173605662796237
"167","Swarthmore","College","Men","Division III","Ohio Valley","East Penn DIII","/teams/events/Eventteam/?TeamId=c3euS7C%2blYGDGW65%2fcLH4EOG7Vcb6U1UaiZRLn27kKM%3d",16,10,0.170345653646905
"168","Dayton","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=qSM2O%2fvcOEgI%2ffEEk%2fNkurBYOEZLZR%2bkb9Ci5xo5MCE%3d",11,7,0.170062812971158
"169","SUNY-Buffalo","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=rYQUJ9LMmkRVQuXI9IK8NdnVDRRM%2bdvb9ltOj41W%2bfM%3d",4,13,0.169832601198766
"170","Texas Christian","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=E1MLj45mT5byioM1EbTrgFLod4zfur%2bDg%2fvfUUZgcAs%3d",11,11,0.169715164871939
"171","Whitworth","College","Men","Division III","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=%2bo7T%2bg%2bWJM9CdQOcV3g4IntHeMQ%2fURW5vuDq5QDXRj4%3d",15,9,0.16767452201461
"172","Missouri S&T","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=TcHAao6MQG5yPY00UibMKk15AW%2fIFAf8aKNBOgxbHOY%3d",10,8,0.165228662484828
"173","Rhode Island","College","Men","Division I","New England","South New England DI","/teams/events/Eventteam/?TeamId=pfKVCQmOzQUk3sNGxA9dmXLnRiMjNYj9nRwTsnAZJj4%3d",12,9,0.163056757108627
"174","Boston University","College","Men","Division I","New England","Metro Boston DI","/teams/events/Eventteam/?TeamId=XKo1SlHMeQz1Dqo1w9weT%2bxP9pqZFkLtwbG%2bJpWZKwo%3d",7,12,0.160094370531507
"175","Army","College","Men","Division III","Metro East","Hudson Valley DIII","/teams/events/Eventteam/?TeamId=Bpp7A%2frr05NamJReP8Fsk9NbpdsFWFTFenF9am2Z5V0%3d",9,7,0.158548077666321
"176","Puget Sound","College","Men","Division III","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=PBzY6DSk%2bsAmPy%2basFL4rFtvp4hpHOHlx402Bcyi7kM%3d",11,15,0.153328236406314
"177","Georgia State","College","Men","Division I","Southeast","Southern Appalachian DI","/teams/events/Eventteam/?TeamId=0JsYDH5zmHzNn%2b9do%2bb53vhchcW5HfS2Ud03Rc7uG2c%3d",6,21,0.151699931693986
"178","Towson","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=evMkBr3H4vGohZl6eX44eZPcum4VRT3OYLClMHx363w%3d",8,15,0.15110894040184
"179","Rice","College","Men","Division III","South Central","Texas DIII","/teams/events/Eventteam/?TeamId=8hYqMmABou0kA9%2fT%2fckGrUG9SwtGyk2eOgXawYNWgN8%3d",6,8,0.150697350497972
"180","Drexel","College","Men","Division I","Ohio Valley","East Penn DI","/teams/events/Eventteam/?TeamId=BFzZ6lcyRizoJKyjtIoO9bR7gAd1Im3qow5OnrsdWlU%3d",14,9,0.149948247503368
"181","Pittsburgh B","College","Men","Developmental","Ohio Valley","Ohio Valley Dev","/teams/events/Eventteam/?TeamId=E5Kfa6ICgOTCiFic4z5LbfkcOvtDj5nOKq%2fC9%2fE10Hc%3d",17,6,0.147149498468728
"182","Elon","College","Men","Division III","Atlantic Coast","Carolina DIII","/teams/events/Eventteam/?TeamId=iE5PD33%2bx1FSAMjG7nwviDW%2b%2btM1N371D0GVRySZhJk%3d",5,12,0.144848298657973
"183","Valparaiso","College","Men","Division III","Great Lakes","East Plains DIII","/teams/events/Eventteam/?TeamId=oYbTiU7%2fbOA8Qm89sPQ9pRKyOPR4MI9%2bC7l%2fPvveGOo%3d",14,8,0.144603422338336
"184","St Olaf","College","Men","Division III","North Central","Northwoods DIII","/teams/events/Eventteam/?TeamId=cpr7oQe%2bweUva8ycmrdB%2fh2hvNlKTezo9EQ67i7qmiE%3d",5,13,0.143102630615864
"185","Missouri State","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=kxEJbItg861MwPfNSDLDAcY9dlphQ1qeX1gL2%2fyr0Hk%3d",12,11,0.141714376370862
"186","Rutgers","College","Men","Division I","Metro East","Metro NY DI","/teams/events/Eventteam/?TeamId=oaXE5s9dgIUMtPdknoFWUn%2bq0TTGI4bBiJxaGp6CLvM%3d",7,8,0.138327806456278
"187","Xavier","College","Men","Division III","Ohio Valley","Ohio DIII","/teams/events/Eventteam/?TeamId=KxieV8Ws83i8Nrzn3lrtDwjeKgIPEMH2YDLgjYfGO3w%3d",8,13,0.1364148618823
"188","Marquette","College","Men","Division I","North Central","Lake Superior DI","/teams/events/Eventteam/?TeamId=VQztMHq2ylsdj0cfLMz%2b8Hxd5w6fD8jfrUZ1o3kf0ew%3d",10,1,0.135690776339065
"189","Harding","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=SRaXosNiWmrB0gF2%2bv6q%2faHVohC0ZABbznwu7QzeRVI%3d",9,8,0.134266599593777
"190","Kalamazoo","College","Men","Division III","Great Lakes","Michigan DIII","/teams/events/Eventteam/?TeamId=zFnhRKO8KQSM9jPjpd4%2f5%2fREgK8KvIYT8WjesvrG9m4%3d",5,8,0.13289749169303
"191","East Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","/teams/events/Eventteam/?TeamId=NOfaWwZo%2fsolxl%2bJB17wpFt2SiMCu0UcfzgH9uzgM3c%3d",6,19,0.130262147947229
"192","Truman State","College","Men","Division III","South Central","Northern South Central DIII","/teams/events/Eventteam/?TeamId=%2f9JHI%2bPjMnwM2z4xVzwmM4jInsNBCYWc8G7tdyqFBoY%3d",9,16,0.128135502861431
"193","Grand Valley State","College","Men","Division I","Great Lakes","Michigan DI","/teams/events/Eventteam/?TeamId=qqYPxOPF28JSoS9WiQ1wzVl53fAdOWRvB9AWaaI9EDc%3d",10,4,0.128072341225819
"194","Wisconsin-Milwaukee","College","Men","Division I","North Central","Lake Superior DI","/teams/events/Eventteam/?TeamId=JdCQeGd1ldCORa4kZ2WH27%2bwI%2bNylkCKThazWv28LgE%3d",5,17,0.123446353906845
"195","Texas-Arlington","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=A%2bQQMXyNLxdyQBq%2beceiRNfNGMdV91wgOZffBY1VyzI%3d",5,11,0.123216829022298
"196","Wentworth Institute of Technology","College","Men","Division III","New England","Metro Boston DIII","/teams/events/Eventteam/?TeamId=zmiw45DQZ0N7XzOtI0JBJFfzxiZ2bdoiu6TU60C%2f2NI%3d",5,11,0.121016164878076
"197","Northern Arizona","College","Men","Division I","Southwest","Desert DI","/teams/events/Eventteam/?TeamId=gBJZqIleakKjm1D4Q66PZpwLZ9WMHqtAaJcfm8vA8dQ%3d",4,8,0.120401027225432
"198","Idaho","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=XUjmoJ3Gr1IyQpHfYrkrhuATD%2fhqwkha5GQQu86nNpk%3d",7,13,0.117278734812312
"199","Washington State","College","Men","Division I","Northwest","Big Sky DI","/teams/events/Eventteam/?TeamId=K5zpnfLtY1aMUku2Wn00vToHKNtXxyYqTyUw77kMi6A%3d",7,13,0.116768617306785
"200","Miami","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=fGa8tvuSpxeV5usYdt04ssudkQ%2bepHquurfsV9X4WPg%3d",14,14,0.115918103268653
"201","Florida Tech","College","Men","Division III","Southeast","Eastern Southeast DIII","/teams/events/Eventteam/?TeamId=72DDvg5sw4THjsj1ljbx7B6x7%2bxhLG8%2fd6E1XB6%2bFos%3d",16,8,0.112286227530475
"202","Rochester","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=eJ%2fj76miD9grwGTDBiG1DhxwWlaVlFZ2ppN%2f5k5CB80%3d",9,8,0.111864412169906
"203","Messiah","College","Men","Division III","Ohio Valley","West Penn DIII","/teams/events/Eventteam/?TeamId=fLROpVGomaod4oPBZWFrNpwyTjc4WjoKg3EGIc76VK4%3d",8,11,0.109408337585872
"204","RIT","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=PW2Mc1S24WWlPCXcOH2ZNpLIMk2ECICZe6MkyWaPKrs%3d",5,11,0.10652742891038
"205","Oberlin","College","Men","Division III","Ohio Valley","Ohio DIII","/teams/events/Eventteam/?TeamId=hJ2GpKPhluWJvUduwtXfbxs6eBFjiHgPchlN17PznCw%3d",7,11,0.105942236944839
"206","California-Irvine","College","Men","Division I","Southwest","SoCal DI","/teams/events/Eventteam/?TeamId=53l2%2btswgKajABYmjDJ6%2fvmpKSTzyVnZpXU0g3VGw%2fI%3d",1,10,0.104106758055046
"207","North Carolina B","College","Men","Developmental","Atlantic Coast","Carolina Dev","/teams/events/Eventteam/?TeamId=tlxifg%2fv4LhZiXARLbziaYZN9C5sYLi84ELneqZq8cs%3d",7,7,0.101361958207954
"208","Miami (Ohio)","College","Men","Division I","Ohio Valley","Ohio DI","/teams/events/Eventteam/?TeamId=sOn7D%2bLOD8zSaeN%2f3%2bekoBUHeqVOWxH9eFCug%2f%2f88gM%3d",5,12,0.0996659923968277
"209","Central Arkansas","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=jIsk0EurFn9kwiOZ1W9B3M5vYaT9aoB%2boT13nIqviDw%3d",10,13,0.096076785825479
"210","Washington B","College","Men","Division I","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=3pWrSe6hin2sS5oYr2EXFOPHtrMbT05%2fKQMYmBzQe3A%3d",11,17,0.0940076757678738
"211","Wooster","College","Men","Division III","Ohio Valley","Ohio DIII","/teams/events/Eventteam/?TeamId=TIs5hU96REPv9d1XtH2X7BEm%2fk%2fODB40W6LlDzUTdx8%3d",4,8,0.0937842302822675
"212","North Georgia","College","Men","Division III","Southeast","Eastern Southeast DIII","/teams/events/Eventteam/?TeamId=O8X%2bwm0r%2fz%2f6iGtcjHP51fZDsYNhL9Ok10TlFvsIsgE%3d",8,10,0.0871074187187047
"213","Indiana Wesleyan","College","Men","Division III","Great Lakes","East Plains DIII","/teams/events/Eventteam/?TeamId=Z8R43ibF8rkQyw2oVBPkR5IPtZhEbBQ%2fkGtcuSIzTWs%3d",6,10,0.0782052864090258
"214","Maryland-Baltimore County","College","Men","Division I","Atlantic Coast","Colonial DI","/teams/events/Eventteam/?TeamId=Dg7Y9oXzXZiA4u3gGtEoDG%2fJR0Odj0cL9ah0B4FdwUE%3d",3,11,0.0755900150896838
"215","Olivet Nazarene","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=Ao4nS%2biPWFUcAoyE7lQYV3QMSdnPnuJAWcaV7JuVAiA%3d",12,12,0.0751080108098019
"216","Northern Iowa","College","Men","Division I","North Central","West Plains DI","/teams/events/Eventteam/?TeamId=u%2b9ZUjd1uYDenpJyVtC8n3Xi06MzhxPMqebljlnQO5U%3d",9,7,0.0739819434423727
"217","Claremont","College","Men","Division III","Southwest","Southwest DIII","/teams/events/Eventteam/?TeamId=QPbZXW%2fok%2fTAOvFsSqql2ujIAAPNbMMQlbZEpVajj3E%3d",3,6,0.071085627911813
"218","SUNY-Fredonia","College","Men","Division III","Metro East","Western NY DIII","/teams/events/Eventteam/?TeamId=ne%2fKZWOY1pmBfxTSP0HOJJ2CJLviVeSVfbOuJISd5hw%3d",7,9,0.0707167657199694
"219","SUNY-Albany","College","Men","Division I","Metro East","Hudson Valley DI","/teams/events/Eventteam/?TeamId=f243f1wotbGV6h%2bqxtUOUDTk5ad8uWJSJnigT7XyKes%3d",6,10,0.0702632238504393
"220","North Florida","College","Men","Division I","Southeast","Florida DI","/teams/events/Eventteam/?TeamId=jQ3KKiYvqLgNAzm%2ffPam3EQnYA%2fKVNmzAR6ocECDu%2fc%3d",2,14,0.0698074641183962
"221","North Park","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=QvO%2fvywq8Ae9foarVJVd9TfLsmBULpXDzAHOqnvoyU0%3d",9,13,0.068058706855161
"222","Colorado-Denver","College","Men","Division I","South Central","Rocky Mountain DI","/teams/events/Eventteam/?TeamId=U%2bvT9QiTMMwft2MSR9Ewa0u5Wx4m6an%2fpXYxKD3ZExA%3d",7,12,0.0678560168228244
"223","Arkansas State","College","Men","Division I","South Central","Ozarks DI","/teams/events/Eventteam/?TeamId=akZvRLP4lIePFFE9u%2ftuq7NvtNVsOhlhwe0i41RPWCQ%3d",12,7,0.0653703211811758
"224","Eastern Illinois","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=U0j8i9rY7otk4UtHblKiLiPCEiyC%2f32fYkJdrb%2fvB40%3d",10,15,0.0648062978172347
"225","SUNY-Binghamton","College","Men","Division I","Metro East","Western NY DI","/teams/events/Eventteam/?TeamId=gY7fLkoHX7HAt7MfDsCpRfU6zYRNgn47rwXwms8q2VI%3d",6,9,0.0625812025300866
"226","SUNY-Geneseo","College","Men","Division III","Metro East","Western NY DIII","/teams/events/Eventteam/?TeamId=F%2fkgCShzg8avSa7p97Y%2f1BNi4v3yLDeWlOAED7Y47ws%3d",9,3,0.0623605784957047
"227","Wisconsin B","College","Men","Developmental","North Central","Lake Superior DI","/teams/events/Eventteam/?TeamId=IcHsO8flBN39Ismnj6g3pKtLbNrxXMLioqtLBLKMtqY%3d",8,12,0.0616164491976589
"228","Stephen F Austin","College","Men","Division I","South Central","North Texas DI","/teams/events/Eventteam/?TeamId=Aaw7MuoV9F9Fq03MsGSmBMaM6vtc6LSWRioeIGLzbxg%3d",6,16,0.0606380459499111
"229","Ithaca","College","Men","Division III","Metro East","Western NY DIII","/teams/events/Eventteam/?TeamId=rKNEWZFPln%2bY20ZyDrxO%2bmffHs9x1vA0knrbNS0QJyQ%3d",7,13,0.0574521583967803
"230","Stevens Tech","College","Men","Division III","Metro East","Metro NY DIII","/teams/events/Eventteam/?TeamId=4nPnkTSjX02rl8hLCS7qWH3AI%2bExX2YvIpgmc90FzDw%3d",9,7,0.0544061412003951
"231","Samford","College","Men","Division III","Southeast","Western Southeast DIII","/teams/events/Eventteam/?TeamId=6yFAMFSmlm3poQ814nsvYYtE2HDhAUXk5e%2byaoJjnCc%3d",3,14,0.053983429772809
"232","Texas-San Antonio","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=%2fEOcqYqq95reYIoOb1bpaF04zhI44sobYoelL76uJRk%3d",7,16,0.0524466636483959
"233","Houston","College","Men","Division I","South Central","South Texas DI","/teams/events/Eventteam/?TeamId=6KUlIyn0AGDeqv86qiEtP70grieWPHM4yCdmu9mkS7U%3d",7,6,0.0523244543146371
"234","Western Michigan","College","Men","Division I","Great Lakes","Michigan DI","/teams/events/Eventteam/?TeamId=DuAR%2bKvZN9MQ%2fGirC%2fNni4%2bbjC08tUefqQulpKUe%2fQ4%3d",7,6,0.0485247830720818
"235","Arizona State B","College","Men","Developmental","Southwest","Southwest Dev","/teams/events/Eventteam/?TeamId=ERQ%2bmL3zPire95YHuq4%2bSJxndwgt0T4xCmoQQ0Ci4cQ%3d",4,7,0.0481210720600275
"236","Central Florida B","College","Men","Developmental","Southeast","Southeast Dev","/teams/events/Eventteam/?TeamId=drfTqz0ru%2fLEQ75Mwcl12jZ2HSSdDJm%2fKI%2fJyI1Dq2w%3d",13,3,0.0471786273659193
"237","Western Washington B","College","Men","Developmental","Northwest","Cascadia DI","/teams/events/Eventteam/?TeamId=GjO6jnvQ5iix0U%2f5SrKclueez8VzhTQ6IEOaePMY2Ac%3d",10,15,0.0470551552975975
"238","Nebraska","College","Men","Division I","North Central","West Plains DI","/teams/events/Eventteam/?TeamId=kBp4y4qY5%2f2Tdn8OTzv3Mj%2f0x8HVtAy%2fppkff5ggtFU%3d",5,14,0.045518974286871
"239","Drake","College","Men","Division III","North Central","West Plains DIII","/teams/events/Eventteam/?TeamId=df6zx2dqGIApGXjQNJVacN8GVeKxMhcuxKpWYqjQCFQ%3d",9,8,0.0434124140951578
"240","SUNY-Cortland","College","Men","Division III","Metro East","Western NY DIII","/teams/events/Eventteam/?TeamId=aAC7GzF3IslXjlQUMNLdViG7LT2tX7FhKg%2bfWoyNOss%3d",7,24,0.0408601569475378
"241","Rowan","College","Men","Division I","Metro East","Metro NY DI","/teams/events/Eventteam/?TeamId=tKQwUS%2fldIVBu8RBhFqAogHvYfTXmgUtFz%2b3GNqYlTY%3d",6,9,0.0403398139760432
"242","Berry","College","Men","Division III","Southeast","Eastern Southeast DIII","/teams/events/Eventteam/?TeamId=WGSTAz9iLbNlIa0K5O0LKpVUqEB1HFRU3IlajJ4DXkE%3d",6,12,0.0402278849163816
"243","Bradley","College","Men","Division III","Great Lakes","Illinois DIII","/teams/events/Eventteam/?TeamId=4bFAncUfKpnSvRur54RO09%2fgq8B3yL9W0UXM5o949wg%3d",10,13,0.039099175061162
"244","Connecticut College","College","Men","Division III","Metro East","Hudson Valley DIII","/teams/events/Eventteam/?TeamId=81bPPuTebuoF3n5pw9MlTThm6VQYFbmyTSoV9y1J0g8%3d",6,6,0.0387599040421718
"245","Pacific Lutheran","College","Men","Division III","Northwest","Northwest DIII","/teams/events/Eventteam/?TeamId=%2fY1JMOBh0qXPGc%2fH845UZiQIiYsZYvYQ%2b8W%2bGUMuH%2fk%3d",5,10,0.0387340530588998
"246","Macalester","College","Men","Division III","North Central","Northwoods DIII","/teams/events/Eventteam/?TeamId=RRzpGAIvjSft8vP8JrbFkw%2fndEV%2b4FDGh%2fFCgGWFqq0%3d",7,5,0.0383495509596643
"247","Sonoma State","College","Men","Division I","Southwest","NorCal DI","/teams/events/Eventteam/?TeamId=g6%2bPPGaboI17S%2fpCndIbfG1Yu2QrQsmgozC271Oz19U%3d",4,8,0.0373512820494691
"248","Trine","College","Men","Division III","Great Lakes","East Plains DIII","/teams/events/Eventteam/?TeamId=0WVao%2fSi%2fplAqjuNPjd7uori8yQib%2fyvY7Kiw01TyDY%3d",5,8,0.0370919946063277
"249","Catholic","College","Men","Division III","Atlantic Coast","Northern Atlantic Coast DIII","/teams/events/Eventteam/?TeamId=y1ZWl1RWk2sPSF17HG4%2bsmqK7nyXhXwLryjdvvApD0A%3d",12,8,0.0356408761647212
"250","Hofstra","College","Men","Division I","Metro East","Metro NY DI","/teams/events/Eventteam/?TeamId=4%2bWblo0d7kuO3KVhwxOQSV5Fg8fQyt81Y3XXE8c4kTM%3d",6,12,0.0356114789234179
"251","Colorado State B","College","Men","Developmental","South Central","South Central Dev","/teams/events/Eventteam/?TeamId=Q7nRAJlt6RujiYmJvd7HxIOgjCn%2bWVk6GuXOMUK5v1c%3d",5,11,0.0331019641080365
"252","Florida B","College","Men","Developmental","Southeast","Southeast Dev","/teams/events/Eventteam/?TeamId=Lrwxr5orBun4UOBsAw7lmvti4HpVdS1ehkOCg9BtAXI%3d",7,14,0.0329989069303867
"253","Georgia B","College","Men","Developmental","Southeast","Southeast Dev","/teams/events/Eventteam/?TeamId=1%2fCRaYfN2lMge78CCEc%2f%2bybfNsvPl%2fz7cr%2b%2bOLTJB28%3d",8,3,0.0322024162842616
