"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","Stanford","College","Women","Division I","Southwest","NorCal DI","19","3","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",22.571084905798
"2","Texas","College","Women","Division I","South Central","Texas DI","16","3","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",17.4320856952803
"3","UCLA","College","Women","Division I","Southwest","SoCal DI","18","4","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",16.6441261270393
"4","Dartmouth","College","Women","Division I","New England","Greater New England DI","16","3","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",12.5180948109654
"5","California","College","Women","Division I","Southwest","NorCal DI","16","9","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",10.6675983148326
"6","Tufts","College","Women","Division I","New England","Metro Boston DI","17","3","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",10.4194197443792
"7","Virginia","College","Women","Division I","Atlantic Coast","Virginia DI","22","2","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",9.3653407360204
"8","British Columbia","College","Women","Division I","Northwest","Cascadia DI","9","4","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",7.96813748968702
"9","Oregon","College","Women","Division I","Northwest","Cascadia DI","16","10","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",7.75728897369844
"10","Pittsburgh","College","Women","Division I","Ohio Valley","Pennsylvania DI","15","5","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",7.2295180510509
"11","Colorado","College","Women","Division I","South Central","Rocky Mountain DI","7","10","/teams/events/Eventteam/?TeamId=gusM8XMge2EY2DPbF8NPCjtiszB7UuMTxRwXBD0dJVc%3d",5.70094767722712
"12","Notre Dame","College","Women","Division I","Great Lakes","Eastern Great Lakes DI","16","4","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",5.06337828076951
"13","Southern California","College","Women","Division I","Southwest","SoCal DI","14","9","/teams/events/Eventteam/?TeamId=kYEAvqM6osoedNBKIjIgFJ7YmKzbwypoaisrdUYJ3k0%3d",4.94528893143744
"14","Carleton College","College","Women","Division I","North Central","Western North Central DI","11","8","/teams/events/Eventteam/?TeamId=NwrqWq7T52otvyL5c9Wsgq8nWWuA6j3c9jcVFfaUhNE%3d",4.77696228996591
"15","Ohio State","College","Women","Division I","Ohio Valley","Ohio DI","15","10","/teams/events/Eventteam/?TeamId=Wmb6gNGRpntGn1S3HGYdc6MliHJ1KaUc4NkMTm%2bOadg%3d",4.40023167450478
"16","California-San Diego","College","Women","Division I","Southwest","SoCal DI","13","9","/teams/events/Eventteam/?TeamId=4cRw9FDJ9oW5ffiKGabttFznjbbxQjlkLM9CmN%2fLa7k%3d",4.34735028572251
"17","Michigan","College","Women","Division I","Great Lakes","Eastern Great Lakes DI","9","11","/teams/events/Eventteam/?TeamId=VKxIKXEDdQLYPNLiXn0FibYcbr625nQBtm2CLlApId8%3d",4.26016188527103
"18","North Carolina","College","Women","Division I","Atlantic Coast","Carolina DI","13","6","/teams/events/Eventteam/?TeamId=gUiWjT9ywZbw1fX%2fupfcfpLQtBXRn%2bkZHPLcLj%2f5g8w%3d",3.96922396240467
