"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","Stanford","College","Women","Division I","Southwest","NorCal DI","19","3","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",21.4594754206734
"2","Texas","College","Women","Division I","South Central","Texas DI","16","3","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",16.7543669482604
"3","UCLA","College","Women","Division I","Southwest","SoCal DI","18","4","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",15.9095409056098
"4","Tufts","College","Women","Division I","New England","Metro Boston DI","17","3","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",13.1804974163405
"5","Dartmouth","College","Women","Division I","New England","Greater New England DI","16","3","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",12.0457301263575
"6","Virginia","College","Women","Division I","Atlantic Coast","Virginia DI","22","2","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",11.970111265896
"7","California","College","Women","Division I","Southwest","NorCal DI","16","9","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",10.0582596041455
"8","British Columbia","College","Women","Division I","Northwest","Cascadia DI","9","4","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",8.5737450282884
"9","Oregon","College","Women","Division I","Northwest","Cascadia DI","16","10","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",7.24979965982455
"10","Pittsburgh","College","Women","Division I","Ohio Valley","Pennsylvania DI","15","5","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",6.9501277915414
"11","Notre Dame","College","Women","Division I","Great Lakes","Eastern Great Lakes DI","16","4","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",5.63138942964579
