"Rank","Team","Wins","Losses","Rating","City","State"
1,"Slow White",21,6,30.1659100058785,"Boston","MA"
2,"Wild Card",20,0,29.6037988756451,"Boston","MA"
3,"Seattle Mixtape",10,3,23.9848325849213,"Seattle","WA"
4,"AMP",11,3,23.324865363868,"Philadelphia","PA"
5,"Drag'n Thrust",9,4,11.5443313006792,"Minneapolis","MN"
6,"BFG",5,2,9.08535057350752,"Seattle","WA"
7,"Mischief",10,4,7.89708489928865,"San Francisco Bay Area","CA"
8,"Toro",18,3,7.54228392272127,"Durham","NC"
9,"Metro North",10,4,5.8512562687335,"Mianus","CT"
10,"Steamboat",7,7,5.83060348706443,"Cincinnati","OH"
11,"NOISE",7,6,5.24616910429708,"Madison","WI"
12,"shame.",10,3,4.92774409992826,"Fort Collins","CO"
13,"XIST",18,2,4.69918621465396,"New York","NY"
14,"Blackbird",8,5,4.47704816441622,"San Francisco","CA"
15,"Polar Bears",6,1,3.78089639698962,"Berkeley","CA"
16,"Love Tractor",8,4,3.20943047553636,"Denver","CO"
17,"Snake Country Bromance",5,1,2.63223687910277,"SOMERVILLE","MA"
18,"BoyShe",15,7,2.58873135148551,"Boise","ID"
19,"Columbus Cocktails",19,3,2.10660642707358,"Columbus","OH"
20,"SHINSHU LOOSE-Upper",2,5,2.08369099407292,"Matsumoto","Nagano"
21,"7 Figures",7,3,2.0693842279612,"Los Angeles","CA"
22,"Public Enemy",3,6,2.04387016001186,"Dallas/Fort Worth","TX"
23,"Charlotte Storm",15,5,1.98615821202796,"Charlotte","NC"
24,"Battleship",13,8,1.86573382339128,"St-Jean-sur-Richelieu","Quebec"
25,"Dixon Melons",2,1,1.8,"Missoula","MT"
26,"The Chad Larson Experience",3,3,1.74999124583693,"Ames","IA"
27,"Bucket",11,2,1.65084700669076,"Atlanta","GA"
28,"Ambiguous Grey",3,3,1.55527981034561,"Washington","DC"
29,"UNION",5,8,1.50258092093961,"Toronto","Ontario"
30,"Distelfink",11,3,1.44837366206153,"Lancaster","PA"
31,"Swing State",15,3,1.4158942351597,"Orlando","FL"
32,"Dub Club",10,5,1.41381959738006,"West Chester","PA"
33,"Birdfruit",7,1,1.39423982837756,"Seattle","WA"
34,"G-Unit",2,4,1.36802802541209,"Gainesville","FL"
35,"Mental Toss Flycoons",3,1,1.2,"Missoula","MT"
36,"Freakshow",2,0,1.16666666666667,"Newark","DE"
37,"Alloy",2,4,1.16599317002094,"Pittsburgh","PA"
38,"Team Mexico",1,6,1.04316176131246,"Ciudad de Mexico","Mex"
39,"Bozos",9,6,1.04146391829332,"Bozeman","MT"
40,"JLP",15,5,0.972676797150932,"Atlanta","GA"
41,"Bang!",4,3,0.972443101415856,"West Chester","PA"
42,"The Feminists",13,9,0.961212092077335,"New York","NY"
43,"Sparkle Ponies",8,5,0.874584992089415,"Rockville","MD"
44,"The Administrators",10,1,0.836889574185816,"Willamette Valley","OR"
45,"Jughandle",9,5,0.836525106731811,"Princeton","NJ"
46,"Geekshow",0,2,0.833333333333333,"Newark","DE"
47,"UPA",4,2,0.819079092640759,"Chicago","IL"
48,"Donuts",10,4,0.81598766587998,"Bay Area","CA"
49,"No Touching!",1,5,0.795441950523762,"Twin Cities","MN"
50,"Minnesota Star Power",9,5,0.758964141288604,"Minneapolis/ St. Paul","MN"
51,"BW Ultimate",7,6,0.753957479441034,"Sunnyvale","CA"
52,"Cahoots",16,3,0.750071151771945,"Asheville","NC"
53,"Cosa Nostra",5,5,0.747490653962571,"Austin","TX"
54,"Bird",12,8,0.674402935506502,"Minneapolis","MN"
55,"Murmur",20,7,0.648545180785518,"Athens","GA"
56,"Long Beach Legacy",8,2,0.644776307041455,"Long Beach","CA"
57,"Anchor",6,2,0.577159488810935,"Halifax","Nova Scotia"
58,"Rubix",9,4,0.546605695210707,"Phoenix","AZ"
59,"Heartless",16,5,0.506530855018824,"Burlington","VT"
60,"PleasureTown",8,12,0.502425276714967,"Boston","MA"
61,"Pegasus",7,7,0.482967766224776,"Seattle","WA"
62,"Clue",8,5,0.468175498528637,"Philadelphia","PA"
63,"Method",17,4,0.459579375423758,"Huntsville","AL"
64,"Sellout",8,1,0.435769646934581,"Austin/Houston/Dallas","TX"
65,"Titan NE",14,7,0.427530774768746,"Bar Harbor","ME"
66,"Toast",7,1,0.411247664518464,"Grand Rapids","MI"
67,"Hybrid",15,3,0.388308433917681,"Ann Arbor","MI"
68,"Garbage Plates",12,2,0.377445798306495,"Rochester","NY"
69,"Tequila Mockingbird",8,6,0.368599893588732,"Chicago-apolis","IN"
70,"Grand Army",9,13,0.367231829116413,"Brooklyn","NY"
