"Rank","Team","Wins","Losses","Rating","City","State"
1,"Fury",22,3,13.1233610313145,"San Francisco","CA"
2,"Seattle Riot",23,3,12.2816904415455,"Seattle","WA"
3,"Molly Brown",24,5,8.78516368352486,"Denver/Boulder","CO"
4,"Brute Squad",16,4,6.95864396764972,"Boston","MA"
5,"Scandal",18,7,6.07009714375747,"Washington","DC"
6,"6ixers",13,4,3.9092566899487,"Toronto","Ontario"
7,"Phoenix",20,6,2.99436004557004,"Raleigh","NC"
8,"Traffic",21,5,2.56835937818757,"Vancouver","BC"
9,"Schwa",20,13,2.42885546702703,"Portland","OR"
10,"Revolution",4,2,2.14827104948679,"Medellin","Antioquia"
11,"Nightlock",17,15,1.53008481427585,"Bay Area","CA"
12,"Siege",29,4,1.38336654201271,"Boston","MA"
13,"Rival",21,11,1.3582559073861,"Columbus/Ann Arbor","OH"
14,"Nemesis",14,11,0.941827586426773,"Chicago","IL"
15,"Underground",20,15,0.882942463408926,"Seattle","WA"
16,"Ozone",11,8,0.856576770186869,"Atlanta","GA"
17,"HUCK",2,4,0.7567298938876,"Tokyo","Edogawa"
18,"Wildfire",15,7,0.716736786057918,"San Diego","CA"
19,"Showdown",13,11,0.526072328185512,"Texas City","TX"
20,"German National Team",1,5,0.483777153536862,"Darmstadt","Hesse"
21,"Pop",17,7,0.444758411847646,"Minneapolis","MN"
22,"Grit",15,9,0.414878365732299,"Washington","DC"
23,"BENT",21,10,0.388505147076879,"New York","NY"
24,"uno",2,4,0.318267167275812,"Toyota","Aichi"
25,"Iris",16,4,0.281452436455653,"Québec","Quebec"
26,"Tabby Rosa",17,7,0.234373705572054,"Gainesville","FL"
27,"Virginia Rebellion",28,9,0.228963735209471,"Richmond","VA"
28,"Wicked",15,11,0.20879289300524,"Kansas City","KS"
29,"Elevate",11,16,0.203055001247479,"Salt Lake City","UT"
30,"Colorado Small Batch",12,16,0.147659144922136,"Denver","CO"
31,"Salty",18,11,0.132588550986492,"Halifax","Nova Scotia"
32,"LOL",14,7,0.113070245705274,"Oakland","CA"
33,"Heist",7,16,0.102601301318474,"Madison","WI"
34,"FAB",16,14,0.0779069541592243,"Bay Area","CA"
35,"Sneaky House Hippos",8,13,0.0505078119814872,"Vancouver","British Columbia"
36,"Pine Baroness",18,12,0.0407427388759119,"Princeton","NJ"
37,"Rebel Rebel",24,8,0.0407314484703033,"Albany","NY"
38,"Seattle Soul",22,14,0.0361442300097332,"Seattle","WA"
