"Rank","Team","Wins","Losses","Rating","City","State"
1,"Wild Card",25,2,28.0096225408107,"Boston","MA"
2,"Slow White",21,6,26.9874638124487,"Boston","MA"
3,"Seattle Mixtape",10,3,21.9863366684882,"Seattle","WA"
4,"AMP",11,3,21.1527604611595,"Philadelphia","PA"
5,"BFG",10,3,13.7298269373996,"Seattle","WA"
6,"Drag'n Thrust",9,4,11.0603018493888,"Minneapolis","MN"
7,"NOISE",11,8,8.56859983576451,"Madison","WI"
8,"shame.",15,5,8.09208971696728,"Fort Collins","CO"
9,"Mischief",10,4,6.94408860745565,"San Francisco Bay Area","CA"
10,"Toro",18,3,6.02607431681743,"Durham","NC"
11,"Love Tractor",12,6,5.77140692130869,"Denver","CO"
12,"Steamboat",7,7,5.67930276338917,"Cincinnati","OH"
13,"Metro North",10,4,5.17842212962357,"Mianus","CT"
14,"Public Enemy",7,8,3.87989635456682,"Dallas/Fort Worth","TX"
15,"Blackbird",8,5,3.79250674366952,"San Francisco","CA"
16,"The Chad Larson Experience",7,5,3.65307520470206,"Ames","IA"
17,"XIST",18,2,3.39950299692565,"New York","NY"
18,"Ambiguous Grey",5,7,3.38364978330784,"Washington","DC"
19,"Alloy",6,7,3.33896742477671,"Pittsburgh","PA"
20,"BoyShe",19,9,3.07425868793426,"Boise","ID"
21,"Polar Bears",9,4,2.69872547901321,"Berkeley","CA"
22,"7 Figures",13,3,2.69170259941878,"Los Angeles","CA"
23,"Snake Country Bromance",5,1,2.29818270471596,"SOMERVILLE","MA"
24,"UPA",6,6,2.07726731301359,"Chicago","IL"
25,"G-Unit",3,9,2.06177524501095,"Gainesville","FL"
26,"No Touching!",4,8,1.93637855822379,"Twin Cities","MN"
27,"Bozos",13,8,1.91051094490552,"Bozeman","MT"
28,"SHINSHU LOOSE-Upper",2,5,1.90371432503166,"Matsumoto","Nagano"
29,"Charlotte Storm",15,5,1.78914906905494,"Charlotte","NC"
30,"Columbus Cocktails",19,3,1.6730281243269,"Columbus","OH"
31,"Birdfruit",12,3,1.59229265798796,"Seattle","WA"
32,"Battleship",13,8,1.51438764346843,"St-Jean-sur-Richelieu","Quebec"
33,"Minnesota Star Power",16,4,1.34344295230385,"Minneapolis/ St. Paul","MN"
34,"Bucket",11,2,1.2827205394382,"Atlanta","GA"
35,"Cosa Nostra",7,9,1.26016825722657,"Austin","TX"
36,"UNION",5,8,1.21451967179006,"Toronto","Ontario"
37,"Freakshow",2,0,1.16666666666667,"Newark","DE"
38,"Bang!",6,8,1.15066922786427,"West Chester","PA"
39,"Distelfink",11,3,1.14052122695916,"Lancaster","PA"
40,"Swing State",15,9,1.13772501579277,"Orlando","FL"
41,"BW Ultimate",10,10,1.09772973813394,"Sunnyvale","CA"
42,"Dub Club",10,5,1.06063735990192,"West Chester","PA"
43,"Team Mexico",1,6,0.955899889272211,"Ciudad de Mexico","Mex"
44,"Geekshow",0,2,0.833333333333333,"Newark","DE"
45,"The Feminists",13,9,0.7966969916978,"New York","NY"
46,"JLP",15,5,0.747176759153647,"Atlanta","GA"
47,"The Administrators",10,1,0.723607783166546,"Willamette Valley","OR"
48,"Donuts",10,4,0.680774228364102,"Bay Area","CA"
49,"Sparkle Ponies",8,5,0.669239965079534,"Rockville","MD"
50,"Jughandle",9,5,0.662997882572773,"Princeton","NJ"
51,"Bird",12,8,0.60863292126482,"Minneapolis","MN"
52,"Cahoots",17,3,0.607602309734863,"Asheville","NC"
53,"Long Beach Legacy",8,2,0.554335502113524,"Long Beach","CA"
54,"Rubix",9,4,0.537304667767434,"Phoenix","AZ"
55,"Pegasus",7,7,0.510928453157282,"Seattle","WA"
56,"Sellout",8,1,0.495748684495477,"Austin/Houston/Dallas","TX"
57,"Anchor",6,2,0.476967291101865,"Halifax","Nova Scotia"
58,"Murmur",21,7,0.475446033943706,"Athens","GA"
59,"PleasureTown",8,12,0.420735055049487,"Boston","MA"
60,"Classy",7,6,0.419153950550126,"San Francisco","CA"
61,"Happy Hour",5,2,0.40065222429664,"McMinnville","OR"
62,"Heartless",16,5,0.395301811587778,"Burlington","VT"
63,"Clue",8,5,0.358215477787308,"Philadelphia","PA"
64,"Method",17,4,0.351304005794121,"Huntsville","AL"
65,"Tequila Mockingbird",8,6,0.333777494495083,"Chicago-apolis","IN"
66,"Titan NE",14,8,0.324494453868469,"Bar Harbor","ME"
67,"Risky Business",12,5,0.309840831925655,"Dallas","TX"
68,"Garbage Plates",12,2,0.301166233628725,"Rochester","NY"
69,"Hybrid",15,3,0.298943348893318,"Ann Arbor","MI"
70,"Grand Army",9,13,0.280695834118308,"Brooklyn","NY"
71,"Northern Comfort",14,8,0.260535536591826,"Milwaukee","WI"
72,"Alchemy",9,5,0.238895195655315,"San Francisco","CA"
73,"8 Bit Heroes",12,7,0.236701929362418,"Frederick","MD"
74,"Mesteño",4,9,0.228276116038813,"Denver","CO"
75,"Thoroughbred",9,5,0.218183818714356,"Saint Louis","MO"
76,"Darkwing",15,11,0.209799195735002,"Mansfield","MA"
77,"Ant Madness",15,7,0.208011885565774,"Arlington","VA"
78,"American Barbecue",4,3,0.206225113988375,"San Francisco","CA"
79,"tHUMP",7,2,0.204289340462749,"Houston","TX"
80,"Malice in Wonderland",10,4,0.192994502664319,"Raleigh","NC"
81,"Shakedown",9,6,0.179399632646413,"Chicago","IL"
82,"Family Style",5,6,0.179253438554373,"Los Angeles","CA"
83,"Toast",10,5,0.176866202192474,"Grand Rapids","MI"
84,"Platypi",4,4,0.165936715066397,"Chico","CA"
85,"Cutthroat",12,6,0.158245188319357,"Reno","NV"
86,"Firefly",6,8,0.156194700812228,"San Francisco","CA"
87,"HAOS",15,11,0.155565309245866,"Watertown","MA"
88,"Argo",4,9,0.147073846157848,"San Francisco","CA"
89,"Alternative Stacks",14,9,0.14572405594012,"Fairfield","CT"
90,"Moontower",8,9,0.14465326497612,"Austin","TX"
91,"Goose Lee",10,4,0.140622539054882,"Cincinnati","OH"
92,"American Hyperbole",9,10,0.136488895391452,"Baltimore","MD"
93,"LoveShack",13,8,0.130615900709914,"Atlanta","GA"
94,"Crash",2,11,0.125523029525289,"Kitchener-Waterloo-Guelph","Ontario"
95,"Trash Pandas",11,11,0.124639077052024,"Nashville","TN"
96,"Friday Night Couch",8,5,0.120850682128968,"Seattle","WA"
97,"League of Shadows",15,12,0.120531321549626,"Boston","MA"
98,"Buffalo Lake Effect",14,6,0.120302829500286,"Buffalo","NY"
99,"Powermove",7,12,0.11717662209172,"New York","NY"
100,"Fear and Loathing",5,6,0.116456787469591,"Las Vegas","NV"
101,"Crush",5,3,0.11083227533404,"Knoxville","TN"
102,"Prion",7,7,0.107267452286692,"Champaign-Urbana","IL"
103,"Sweet Action",6,13,0.105172923157312,"Denver","CO"
104,"Mojo Jojo",10,4,0.10282810427342,"Minneapolis","MN"
105,"Sunken Circus",13,14,0.100978725744224,"Portland","ME"
106,"TAU",5,2,0.100256230627041,"Winston Salem","NC"
107,"Lawn Patrol",3,5,0.0996009037777356,"San Jose","CA"
108,"Albany Airbenders",9,17,0.099517685927923,"Albany","NY"
109,"Mutiny",12,5,0.0988676915319216,"St. Petersburg","FL"
110,"Happy Valley",8,4,0.0981687583366393,"Amherst","MA"
111,"Buckwild",1,5,0.0971243800165198,"Sacramento","CA"
112,"panIC",7,6,0.0954018473830687,"Iowa City","IA"
113,"Superstition",7,10,0.0941765222662177,"Phoenix","AZ"
114,"Rainbow",15,13,0.0938274479032839,"Somerville","MA"
115,"Legion",11,9,0.0899801829002184,"Lynchburg","VA"
116,"RUT",11,9,0.0890135250385148,"Burlington","VT"
117,"Freetail",7,10,0.0865573454115165,"San Antonio","TX"
118,"Fable",2,5,0.0846321392516323,"Vancouver","BC"
119,"VIP Club",6,7,0.0826628739002898,"Quebec","QC"
120,"Coalition Ultimate",8,6,0.0822081523772424,"Minneapolis","MN"
121,"The Hucking Dead",10,11,0.07687936772227,"Jacksonville","FL"
122,"Instant Karma",7,6,0.0759085022636716,"Tucson","AZ"
123,"Possum",9,6,0.0739736590023346,"Greenville","SC"
124,"Tyrannis",6,9,0.0731675755886952,"Charlottesville","VA"
125,"rubber duck ultimate.",10,4,0.072338010213658,"Fayetteville","AR"
126,"Sir Walter Rowdy",9,4,0.0704451907824611,"Raleigh","NC"
127,"Crucible",12,3,0.0699066051446681,"Pittsburgh","PA"
128,"#Birdz",9,5,0.0613535703695283,"Long Island","NY"
129,"Tex Mix",9,5,0.059343138234582,"Dallas","TX"
130,"Moonshine",6,10,0.0592567757750448,"Lexington","KY"
131,"Rat City",3,10,0.0591636051176414,"Baltimore","MD"
132,"Petey's Pirates",11,7,0.0576096347079641,"Columbus","OH"
133,"Providence Mob",10,14,0.0548789654773632,"Providence","RI"
134,"The Bandits",9,5,0.0528317601570516,"Montclair","NJ"
135,"Unlimited Swipes",9,11,0.052355282513005,"New York","NY"
136,"Scarecrow",11,20,0.0517916326102764,"Manchester","NH"
137,"Robot",5,1,0.0512152934022626,"Santa Barbara","CA"
138,"Mixed Nuts",10,16,0.0497554746155516,"Boston","MA"
139,"LORD",8,11,0.0487851585416984,"Fairfax","VA"
