"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"75","Davidson","College","Men","Division III","Atlantic Coast","Carolina DIII","14","11","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",0.65156758332883
"76","California","College","Men","Division I","Southwest","NorCal DI","6","12","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",0.632193766549587
"77","Ohio","College","Men","Division I","Ohio Valley","Ohio DI","13","4","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",0.625502672522651
"78","Lehigh","College","Men","Division I","Ohio Valley","East Penn DIII","11","11","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",0.615976397585704
"79","Kennesaw State","College","Men","Division I","Southeast","Southern Appalachian DI","14","14","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",0.613286079131362
"80","Illinois State","College","Men","Division I","Great Lakes","Illinois DI","14","11","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",0.58785122403913
"81","Indiana","College","Men","Division I","Great Lakes","East Plains DI","11","12","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",0.575430825160038
"82","Iowa","College","Men","Division I","North Central","West Plains DI","14","14","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",0.565183299419413
"83","Arizona","College","Men","Division I","Southwest","Desert DI","4","6","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",0.555609862786332
"84","Minnesota-Duluth","College","Men","Division I","North Central","Northwoods DI","12","0","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",0.552025600797364
"85","North Carolina-Asheville","College","Men","Division III","Atlantic Coast","Carolina DIII","4","6","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",0.548900496318434
"86","Utah","College","Men","Division I","Northwest","Big Sky DI","6","6","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",0.540212917056266
"87","Victoria","College","Men","Division I","Northwest","Cascadia DI","2","9","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",0.527900213965692
"88","Virginia Commonwealth","College","Men","Division I","Atlantic Coast","Virginia DI","9","5","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",0.523908733432092
"89","Dartmouth","College","Men","Division III","New England","North New England DIII","8","13","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",0.511840848354374
"90","Alabama","College","Men","Division I","Southeast","Gulf Coast DI","14","8","/teams/events/Eventteam/?TeamId=Fy7ndC0YiChGMO1BqxR7nhD2Wg3a3vBOqOPe0XaIAfs%3d",0.501974838098845
"91","Oklahoma","College","Men","Division I","South Central","Ozarks DI","10","7","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",0.500704206646543
"92","Union (Tennessee)","College","Men","Division III","Southeast","Western Southeast DIII","10","9","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",0.489787122501166
"93","High Point","College","Men","Division III","Atlantic Coast","Carolina DIII","9","11","/teams/events/Eventteam/?TeamId=V55BdEw6QV0qWkHBbMitCw%2bYekb4Sz%2fbdjf7QccvD7o%3d",0.486869883641838
"94","California-Davis","College","Men","Division I","Southwest","NorCal DI","6","11","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",0.439868996323158
"95","Georgetown","College","Men","Division I","Atlantic Coast","Colonial DI","10","11","/teams/events/Eventteam/?TeamId=xji%2fAev%2fUFxJ%2bIiurk53yZqMsyHlKb7s91MfT%2boVty8%3d",0.437013000720334
"96","South Florida","College","Men","Division I","Southeast","Florida DI","7","10","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",0.435623874050963
"97","South Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","10","15","/teams/events/Eventteam/?TeamId=iLgJ2xyi8%2bHysjtDX61BpuAvs8Tckx56K2dlAvniBqA%3d",0.432426604234617
"98","Appalachian State","College","Men","Division I","Atlantic Coast","Carolina DI","12","2","/teams/events/Eventteam/?TeamId=kDpZlPeZtYxuEsBO2Zl6y3JXtvhWfhraWqegorg%2fy78%3d",0.428552983436793
