"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Holy Family Catholic (Omega)",13,0,"High School","Girls","Cincinnati","OH","/teams/events/Eventteam/?TeamId=K8PrC3Qshnqlk%2fygUVikLE67CaZ9aK0PxYHZEem0ogU%3d",29,14.3145975522665
"2","Lone Peak (Lone Peak)",10,0,"High School","Girls","Highland","UT","/teams/events/Eventteam/?TeamId=8bP9QvfIlxR357xgEO8kOrkNu6oJCJCgWiI7YeTa4V8%3d",38,7.99999999999999
"3","Boulder (Flower Power)",9,0,"High School","Girls","Boulder","CO","/teams/events/Eventteam/?TeamId=WWniSFFH4KanrASx%2b4Fd3MVY0yhVyPgsjO0h3ZP1YCc%3d",3,7.86240734226381
"4","Madison West High School (Nemea A)",2,0,"High School","Girls","Madison","WI","/teams/events/Eventteam/?TeamId=05T7kuvmD2zpROxLEoC6FtUAjrV%2fXVkF3XriBFL34EI%3d",41,6.18170797702523
"5","Paideia School (PythonsGroove Varsity)",9,0,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=5zrSWpf%2bKvbsa0bbXHpzqfVvVqoyX6SskuRNlKgbQb8%3d",52,3.81649973793552
"6","Lindbergh High School (Lady Flyers)",2,0,"High School","Girls","Saint Louis","MO","/teams/events/Eventteam/?TeamId=uRcx%2blSykXZJEr9Jcr7dwT8oeus12IJ2TULw%2bC69HEo%3d",36,2.75000000000001
"7","High Country Christian Homeschoolers (Barefoot in the Park)",5,1,"High School","Girls","Valle Crucis","NC","/teams/events/Eventteam/?TeamId=VUU4e79bxGqmxyKxopWBP99f%2bM2D1vc0y7A8%2fztgHmY%3d",28,2.45662163766071
"8","Stoughton High School (Stoughton High School)",3,0,"High School","Girls","Stoughton","WI","/teams/events/Eventteam/?TeamId=DH1tBcQSuCGjwufQtCie9TWWDJUKyjYOcO5C3rjRiFs%3d",58,2.39188668643716
"9","East High School (Denver East Girls)",9,1,"High School","Girls","Denver","CO","/teams/events/Eventteam/?TeamId=Mep3NaMCnMJV%2fcGESgnZK8wRJJlL%2bhn6dH0ylGtNDmE%3d",18,2.11425832381659
"10","Brookwood (Inferno)",6,3,"High School","Girls","Snellville","GA","/teams/events/Eventteam/?TeamId=uvtcz1ya99ilps5OZ%2f76vTebBC0m3LEvwpvVynCcy%2b0%3d",4,1.53030098004838
"11","Grady High School (Gauntlet (girls))",6,2,"High School","Girls","Atlanta","GA","/teams/events/Eventteam/?TeamId=i9FW9l%2bhYJohNSBNqrR3eZvi6juMcEGsEu7Q%2b4p6j7M%3d",25,1.45037993855294
"12","East Chapel Hill High School (East Eclipse)",7,2,"High School","Girls","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=1G%2fDynSh6xBDt9Uh1zleNBQl%2blAHVfJ%2f%2fx9HGZIBGwo%3d",17,1.41611216941238
"13","Carolina Friends School (Koi)",4,5,"High School","Girls","Carrboro","NC","/teams/events/Eventteam/?TeamId=EORRS%2b8QyPdBtZcN4wy%2bGRrXq3JBrwnyB%2fqCk4iP6So%3d",7,0.593609518165747
"14","Lakewood High School (Lakewood DEEP Girls)",6,3,"High School","Girls","Lakewood","CO","/teams/events/Eventteam/?TeamId=FpoBB5R7Q9TGDEZVaxT3lYj0U7V6bmHgsPMHz0B00G8%3d",34,0.571283650888168
"15","Littleton High School (X Chromosomes)",4,6,"High School","Girls","Littleton","CO","/teams/events/Eventteam/?TeamId=ovlhECUUFTsp6aDUeeEX86xY1RE8i%2fD4NV%2f8BkyO3jk%3d",37,0.558372885518702
