"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"38","Copper Hills-B (Copper Hills)",2,1,"High School","Boys","West Jordan","UT","/teams/events/Eventteam/?TeamId=rANjDtIFWkbpzKqPYxhQ8wbussv48nxfOWQDeAwjRVA%3d",36,0.314661119114254
"39","North Carolina School of Science and Math (SMUF)",6,13,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=%2bM5UnrycjbGfVIy2mjs2%2fp9YaD1CQ4rZVQ9%2bKxbGACc%3d",102,0.308220371412836
"40","Durham School of the Arts - Riverside High (Salty Dog)",2,7,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=0ElqA5YLPtylJ5pL3uLwozwTFSH3n2TiwhHcrgZ%2f3G8%3d",45,0.303694541398422
"41","Chamblee High School (Chamblee Bulldogs)",3,2,"High School","Boys","Chamblee","GA","/teams/events/Eventteam/?TeamId=9REN5xhzi3VXY%2bvZKoXoSmBX%2fOHZ2aPviqgrp8eOcTU%3d",27,0.278292139353457
"42","Ardrey Kell High School (AKult)",4,6,"High School","Boys","Charlotte","NC","/teams/events/Eventteam/?TeamId=qMtZukpPrj%2bJOjYuwN3ZuSDqkZffxaxH%2bJaNEO%2ffdsM%3d",5,0.225679799838908
"43","High Country Christian Homeschoolers (BLUR)",4,0,"High School","Boys","Boone","NC","/teams/events/Eventteam/?TeamId=OqgVoRyzynu%2bLsN3QhXxUGMMO0an8815LcoMFDXPAEU%3d",63,0.204272064508299
"44","Woodward Academy (Woodward Academy)",1,4,"High School","Boys","College Park","GA","/teams/events/Eventteam/?TeamId=rlbB82lGPgu6klqcP1wD2jEbzv%2bhQq3QOR2xA%2bzRskA%3d",136,0.18457928983572
"45","La Follette High School (LUF)",0,3,"High School","Boys","Madison","WI","/teams/events/Eventteam/?TeamId=YsDK1Lb6Fp2Jkc35ykeI7B%2bBvjJOK3ofY9ka0mfDkGI%3d",74,0.184486373165618
"46","Disception (Disception)",0,4,"High School","Boys","San Mateo","CA","/teams/events/Eventteam/?TeamId=8ooJhrGCG%2bjUCJtJ3akTRg0npyRP1cf0baTVzzuHCcE%3d",43,0.180151465261772
"47","Copper Hills (Ultimate CHills)",3,7,"High School","Boys","West Jordan","UT","/teams/events/Eventteam/?TeamId=mGx1dJ4ANAMD%2ftV4HyVtMo%2bn3Jy6McPY4dRRNaS8ItU%3d",35,0.160064277612863
"48","Neuqua Valley - A (NV Ultimate - A)",6,3,"High School","Boys","Naperville","IL","/teams/events/Eventteam/?TeamId=p5Ic8%2bM7h%2fna7MnJTjzRlAC3UsvnOoRqTfUN0WUePe0%3d",99,0.159817478512667
"49","Durham Academy-Upper (Durham Academy Cavaliers)",2,2,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=vhwEh320NBb1vd6%2bpMxD2%2f1kQSZamnNXqD5a8ZrQ5Zk%3d",44,0.131663871898724
"50","Catholic High School -JV (Bayou Hazard)",6,0,"High School","Boys","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=RzHSUvG2jkIS1DjtBTHzqmUVleW77IifJVJFL3%2bS8hQ%3d",23,0.131465713025354
