"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Cheyenne Mountain High School (Cheyenne Ultimate)",5,0,"High School","Boys","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=mZsUxHRuxm%2fJOlZ6UB3V3ReO535PHAhgtj6Thr6Kifg%3d",58,28.9999145131109
"2","Hopkins High School Varsity Boys (Hopkins Hurt Varsity Boys)",7,1,"High School","Boys","Minnetonka","MN","/teams/events/Eventteam/?TeamId=qceZIWzVnw29BjErC0%2bBTsbDxK0AwYkuiFAH6DiVdKs%3d",135,25.2309767693534
"3","South High School (South Squall - Varsity)",3,0,"High School","Boys","Minneapolis","MN","/teams/events/Eventteam/?TeamId=mCJ1RVV3jaHuv9guAHaBjMRp6IHKK9j0bkPhZ9J6OUs%3d",258,25.1531917898132
"4","Carolina Friends School (Fighting Quakers)",16,0,"High School","Boys","Durham","NC","/teams/events/Eventteam/?TeamId=sum6YzxDO%2f%2fL8nry2K9jk050KZgBttYBkFTm5NOjcms%3d",38,18.937498484257
"5","Marcus (Marcus)",6,0,"High School","Boys","Flower Mound","TX","/teams/events/Eventteam/?TeamId=TXqsBzSLtGxSifdwatOvwb2YpASM90OnL3nk5%2f1B%2bZs%3d",180,13
"6","Great River School (Great River Stars)",9,3,"High School","Boys","St. Paul","MN","/teams/events/Eventteam/?TeamId=inbjjD0ODuc%2fjjR17pUTLYTqhv5Me7PedPmxeqqliiQ%3d",120,12.7966630978061
"7","Stuyvesant High School (Sticky Fingers (A))",3,0,"High School","Boys","New York","NY","/teams/events/Eventteam/?TeamId=2kDGLohBHqwbnaTG5mYsjCoIEBMIoVRpsjcWJgadlUM%3d",268,12.7907848786763
"8","Catholic High School (Bayou Hazard)",8,1,"High School","Boys","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=vZv4s63IAOdAN1zGZKwQR3fjbxmJ6cihyxxVAVSWNj0%3d",45,11.4143219786397
"9","Westfield (Westfield Ultimate)",6,0,"High School","Boys","Westfield","NJ","/teams/events/Eventteam/?TeamId=kPxfkuYp3MH3sltkM7QC362RxlpVKJ2Lc5cct9BLxVs%3d",302,9.99707538090669
"10","Sky View High School (Sky View Ultimate A)",20,1,"High School","Boys","Smithfield","UT","/teams/events/Eventteam/?TeamId=aSjyqkRWlwmyulZLCf3wU%2bBxiBbaEi5H0tKly%2bifHKo%3d",252,8.83629734353922
"11","Cathedral High School (Griffin)",8,3,"High School","Boys","Saint Cloud","MN","/teams/events/Eventteam/?TeamId=LEW482PjTuqzn2SH6TOtunAiQdrr%2bJHSki7QJVCDZ7I%3d",43,8.52832130529083
"12","Timpview HS - A Team (Timpview)",19,2,"High School","Boys","Provo","UT","/teams/events/Eventteam/?TeamId=OsTntD%2fjrexw0XM2ZAHg70yD54%2b%2fWb7VNVnQxbX3%2fLY%3d",284,6.8025375415436
"13","HB Woodlawn Secondary Program (HB Woodlawn)",9,0,"High School","Boys","Arlington","VA","/teams/events/Eventteam/?TeamId=dTs6kD2AjeyyJKJcFt762GiqOunTCRGONrHEzv2t1fs%3d",126,5.6537614233867
"14","Lone Peak (Lone Peak)",14,4,"High School","Boys","Highland","UT","/teams/events/Eventteam/?TeamId=xsm5R4bqy4sjJ3lYfL2432402v7B3EHLb1cur33tOfw%3d",170,5.63188444498254
"15","Grady High School (Gauntlet)",7,2,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=Y8%2fF0aKwpkXw6zNUjGZ4%2fmSrAykM5WSAa2cP1fdCJEc%3d",118,5.26450726024324
"16","Edina High School-JV1 (Edina Ultimate JV GREEN)",4,0,"High School","Boys","Edina","MN","/teams/events/Eventteam/?TeamId=0GkDTVYl0kWRAjLdoPV7FEFmZf3d31HlZyvF2P4eZlw%3d",94,5.22462998848085
"17","Fieldston (Fieldston Eagles)",2,0,"High School","Boys","Bronx","NY","/teams/events/Eventteam/?TeamId=OewMwUqO5kzkKXLmgks5t2i%2byqDhkUomE7naUzvpEHc%3d",102,4.48967145097626
"18","Center Grove High School (Trojans (A))",16,0,"High School","Boys","Greenwood","IN","/teams/events/Eventteam/?TeamId=JG73HX%2bCEkSx5gYrdnvM1xriaWnGcv5%2f4Rbl%2fGzrCFs%3d",48,4.00679041663845
"19","Lakeville North High School (LUDA)",3,4,"High School","Boys","Lakeville","MN","/teams/events/Eventteam/?TeamId=Xr4BwLvjR6q1aCvb7CWgDxm6qMlCqaZNST88eFCrt%2bw%3d",157,3.93276975910191
"20","Pacific Collegiate School (Pacific Collegiate School (PCS))",2,0,"High School","Boys","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=PLMAiFXQR2Mc32i3pzZ6sqmrMwC1XUKBhlosd0F4F1Q%3d",225,3.63636363636364
"21","Chapel Hill High School (Chapel Hill Ultimate Frisbee)",12,4,"High School","Boys","Chapel HIll","NC","/teams/events/Eventteam/?TeamId=H%2bqkumwX7B2xYtUfWDLrNPKQMLl%2bJtiwiNSinnKQLr4%3d",54,3.37833787936438
"22","Apple Valley High School (Eagles)",2,3,"High School","Boys","Apple Valley","MN","/teams/events/Eventteam/?TeamId=kcjovJm9xFmwbKUXUVnuncSMb%2fj6vs3tXNY80eFijvw%3d",7,3.21506471599993
"23","St. Louis Park (Orange Crush)",2,3,"High School","Boys","St. Louis Park","MN","/teams/events/Eventteam/?TeamId=1hMuppMfGEKOwijaATeBTwPL0YzS5ttfAGAlHRi%2bjeI%3d",265,2.69504617541202
"24","Eden Prairie High School (Eagles)",3,0,"High School","Boys","Eden Prairie","MN","/teams/events/Eventteam/?TeamId=8nOjCqAqyBjYPzx9UoKLb2%2fzwfiHaaLZe2tYEfRdsUA%3d",91,2.65262094269721
"25","Middletown High (Firestarters)",4,0,"High School","Boys","Middletown","CT","/teams/events/Eventteam/?TeamId=qJhCSLOgUFYA%2buKneySk%2b%2byQmvghCsjUQp2PdWrhMhE%3d",192,2.58722069776559
"26","Cooper High School (Wrenchbeaters)",5,5,"High School","Boys","New Hope","MN","/teams/events/Eventteam/?TeamId=u1sMaEmnD%2fdNF7NgW5XKWDUwc6QTOhX%2fZwMxNFPX2QA%3d",67,2.36876747366211
"27","Watchung Hills (Warriors)",5,1,"High School","Boys","Warren","NJ","/teams/events/Eventteam/?TeamId=%2fli28EprJ1V7kYJhP25tVBJmNZDIw8o80mGKiJkpvdM%3d",293,2.36132970413884
"28","Como Park Senior High (CAU)",2,6,"High School","Boys","Saint Paul","MN","/teams/events/Eventteam/?TeamId=6wCIqp3LgPENglZIq%2f46p4BWWg0UiwkeuEWVYZEOdBs%3d",66,2.31622016904963
