"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","North Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","19","1","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",36.6734159422045
"2","Massachusetts","College","Men","Division I","New England","South New England DI","5","2","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",29.3784093266944
"3","Pittsburgh","College","Men","Division I","Ohio Valley","West Penn DI","14","1","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",25.5202785207892
"4","Carleton College","College","Men","Division I","North Central","Northwoods DI","11","4","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",20.6595270119991
"5","Oregon","College","Men","Division I","Northwest","Cascadia DI","16","3","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",19.4161707153996
"6","Minnesota","College","Men","Division I","North Central","Northwoods DI","12","3","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",17.4007108518189
"7","Wisconsin","College","Men","Division I","North Central","Lake Superior DI","8","7","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",13.2216318732924
"8","Colorado","College","Men","Division I","South Central","Rocky Mountain DI","11","1","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",13.2148911427285
"9","Cal Poly-SLO","College","Men","Division I","Southwest","SoCal DI","14","7","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",11.6500866308537
"10","Brigham Young","College","Men","Division I","Northwest","Big Sky DI","18","6","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",10.3403638717249
"11","Franciscan","College","Men","Division III","Ohio Valley","Ohio DIII","12","0","/teams/events/Eventteam/?TeamId=2CG0W5AyqCIKg59Z88pq7v0HTQTk1%2bI%2fOgRAenSAIaM%3d",10.1003238138835
"12","North Carolina-Wilmington","College","Men","Division I","Atlantic Coast","Carolina DI","12","2","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",9.2628769561268
"13","Michigan","College","Men","Division I","Great Lakes","Michigan DI","12","2","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",9.13156019898806
"14","North Carolina State","College","Men","Division I","Atlantic Coast","Carolina DI","17","3","/teams/events/Eventteam/?TeamId=p1F2WSKSvCBiLVuHNC74p5lbXlbe6nY%2fXKbZZ3fH2Ls%3d",9.08642306027328
"15","Stanford","College","Men","Division I","Southwest","NorCal DI","10","4","/teams/events/Eventteam/?TeamId=GF3P5U1mOM9XI4LJr%2bd0K9pTOWqGL2sh5hg2ANzKsJQ%3d",7.92679178076014
"16","Washington","College","Men","Division I","Northwest","Cascadia DI","15","8","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",7.66314381834115
"17","Georgia","College","Men","Division I","Southeast","Southern Appalachian DI","10","3","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",7.64898816294286
"18","Central Florida","College","Men","Division I","Southeast","Florida DI","16","7","/teams/events/Eventteam/?TeamId=bRUy5IJ2D7vkDhVw1uWDjAYV%2foM1Oed%2bDTLmfKTSlxg%3d",7.24056182292744
"19","Colorado State","College","Men","Division I","South Central","Rocky Mountain DI","11","5","/teams/events/Eventteam/?TeamId=p0aJHW8jJAKNh4%2fbu2WxWU8fx8OcpcUaF5174PtoigM%3d",6.8943470384408
"20","British Columbia","College","Men","Division I","Northwest","Cascadia DI","13","7","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",6.10268045933256
"21","Auburn","College","Men","Division I","Southeast","Gulf Coast DI","10","11","/teams/events/Eventteam/?TeamId=t9l5eJtNdev%2bjDQ9ssYoEi9Otfbn4IeepbeItME4Lrs%3d",5.97501019888538
"22","Florida","College","Men","Division I","Southeast","Florida DI","21","8","/teams/events/Eventteam/?TeamId=p6Oa%2fO5c4opxvVr%2bnt556ig40ZsdI4NLAfq5Oc1NiUc%3d",5.78878373818538
"23","Oregon State","College","Men","Division I","Northwest","Cascadia DI","21","11","/teams/events/Eventteam/?TeamId=KK9IlE32pAzCH4xAy%2bN2lJKVus6hjjCV%2bu8zX4bboVs%3d",4.93427392069384
"24","Purdue","College","Men","Division I","Great Lakes","East Plains DI","13","1","/teams/events/Eventteam/?TeamId=8XhkSNmN63ufgVWOWT6OLqvw9O3kfk5v59B4fOD%2fJ4o%3d",4.41645129482039
"25","Florida State","College","Men","Division I","Southeast","Florida DI","9","7","/teams/events/Eventteam/?TeamId=Jjdh%2fXtnfhVHWcjlZqdfm3BtjB50AjaNgx%2frE6YoiSE%3d",4.11275932750739
"26","Connecticut","College","Men","Division I","Metro East","Hudson Valley DI","8","9","/teams/events/Eventteam/?TeamId=YYnZYOyp3grP1GuSgf90imP3KKBYrG6C3NUoIhxf65k%3d",3.87274081003043
"27","James Madison","College","Men","Division I","Atlantic Coast","Virginia DI","14","4","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",3.71493582541954
"28","Virginia","College","Men","Division I","Atlantic Coast","Virginia DI","14","1","/teams/events/Eventteam/?TeamId=DJE01suwRGBprWcMy3TCAdenbIvzWGYPXgPwAqYowhM%3d",3.71245251357637
"29","California-Santa Barbara","College","Men","Division I","Southwest","SoCal DI","14","13","/teams/events/Eventteam/?TeamId=nelFhkhjgGclVCvGljw%2fHnNM7puXeb56ng695eGpy6E%3d",3.62018346433815
"30","Texas A&M","College","Men","Division I","South Central","South Texas DI","10","7","/teams/events/Eventteam/?TeamId=ccEBsqjDHLttzd5CiUTrJB68eTa8BXzfbxueOSSJUko%3d",3.27337257569556
"31","Case Western Reserve","College","Men","Division I","Ohio Valley","Ohio DI","10","4","/teams/events/Eventteam/?TeamId=rM4XY89tFm7AEQ3s7Cm87hmWl3Oe2j2OTZ3I49m3rMc%3d",3.24885466952513
"32","Cincinnati","College","Men","Division I","Ohio Valley","Ohio DI","10","5","/teams/events/Eventteam/?TeamId=DGe1rZIRMlgiShbKCDcbv5dp6NL7vaFtP6tDaHA%2b6eg%3d",3.218218548059
"33","Northwestern","College","Men","Division I","Great Lakes","Illinois DI","19","5","/teams/events/Eventteam/?TeamId=I7w9UnRYFw%2bulHgTHFCq4Wyc0AIJlBkWnpb9xdW%2biMU%3d",3.13000918747319
"34","Western Washington","College","Men","Division I","Northwest","Cascadia DI","9","10","/teams/events/Eventteam/?TeamId=r99p1qS7iNIEJUMtdY0NgnagZ4FMrsONyU0TMH%2bKRa0%3d",3.09584744769871
