"Rank","Team","Wins","Losses","Rating","City","State"
1,"Brute Squad",11,2,16.4454140725663,"Boston","MA"
2,"Molly Brown",11,2,16.2937567950446,"Denver/Boulder","CO"
3,"Seattle Riot",17,3,12.9494730663141,"Seattle","WA"
4,"Club Deportivo Revolution",5,2,8.8159576683796,"Medellin","Colombia"
5,"Fury",9,4,7.89995361228839,"San Francisco","CA"
6,"Scandal",16,5,4.12219892978215,"Washington","DC"
7,"Traffic",3,4,3.76003748758569,"Vancouver","BC"
8,"MUD",2,5,3.46714470816787,"Edogawa-ku","Tokyo"
9,"Showdown",4,9,2.00408211690995,"Texas City","TX"
10,"Heist",6,7,1.30359545922701,"Madison","WI"
11,"Ozone",9,3,1.20762919104789,"Atlanta","GA"
12,"Nightlock",8,7,1.13019052504291,"Bay Area","CA"
13,"Underground",9,5,1.03803956865593,"Seattle","WA"
14,"Schwa",6,8,0.943097423814266,"Portland","OR"
15,"Siege",13,6,0.660880629138952,"Boston","MA"
16,"6ixers",11,3,0.520924030546222,"Toronto","Ontario"
17,"Rival",9,3,0.516057543297874,"Columbus/Ann Arbor","OH"
18,"LOL",7,4,0.405347661907823,"Oakland","CA"
19,"Pop",7,5,0.403116845797557,"Minneapolis","MN"
20,"Iceni",0,7,0.323110027846738,"London","SW4 8QW"
21,"BENT",5,7,0.218507865487809,"New York","NY"
22,"Nemesis",9,6,0.172092806369826,"Chicago","IL"
23,"Wildfire",4,9,0.159468286548842,"San Diego","CA"
24,"Hot Metal",11,9,0.120817232804472,"Pittsburgh","PA"
25,"uno",2,5,0.107703342615579,"Toyota","Aichi"
26,"Wicked",11,0,0.106970963833719,"Kansas City","KS"
27,"Sneaky House Hippos",2,6,0.105445811195896,"Vancouver","British Columbia"
28,"Elevate",10,5,0.0831622879603963,"Salt Lake City","UT"
29,"Green",13,0,0.0634282915532863,"Philadelphia","PA"
30,"Iris",10,3,0.0567208622737817,"Québec","Quebec"
31,"FAB",8,3,0.0539057425242041,"Bay Area","CA"
32,"Venus",3,4,0.0520338899981267,"Montreal","Quebec"
33,"Phoenix",9,2,0.0513799671280535,"Durham","NC"
34,"Grit",9,6,0.0500695811740437,"Washington","DC"
35,"Viva",4,14,0.038293112238521,"Los Angeles","CA"
36,"Fusion",3,4,0.0302188140368702,"Winnipeg","Manitoba"
37,"Salty",3,4,0.0236134200724527,"Halifax","Nova scotia"
38,"Dish",8,4,0.0228139166633141,"Chicago","IL"
39,"Deadly Viper Assassination Squad",3,8,0.0222228991401417,"Oakland","CA"
40,"Notorious C.L.E.",8,11,0.0211375652280106,"Cleveland","OH"
41,"PPF",4,3,0.0170322661584195,"Kitchener-Waterloo","Ontario"
42,"Colorado Small Batch",7,4,0.01526138500289,"Denver","CO"
43,"Portland Ivy",4,3,0.0150285329980908,"Portland","OR"
44,"Virginia Rebellion",8,11,0.0110089833036835,"Richmond","VA"
45,"Seattle Soul",4,3,0.00943101631977198,"Seattle","WA"
46,"Phoenix Uprising",4,2,0.00889019438882388,"Phoenix","AZ"
47,"Zephyr",2,5,0.0088576778422505,"Vancouver","British Columbia"
48,"Stella",4,3,0.00830781037672782,"Ottawa","Ontario"
49,"Indy Rogue",11,7,0.00829931263606934,"Indianapolis","IN"
50,"Pine Baroness",10,11,0.0074478528064848,"Princeton","NJ"
51,"Steel",16,10,0.00704271347512026,"Birmingham","AL"
52,"Seattle Beat",3,4,0.00674453014624257,"Seattle","WA"
53,"Tempo",1,3,0.00616379457288593,"Bay Area","CA"
54,"Tabby Rosa",15,5,0.00570791174831202,"Gainesville","FL"
55,"Maeve",5,9,0.00470999832969758,"Dallas","TX"
56,"Jackwagon",3,3,0.00439004858342272,"Boulder/Denver","CO"
57,"Vice",9,8,0.00362811837597137,"Cambridge","MA"
58,"Backhanded",5,14,0.00333195326038112,"Baltimore/Washington","DC"
59,"Further",2,5,0.0032800102803832,"Eugene","OR"
60,"Sureshot",8,5,0.0032449087693079,"Cincinnati","OH"
61,"Outbreak",10,3,0.00296537419145735,"Atlanta","GA"
62,"fiasco",12,7,0.00261900825585464,"Miami","FL"
63,"Queen Cake",8,7,0.0017121591229171,"New Orleans","LA"
64,"Suffrage",11,8,0.0015146698562181,"Washington","DC"
65,"Wendigo",0,7,0.00148261414436425,"Vancouver","British Columbia"
66,"Storm",3,4,0.00145996920234746,"Montreal","Quebec"
67,"Brooklyn Book Club",12,6,0.00137408451152862,"Brooklyn","NY"
68,"Monsoon Ultimate",2,3,0.000859135702065936,"Flagstaff","AZ"
69,"Jinx",8,2,0.000855777547046408,"Portland","ME"
70,"Venom",1,5,0.000793728588099482,"Tucson","AZ"
71,"Boomslang",7,8,0.000706400826852715,"Albany","NY"
72,"Encore",3,10,0.000661671292863354,"Nashville","TN"
73,"Broad City",9,11,0.000532557367388962,"Philadelphia","PA"
74,"Sparks",7,5,0.000433287577997016,"Cincinnati","OH"
75,"Helix",8,5,0.000398195761844612,"Chicago","IL"
76,"Trainwreck",1,4,0.000379291940970377,"Fort Collins","CO"
77,"Inferno",1,7,0.000345924774869313,"Houston","TX"
78,"Independence",4,9,0.00027527487920957,"Philadelphia","PA"
79,"Mystik",4,3,0.000221689396032808,"Montréal","Québec"
80,"Lockdown",2,7,0.000207750698567948,"Madison","WI"
81,"Salt City Spirit",5,8,0.000172215730367356,"Syracuse","NY"
82,"EXO",3,4,0.000164578474245169,"Sherbrooke","Québec"
83,"Rogue",3,9,0.000163368683692812,"Chapel Hill","NC"
84,"Hoax",4,14,0.000120715312388946,"Charleston","SC"
85,"MystiKuE",3,3,0.000109692544109325,"Milwaukee","WI"
86,"Baywatch",2,11,0.000101386751759605,"New Britain","CT"
87,"Honey Pot",3,16,5.26021619257827e-05,"Chattanooga","TN"
88,"Crackle",2,3,4.21503210711466e-05,"Minneapolis","MN"
89,"Roc Paper Scissors",2,5,3.79029829296176e-05,"Rochester","NY"
90,"Snap",3,2,3.75265040911052e-05,"Minneapolis","MN"
91,"HOPE",1,6,1.19289375333162e-05,"Providence","RI"
92,"Dinosaur",0,12,8.30609059805557e-06,"New York","NY"
93,"Orbit",0,7,5.41947391126633e-06,"Atlanta","GA"
94,"Frenzy",2,9,2.48890729179562e-06,"Chicago","IL"
95,"Autonomous",1,11,3.15717626866252e-07,"Ann Arbor/Detroit","MI"
96,"Filthy Gorgeous",1,5,1.46201547210372e-07,"Saint Louis","MO"
97,"Clemson (Tiger Alumni)",0,0,0,"Clemson","SC"
97,"Huck the Patriarchy",5,2,0,"Seattle","WA"
97,"PLU Alum",0,0,0,"Tacoma","WA"
97,"Temptress",0,2,0,"Dallas","TX"
