"Rank","Team","Wins","Losses","Rating","City","State"
1,"Slow White",16,4,22.4288596381068,"Boston","MA"
2,"Toro",7,0,21.4726656256276,"Durham","NC"
3,"Wild Card",14,0,17.2742770851577,"Boston","MA"
4,"AMP",5,2,14.5232464807052,"Philadelphia","PA"
5,"Seattle Mixtape",4,2,13.2142882633684,"Seattle","WA"
6,"BFG",5,2,10.6345029868915,"Seattle","WA"
7,"Mischief",7,0,8.33028446332251,"San Francisco Bay Area","CA"
8,"Drag'n Thrust",4,2,6.74762315803256,"Minneapolis","MN"
9,"Blackbird",8,5,6.24081943789877,"San Francisco","CA"
10,"Polar Bears",6,1,6.14312970155386,"Berkeley","CA"
11,"shame.",10,3,5.76522936945176,"Fort Collins","CO"
12,"The Administrators",4,0,5.27498585464695,"Willamette Valley","OR"
13,"Steamboat",4,3,4.07309962801215,"Cincinnati","OH"
14,"Columbus Cocktails",8,0,3.84355145297775,"Columbus","OH"
15,"Love Tractor",8,4,3.60360045714527,"Denver","CO"
16,"BoyShe",10,5,2.75235646472876,"Boise","ID"
17,"7 Figures",4,3,2.74668383414574,"Los Angeles","CA"
18,"Minnesota Star Power",7,0,2.70069410799604,"Minneapolis/ St. Paul","MN"
19,"Snake Country Bromance",5,1,2.47202630907838,"SOMERVILLE","MA"
20,"Birdfruit",7,1,2.16064634011583,"Seattle","WA"
21,"Public Enemy",3,6,2.15902579870191,"Dallas/Fort Worth","TX"
22,"XIST",12,1,2.15291885738301,"New York","NY"
23,"NOISE",3,3,2.07508136507419,"Madison","WI"
24,"Method",12,1,1.96186485470488,"Huntsville","AL"
25,"The Chad Larson Experience",3,3,1.93711273759538,"Ames","IA"
26,"Charlotte Storm",6,1,1.91048172984743,"Charlotte","NC"
27,"Toast",7,1,1.83037810388248,"Grand Rapids","MI"
28,"Jared Lorenzen Project",11,2,1.78365616432882,"Atlanta","GA"
29,"tHUMP",2,1,1.59952536339365,"Houston","TX"
30,"Ambiguous Grey",3,3,1.56801771248734,"Washington","DC"
31,"Metro North",5,2,1.45732345061052,"Mianus","CT"
32,"Battleship",13,8,1.4299618318191,"St-Jean-sur-Richelieu","Quebec"
33,"G-Unit",2,4,1.38660530552277,"Gainesville","FL"
34,"Hybrid",12,3,1.3783139883605,"Ann Arbor","MI"
35,"Bozos",9,6,1.34595723772164,"Bozeman","MT"
36,"Northern Comfort",11,4,1.30662138001235,"Milwaukee","WI"
