"Rank","Team","Wins","Losses","Rating","City","State"
114,"Unlimited Swipes",13,15,0.205483512391134,"New York","NY"
115,"Enough Monkeys",7,10,0.205045915840804,"Hartford","VT"
116,"AC Bandits",17,9,0.193704271586916,"Oakland","CA"
117,"VIP Club",6,7,0.189899244418275,"Quebec","QC"
118,"Buckwild",5,9,0.182632325457646,"Sacramento","CA"
119,"Lovebomb",4,4,0.181565433298204,"Ben Avon","PA"
120,"Dixon Melons",6,4,0.18156081123544,"Missoula","MT"
121,"Mutiny",18,14,0.171640792269249,"St. Petersburg","FL"
122,"Thanksgiving",4,1,0.171305485309379,"Bozeman","MT"
123,"panIC",11,14,0.164058027059385,"Iowa City","IA"
124,"Sir Walter Rowdy",13,7,0.162800344405714,"Raleigh","NC"
125,"Asylum",14,15,0.155688191419479,"Athens","OH"
126,"LoveShack",17,14,0.155304368465336,"Atlanta","GA"
127,"Tex Mix",12,17,0.155207705211871,"Dallas","TX"
128,"Blitzkrieg",8,14,0.152866728784217,"Kansas City","MO"
129,"Mad Udderburn",17,19,0.151421230515428,"Madison","WI"
130,"Instant Karma",11,9,0.149783851768445,"Tucson","AZ"
131,"Freetail",12,12,0.149551131449859,"San Antonio","TX"
132,"Mental Toss Flycoons",6,10,0.149092765301182,"Missoula","MT"
133,"Friday Night Couch",12,13,0.147712836354092,"Seattle","WA"
134,"Sabotage",9,12,0.147432233196575,"Philadelphia","PA"
135,"TAU",10,4,0.145454975768272,"Winston Salem","NC"
136,"The Bandits",11,10,0.142959750300708,"Montclair","NJ"
137,"Lawn Patrol",6,10,0.141785261084399,"San Jose","CA"
138,"Scarecrow",12,21,0.141070340163679,"Manchester","NH"
139,"Garbage",4,8,0.14094267273645,"Seattle","WA"
140,"Fable",6,11,0.140295949352602,"Vancouver","BC"
141,"Tyrannis",14,16,0.13548454859131,"Charlottesville","VA"
142,"Impact",11,9,0.133738574558458,"Wichita","KS"
143,"Trash Pandas",12,15,0.123931253430008,"Nashville","TN"
144,"Misfits",5,6,0.122088666859347,"Spokane","WA"
145,"The Hucking Dead",16,19,0.115863583519878,"Jacksonville","FL"
146,"Legion",14,13,0.11472352197459,"Lynchburg","VA"
147,"Superstition",11,18,0.111640353063539,"Phoenix","AZ"
148,"LORD",15,18,0.110780983645404,"Fairfax","VA"
149,"Chef Curry with the Pot",7,7,0.106580292462529,"Arlington","VA"
150,"Guns for Hire",3,3,0.106434356349737,"Missoula","MT"
151,"DTH",9,9,0.105802273347258,"Cambridge","MA"
152,"Coalition Ultimate",12,10,0.103241787425513,"Minneapolis","MN"
153,"Los  Heros",16,21,0.0987837357898328,"Bloomington","IN"
154,"Crush",9,10,0.0976659122966283,"Knoxville","TN"
155,"Dead Reckoning",7,10,0.0970183139243171,"Portland","ME"
156,"Makeshift Returns",5,1,0.0953680268760867,"Portland","OR"
157,"Free Ride",10,12,0.094617839309186,"Columbia","MO"
