"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"1","Dartmouth (Princess Layout)","College","Women","Hanover","NH","/teams/events/Eventteam/?TeamId=s2pJzp1wlZs%2bfgmrOUsauS5A%2fMrza%2fVEmaABKaLYzrU%3d",1,"Dartmouth",2422,"Division I","New England","Greater New England DI",24,1,76,41.7581493036779
"2","California-San Diego (UCSD Psychos)","College","Women","San Diego","CA","/teams/events/Eventteam/?TeamId=xLtWXDgcqzI7ElWagO17%2fnP8Wftlrzz2eEfN0605%2b1o%3d",3,"California-San Diego",2298,"Division I","Southwest","SoCal DI",36,3,40,31.3208389010223
"3","Stanford (Stanford (Superfly))","College","Women","Stanford","CA","/teams/events/Eventteam/?TeamId=ETfahSqoAzuGkVqAera1vgNRjOicZTHBjtaK%2f7C4XT0%3d",4,"Stanford",2236,"Division I","Southwest","NorCal DI",35,4,240,30.3915603015727
"4","Oregon (Fugue)","College","Women","Eugene","OR","/teams/events/Eventteam/?TeamId=XQGrhrMbCrlj%2b%2b1XZYct1wLj3CsFuhCetohaJgfEvak%3d",6,"Oregon",2185,"Division I","Northwest","Cascadia DI",31,7,199,15.5878219312655
"5","Ohio State (Fever)","College","Women","Columbus","OH","/teams/events/Eventteam/?TeamId=FDwjrI5f0e0bPkjRfbH0DVpM%2f0rIXRsWLZz41vXiJdQ%3d",10,"Ohio State",2024,"Division I","Ohio Valley","Ohio DI",27,10,196,9.93747535222865
"6","North Carolina (Pleiades)","College","Women","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=YB1g8vf2ouvmhW2b4OaPOwfj9stVYD7L2k7uvyY8MNQ%3d",2,"North Carolina",2303,"Division I","Atlantic Coast","Carolina DI",24,5,175,8.2971085614246
"7","Texas (Melee)","College","Women","Austin","TX","/teams/events/Eventteam/?TeamId=%2fk6p3Vw0Atz5f7fsGC7e%2f2pJmKIiYqpxPvB5p%2fihfp4%3d",7,"Texas",2075,"Division I","South Central","Texas DI",24,8,259,7.94176424018727
"8","British Columbia (Thunderbirds)","College","Women","Vancouver","British Columbia","/teams/events/Eventteam/?TeamId=ZVacjy64JWQSFeZhEB5E2tprXmUGQZvBrxLUwFOTF8o%3d",5,"British Columbia",2207,"Division I","Northwest","Cascadia DI",19,5,29,7.14223788615885
"9","Carleton College (Syzygy)","College","Women","Northfield","MN","/teams/events/Eventteam/?TeamId=mPwnnjRKbcHZeV8leVx1uCQvUiMbqck03kaJENRa1hQ%3d",11,"Carleton College",2015,"Division I","North Central","Western North Central DI",25,7,46,6.68317276397142
"10","Colorado (Kali)","College","Women","Boulder","CO","/teams/events/Eventteam/?TeamId=s1AGQ80ZA7wpTnuCNAdwRXxHU1ezxut8E7cFvWZAJTk%3d",12,"Colorado",1996,"Division I","South Central","Rocky Mountain DI",25,6,66,6.38812064266297
"11","Tufts (EWO (Elephant Women))","College","Women","Somerville","MA","/teams/events/Eventteam/?TeamId=kXBmtrUl9Ak%2bVzgFYoKQyKpU3QXFG2gfDR%2fyOwzKPTk%3d",8,"Tufts",2065,"Division I","New England","Metro Boston DI",21,7,268,4.93531736567983
"12","Western Washington (Chaos)","College","Women","Bellingham","WA","/teams/events/Eventteam/?TeamId=vzOTHIrZCacI6B%2f%2b2j7MfcznS2x13jf%2b9%2f1uL6pMat8%3d",14,"Western Washington",1951,"Division I","Northwest","Cascadia DI",19,15,300,4.46509415078089
"13","Pittsburgh (Danger)","College","Women","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=5LEuUPaInFSQoYbj6d1KXIWFvSK4Z4%2bifOaszIrFutg%3d",9,"Pittsburgh",2049,"Division I","Ohio Valley","Pennsylvania DI",15,7,208,4.24295260247819
"14","California-Santa Barbara (Burning Skirts)","College","Women","Goleta","CA","/teams/events/Eventteam/?TeamId=Ct2RVnTTtFilz5yN7ZApgvxotQ5ZhGNgODe6VOjkVzw%3d",17,"California-Santa Barbara",1887,"Division I","Southwest","SoCal DI",32,12,41,4.19885144830151
"15","Clemson (Tigerlilies)","College","Women","Clemson","SC","/teams/events/Eventteam/?TeamId=iBEyxrqHq%2bhvs9PV44ZwBA4CWW3WcFkiySXoODn5lM0%3d",26,"Clemson",1698,"Division I","Atlantic Coast","Carolina DI",24,6,61,3.91955191357322
"16","North Carolina-Wilmington (Seaweed)","College","Women","Wilmington","NC","/teams/events/Eventteam/?TeamId=y8JA1wMRyVVroAv%2b%2bLvtp97FZTsIJduas63rbPQwilc%3d",43,"North Carolina-Wilmington",1476,"Division I","Atlantic Coast","Carolina DI",27,16,174,3.59238439735489
"17","North Carolina State (Jaga Monsta)","College","Women","Raleigh","NC","/teams/events/Eventteam/?TeamId=oJT6%2bwnM%2bSFOkpKXEbBYsHPY%2fahgY6ZXf%2f8KXMPz%2beo%3d",16,"North Carolina State",1921,"Division I","Atlantic Coast","Carolina DI",22,10,176,3.58845409563178
"18","West Chester (West Chester)","College","Women","West Chester","PA","/teams/events/Eventteam/?TeamId=YkxpSIMOz3RSnBYGynsPSmTxTB9i41YZfIL4x9MCcvk%3d",13,"West Chester",1987,"Division I","Ohio Valley","Pennsylvania DI",14,7,297,3.24215657732645
"19","Case Western Reserve (Fighting Gobies)","College","Women","Cleveland","OH","/teams/events/Eventteam/?TeamId=qJk1Bpe26cqm3rV58DpuyZ7JAfDIXuDDQXh%2bS1o8RkU%3d",39,"Case Western Reserve",1525,"Division I","Ohio Valley","Ohio DI",19,9,49,3.15144365804614
"20","Michigan (Flywheel)","College","Women","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=65yMBxLhl8ty9wPOGpZWS49iTbnUcggz0jCJxTQSMRk%3d",19,"Michigan",1832,"Division I","Great Lakes","Eastern Great Lakes DI",22,14,153,3.00687279128981
"21","Bates (Cold Front)","College","Women","Lewiston","ME","/teams/events/Eventteam/?TeamId=KKNL1v%2bnyo3aDo7R7vmgSIDaGKW3yGIkjrv%2fCKtbTQc%3d",38,"Bates",1567,"Division III","New England","North New England DIII",18,2,17,2.87675803818197
"22","Brigham Young (CHI)","College","Women","Orem","UT","/teams/events/Eventteam/?TeamId=Hrm%2bqsoq7rPI%2fklMNiR%2bx287qI0OZFCZrG05Fyn9zlg%3d",18,"Brigham Young",1876,"Division I","Northwest","Big Sky DI",15,6,28,2.76432752250206
"23","Minnesota (Ninjas)","College","Women","Minneapolis","MN","/teams/events/Eventteam/?TeamId=9NcSTV6KUZ9BbOryjJfszGsb406bgfK%2bj%2bDJPA3sVd8%3d",25,"Minnesota",1710,"Division I","North Central","Western North Central DI",17,9,157,2.66593693052808
"24","Auburn (Ares)","College","Women","Auburn","AL","/teams/events/Eventteam/?TeamId=wt0UeqrxXZ8%2fLU7aYMtnGcltEwMMsVFG4LEzfHQ4t2M%3d",29,"Auburn",1674,"Division I","Southeast","Gulf Coast DI",18,2,15,2.54692359460337
"25","Boston University (Ozone Pilots)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=Q1LOPS5P9FYXF9%2fm10DezJuWWAeh%2fwXrmXtqV6h6szk%3d",74,"Boston University",1219,"Division I","New England","Metro Boston DI",13,12,25,2.4975051094663
"26","Colorado College (Lysistrata's Tools)","College","Women","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=ClDrNUbgOTQyqeA4kiVoW71oAp%2fKeV6fsYEUVdNZsyg%3d",30,"Colorado College",1657,"Division I","South Central","Rocky Mountain DI",17,18,67,2.28339884465685
"27","UCLA (BLU)","College","Women","Los Angeles","CA","/teams/events/Eventteam/?TeamId=kUgLE3mIoXAmWWaTAHqR8xMJaYhIYwFAB0uFcYV%2f4HM%3d",31,"UCLA",1638,"Division I","Southwest","SoCal DI",17,23,272,2.17235334245127
"28","Vermont  (Ruckus)","College","Women","Burlington","VT","/teams/events/Eventteam/?TeamId=pSIjyN%2fuBxJpMAzK5dcW%2b9b7sVnWIDzJJo8DmT3pzrU%3d",20,"Vermont",1763,"Division I","New England","Greater New England DI",19,12,281,2.08766506947746
"29","Connecticut (UConn Huskies)","College","Women","Storrs","CT","/teams/events/Eventteam/?TeamId=a3aOtdkddWlAySFOtBEnc%2bY9bcyDHom6tEP%2fW31yaDk%3d",50,"Connecticut",1428,"Division I","Metro East","Eastern Metro East DI",21,6,72,2.07393770323065
"30","Florida (FUEL)","College","Women","Gainesville","FL","/teams/events/Eventteam/?TeamId=SK3%2fhC8nPwdq4%2bm%2bPyS1zyk1OPcvtGPhkCBRul3ENoM%3d",24,"Florida",1726,"Division I","Southeast","Florida DI",22,13,91,2.06163020350322
"31","Pennsylvania (Venus)","College","Women","Philadelphia","PA","/teams/events/Eventteam/?TeamId=fYuCTQlvA2F4xvTkgQbLcBfi7MbwLf7NAwb9DH4Rd38%3d",53,"Pennsylvania",1395,"Division I","Ohio Valley","Pennsylvania DI",13,13,206,2.02174539320073
"32","Notre Dame (Womb)","College","Women","Notre Dame","IN","/teams/events/Eventteam/?TeamId=mXUS3qOIB9C7eylTjNoUcOCBKPkiyVLw6IvoFjiZAP8%3d",34,"Notre Dame",1601,"Division I","Great Lakes","Eastern Great Lakes DI",19,8,188,1.98787766244914
"33","Georgia (Athena)","College","Women","Athens","GA","/teams/events/Eventteam/?TeamId=Q2a7P60FX%2bKaT7GDauEcYa3hlChh%2bQfNf653oaggwFg%3d",41,"Georgia",1498,"Division I","Southeast","Southern Appalachian DI",22,15,99,1.82594597984916
"34","California (Pie Queens)","College","Women","Berkeley","CA","/teams/events/Eventteam/?TeamId=s2zfA8B1svD4rXVagr1UXPvR%2bki%2fnMiHJF3fovjOTyo%3d",28,"California",1678,"Division I","Southwest","NorCal DI",21,19,43,1.8203365386386
"35","Amherst (Sparkle Motion)","College","Women","Amherst","MA","/teams/events/Eventteam/?TeamId=wHAYcE%2fVDCVmJ%2fjkNh%2ba3N5HEA36PPEoNbUlPvbOGlo%3d",64,"Amherst",1277,"Division III","New England","South New England DIII",13,7,9,1.7747586514855
"36","Georgia Tech (Wreck A)","College","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=NnPi4YF%2b7x%2b1e0%2fDEqm%2bN8twHOy9ywC7urEJfO0efyk%3d",33,"Georgia Tech",1613,"Division I","Southeast","Southern Appalachian DI",18,9,104,1.76031491729052
"37","Washington University (Iron Horse)","College","Women","St. Louis","MO","/teams/events/Eventteam/?TeamId=sgGvHmiHXhD%2bPjP5iy8mDoZBWkAjVX5I9vLfagITN5c%3d",21,"Washington University",1730,"Division I","South Central","Ozarks DI",21,11,292,1.74933766635435
"38","Kansas (Betty Ultimate)","College","Women","Lawrence","KS","/teams/events/Eventteam/?TeamId=AOoNrYeUAQBsccQWg5dbk2oDAxcGpenQI99LqLJc0zw%3d",55,"Kansas",1386,"Division I","South Central","Ozarks DI",24,10,129,1.74453383918245
"39","Lehigh (Gravity)","College","Women","Bethlehem","PA","/teams/events/Eventteam/?TeamId=ca46szSaHOntEKxSET7J1tUEJqBI8nkF9h1vnAD3YNg%3d",79,"Lehigh",1181,"Division III","Ohio Valley","Pennsylvania DIII",20,7,135,1.64519565561519
"40","Whitman (Whitman Sweets)","College","Women","Walla Walla","WA","/teams/events/Eventteam/?TeamId=m%2fesVM%2b25A1S%2f9Ioio%2fM4zsV46ttCT%2fSiZslXLVRaHY%3d",15,"Whitman",1928,"Division I","Northwest","Big Sky DI",12,11,302,1.59196778647533
"41","Washington (Element)","College","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=alXV%2bjRLYjHnDS02jClg7CVgK0qMytqia6ug%2ffb%2b6lg%3d",22,"Washington",1729,"Division I","Northwest","Cascadia DI",15,19,290,1.54521424703928
"42","Ottawa (GeeGees)","College","Women","Ottawa","Ontario","/teams/events/Eventteam/?TeamId=pgxZOiQm66W8ZG54a3cLaKw1Zt0tkkD9CY7XXYdqxu8%3d",56,"Ottawa",1385,"Division I","Metro East","Western NY DI",12,2,201,1.54283365799054
"43","Columbia (PANDEMIC)","College","Women","New York","NY","/teams/events/Eventteam/?TeamId=1jt%2bPlPTLhck0%2fnBufrKiuFA9CQXrqNRHjuuOosd8hk%3d",66,"Columbia",1267,"Division I","Metro East","Eastern Metro East DI",19,8,71,1.41521214044787
"44","Virginia (Hydra)","College","Women","Charlottesville","VA","/teams/events/Eventteam/?TeamId=ummWwRdKwXbWhXp1MihY07Ue0gUgcXjaHbk6Aum2pmY%3d",45,"Virginia",1472,"Division I","Atlantic Coast","Virginia DI",20,17,285,1.24770639926092
"45","Oberlin  (Preying Manti A)","College","Women","Oberlin","OH","/teams/events/Eventteam/?TeamId=xZM8TZ0%2bOEhbxgSwfSlkYjiq2tN09LN%2b6p%2fXIABiKlk%3d",60,"Oberlin",1322,"Division III","Ohio Valley","Ohio DIII",17,4,191,1.21891613507963
"46","Maryland (Helpful Corn)","College","Women","College Park","MD","/teams/events/Eventteam/?TeamId=YI%2b6pdodd4LXpZRl47pBi2DDnAUyi9VNT4Qod%2f2J4ZY%3d",80,"Maryland",1180,"Division I","Atlantic Coast","Colonial DI",21,11,147,1.21372279718063
"47","Cal Poly-SLO (SLO Motion)","College","Women","San Luis Obispo","CA","/teams/events/Eventteam/?TeamId=cGLVbixJvcH1DCsSKLqqq7bbBF2KNyfMoCOz8%2b3H6tw%3d",27,"Cal Poly-SLO",1688,"Division I","Southwest","SoCal DI",20,15,33,1.21265492639736
"48","Penn State  (Crisis)","College","Women","University Park","PA","/teams/events/Eventteam/?TeamId=RYpJPeG%2fwhSFoeus1qamTOhhuc0PTRSnjddea71ir3g%3d",51,"Penn State",1416,"Division I","Ohio Valley","Pennsylvania DI",16,12,204,1.15880883340061
"49","Princeton (Clockwork)","College","Women","Princeton","NJ","/teams/events/Eventteam/?TeamId=3OMpg7aECcolvRnl1ZIkA5ObLvWvEz3jreKLMy4M2ss%3d",114,"Princeton",972,"Division I","Metro East","Eastern Metro East DI",16,9,212,1.13930964718224
"50","Mount Holyoke (Daisy Chain)","College","Women","South Hadley","MA","/teams/events/Eventteam/?TeamId=rzsTR8nPctBI90ICIVgW%2fPrkgpeF%2fW0Vsu4hkxI27Kk%3d",72,"Mount Holyoke",1227,"Division III","New England","South New England DIII",15,5,166,1.1216578259503
"51","Northeastern (Valkyries A)","College","Women","Boston","MA","/teams/events/Eventteam/?TeamId=8zphxdc9Ir%2f%2flVB9Ah1LeixTe2MP4jLYXxac8G5t0ao%3d",23,"Northeastern",1726,"Division I","New England","Metro Boston DI",10,12,181,1.0925815694666
"52","Kennesaw State (Strix)","College","Women","Kennesaw","GA","/teams/events/Eventteam/?TeamId=FQk4fheTjmI3cuJuWbScxZkixXtH4rHDyBGK4Y%2fE6%2fc%3d",37,"Kennesaw State",1590,"Division I","Southeast","Southern Appalachian DI",17,11,131,1.08855582498918
"53","Williams (La WUFA)","College","Women","Williamstown","MA","/teams/events/Eventteam/?TeamId=Uyd9e9lWTt8JTSXOVw2EcyQ7jE806hnpnU%2bYt9uPJF8%3d",35,"Williams",1594,"Division III","New England","South New England DIII",14,7,305,1.08013960978122
"54","Massachusetts (Lady Zoo)","College","Women","Amherst","MA","/teams/events/Eventteam/?TeamId=2JY4NSL6i0YCaY3ak3ciNqWSwMgHfeOQ22W2qOXM4Ik%3d",59,"Massachusetts",1332,"Division I","New England","Greater New England DI",19,7,148,1.07398858538058
