"Rank","Team","Wins","Losses","Rating","City","State"
1,"Johnny Encore",14,2,0.512470944109423,"Denver","CO"
2,"Rest Stop",6,2,0.149953910192221,"Baltimore","MD"
3,"Voltron 2020",6,2,0.146151160448944,"Seattle","WA"
4,"Boneyard",6,1,0.142363590843889,"Raleigh-Durham","NC"
5,"Black Cans & Highlands",5,4,0.089651789595603,"Washington","DC"
6,"All Bashed Out",6,3,0.0656189376900308,"Albany ""Cap City Bang Bang""","NY"
7,"Surly",11,2,0.0626760150048566,"MINNEAPOLIS","MN"
8,"Crawl",6,3,0.0150566709071622,"Phoenix","AZ"
9,"Horse",1,1,0.00523283223836087,"New York","NY"
10,"Pacemaker",9,3,0.00210776679437693,"Chicago","IL"
11,"Get Off My Lawn",0,2,0.00137781393176299,"Burlington","VT"
12,"Beyondors",1,1,0.000937811594346592,"Santa Barbara","CA"
13,"Surly Cynic",9,6,0.000329896951525636,"Minneapolis","MN"
14,"Naptown",6,6,0.000195645571076755,"Indianapolis","IN"
15,"Young OG's",0,2,0.000134038655523697,"San Diego","CA"
16,"Geronimo",7,6,0.000100519764576059,"Dallas/Fort Worth","TX"
17,"Royal Stag",5,8,5.08513049066483e-05,"Madison","WI"
18,"Winnipeg",4,4,2.8124180380401e-05,"Winnipeg","Manitoba"
19,"Outlaw",4,9,1.6762671850193e-05,"Fayetteville","AR"
20,"Polar Vortex",2,9,1.39005144921114e-05,"Chicago","IL"
21,"Xtra Surly",0,6,1.07972527316458e-05,"Minneapolis","MN"
22,"(burnside) TIPP CITY",2,5,3.77668534977059e-06,"Portland","OR"
23,"FoG",0,5,5.74674859984609e-07,"Cincinnati","OH"
24,"s.u.r.l.y. BURNSIDE",0,2,6.77391777907694e-08,"Gresham","OR"
25,"Gravy Train Wreck",1,1,2.79097092591255e-08,"Seattle","WA"
26,"HOV Violators",1,1,1.39989542775483e-301,"Arlington","VA"
27,"Clippers",0,2,4.6663180925161e-302,"Baltimore","MD"
28,"curmudgeon",2,4,0,"Houston","TX"
28,"Mr Miyagi",0,5,0,"Arlington","TX"
28,"Woolly Mammoth",0,1,0,"Gainesville","FL"
