"Rank","Team","Wins","Losses","Rating","City","State"
1,"Boston",6,1,2.87116884148711,"Boston","MA"
2,"J2",6,2,2.25178047256249,"Seattle","WA"
3,"Sidearm",4,4,0.431685370430332,"Chicago","IL"
4,"Poachella",3,5,0.279589024290665,"Seattle","WA"
5,"Riding High West",4,4,0.150292721846214,"Multiple","AZ"
6,"Peak Bloom",0,7,0.0154835693831856,"Rockville","MD"
