"Rank","Team","Wins","Losses","Rating","City","State"
1,"Wild Card",20,0,39.739139526112,"Boston","MA"
2,"Slow White",19,4,38.70476558135,"Boston","MA"
3,"AMP",8,2,16.7857834759296,"Philadelphia","PA"
4,"Seattle Mixtape",6,3,12.0911890695726,"Seattle","WA"
5,"BFG",5,2,9.70120475021909,"Seattle","WA"
6,"Toro",11,2,6.61885567285345,"Durham","NC"
7,"Mischief",9,1,6.54156847293331,"San Francisco Bay Area","CA"
8,"Drag'n Thrust",6,3,6.46947489509331,"Minneapolis","MN"
9,"The Administrators",4,0,5.26759687857555,"Willamette Valley","OR"
10,"Metro North",7,3,4.96199224379275,"Mianus","CT"
11,"shame.",10,3,4.92126967373389,"Fort Collins","CO"
12,"Blackbird",8,5,4.80324457412012,"San Francisco","CA"
13,"Polar Bears",6,1,4.20972502461587,"Berkeley","CA"
14,"Love Tractor",8,4,3.94780338222624,"Denver","CO"
15,"Snake Country Bromance",5,1,3.77979095227427,"SOMERVILLE","MA"
16,"Steamboat",5,5,3.60751644544377,"Cincinnati","OH"
17,"XIST",12,1,3.1283134256224,"New York","NY"
18,"7 Figures",7,3,2.4713916971917,"Los Angeles","CA"
19,"Battleship",13,8,2.44252442631941,"St-Jean-sur-Richelieu","Quebec"
20,"BoyShe",10,5,2.41967918455844,"Boise","ID"
21,"NOISE",4,5,2.41014999878622,"Madison","WI"
22,"Public Enemy",3,6,2.25115989382575,"Dallas/Fort Worth","TX"
23,"The Chad Larson Experience",3,3,2.06091189898603,"Ames","IA"
24,"UNION",5,8,1.9853754645851,"Toronto","Ontario"
25,"G-Unit",2,4,1.93491252367814,"Gainesville","FL"
26,"Ambiguous Grey",3,3,1.81842285384459,"Washington","DC"
27,"Birdfruit",7,1,1.73687810642944,"Seattle","WA"
28,"Swing State",15,3,1.64185375422614,"Orlando","FL"
29,"Charlotte Storm",10,4,1.35866383567497,"Charlotte","NC"
30,"Alloy",2,4,1.26368475395277,"Pittsburgh","PA"
31,"Bozos",9,6,1.24230402361628,"Bozeman","MT"
32,"Bucket",5,1,1.1722842653282,"Atlanta","GA"
33,"Freakshow",2,0,1.16666666666667,"Newark","DE"
34,"UPA",4,2,1.08829891439789,"Chicago","IL"
35,"Jared Lorenzen Project",11,2,1.08291507758693,"Atlanta","GA"
36,"SHINSHU LOOSE-Upper",1,2,0.989229740647451,"Matsumoto","Nagano"
37,"BW Ultimate",7,6,0.923503197759388,"Sunnyvale","CA"
38,"Bang!",4,3,0.905648398235351,"West Chester","PA"
39,"Cosa Nostra",5,5,0.882953800809228,"Austin","TX"
40,"Columbus Cocktails",12,3,0.882152401649132,"Columbus","OH"
41,"No Touching!",1,5,0.869825511471283,"Twin Cities","MN"
42,"Jughandle",9,5,0.862887458889194,"Princeton","NJ"
43,"The Feminists",7,7,0.861252257699236,"New York","NY"
44,"Geekshow",0,2,0.833333333333333,"Newark","DE"
45,"Minnesota Star Power",9,4,0.790172425833966,"Minneapolis/ St. Paul","MN"
46,"Method",12,1,0.788787413547171,"Huntsville","AL"
47,"Murmur",16,4,0.763406707023497,"Athens","GA"
48,"Anchor",6,2,0.730576881206939,"Halifax","Nova Scotia"
49,"Donuts",5,2,0.538155526105217,"Bay Area","CA"
50,"Sellout",8,1,0.515809834128647,"Austin/Houston/Dallas","TX"
51,"Distelfink",5,2,0.475059553788315,"Lancaster","PA"
52,"PleasureTown",4,10,0.419062204749686,"Boston","MA"
53,"Titan NE",9,6,0.407565909898571,"Bar Harbor","ME"
54,"Cahoots",11,2,0.376167030550421,"Asheville","NC"
55,"Heartless",9,5,0.36625010334725,"Burlington","VT"
56,"Family Style",5,6,0.360314204359784,"Los Angeles","CA"
57,"Dub Club",3,4,0.358103864681912,"West Chester","PA"
58,"Hybrid",12,3,0.343068712486869,"Ann Arbor","MI"
59,"Tequila Mockingbird",8,6,0.338697300462883,"Chicago-apolis","IN"
60,"Toast",7,1,0.336942575291808,"Grand Rapids","MI"
61,"Garbage Plates",7,1,0.329911300804386,"Rochester","NY"
62,"Classy",4,3,0.325031201634321,"San Francisco","CA"
63,"American Barbecue",4,3,0.309895669845483,"San Francisco","CA"
64,"Sparkle Ponies",4,3,0.307039696417499,"Rockville","MD"
65,"Long Beach Legacy",2,1,0.303405422936183,"Long Beach","CA"
66,"Rubix",3,3,0.249287529759784,"Phoenix","AZ"
67,"Grand Army",5,10,0.234107515570149,"Brooklyn","NY"
68,"Mesteño",3,3,0.225999724264459,"Denver","CO"
69,"Ant Madness",10,4,0.218005926393883,"Arlington","VA"
70,"tHUMP",7,2,0.217598289827075,"Houston","TX"
71,"8 Bit Heroes",6,1,0.21568596012931,"Frederick","MD"
72,"Northern Comfort",11,4,0.214796156796357,"Milwaukee","WI"
73,"Clue",4,3,0.206192905414417,"Philadelphia","PA"
