"Rank","Team","Wins","Losses","Rating","City","State"
175,"CerB WerB-B",2,5,0.00167803115380612,"Athens","GA"
176,"Black Penguins Club",2,5,0.00154043176141203,"Bourbonnais","IL"
177,"Red Tide Black",1,5,0.00151171366925675,"Portland","ME"
178,"Bear Proof",2,5,0.00124054021453499,"Harrisburg","PA"
179,"Defy the Meta",0,3,0.0012232478191791,"Amherst","MA"
180,"Tyranny",2,9,0.00118550431968601,"Tampa","FL"
181,"spokane flatline",1,5,0.00115186074097756,"spokane","WA"
182,"East Rock Candy Mountain",2,11,0.00114339864525553,"New Haven","CT"
183,"Space Coast Ultimate",2,9,0.00108329535495181,"Melbourne","FL"
184,"Bomb Squad",1,9,0.00106420067260111,"Bel Air","MD"
185,"Madd Dogg",1,5,0.000913158121237054,"Provo","UT"
186,"Brawl",0,7,0.000742454872549285,"Tempe","AZ"
187,"Vicious Cycle",2,6,0.000715672840530303,"Gainesville","FL"
188,"Club M - Magma",2,10,0.000513376800780494,"Montreal","Québec"
189,"First Order",1,3,0.000324331475282194,"Roanoke","VA"
190,"Rogue Grimace",0,6,0.000229133515565961,"Evanston","IL"
191,"Gridlock",2,4,0.000169632188362597,"Los Angeles","CA"
192,"Spirit Quest",1,5,0.000128100889114069,"Salt Lake City - Salt Lake","UT"
193,"Big Sky",2,4,0.000120903496596125,"Salt Lake City","UT"
194,"""Parkland"" PLU Alumni",0,0,0,"Parkland","WA"
194,"Allen's Army",0,6,0,"Orono","ME"
194,"Black Penguins Alumni",0,0,0,"Bourbonnais","IL"
194,"Marxmen",0,5,0,"Clifton","NJ"
194,"Miami Alumni",0,0,0,"Oxford","OH"
194,"Reaper Alum",0,0,0,"Charleston","IL"
