"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"1","Revolver",21,3,"Club","Men","San Francisco","CA","/teams/events/Eventteam/?TeamId=fn46UKAFqMQu4al4CM3PRJdSxtda9UycrHYWmN22f3w%3d",240,32.5001113767451
"2","Sockeye",21,6,"Club","Men","Seattle","WA","/teams/events/Eventteam/?TeamId=nLV6BNojqM3Jln3k%2bPjf6l8JebYv7DpGw3aBieBXkWQ%3d",279,27.7986280369861
"3","Ring of Fire",23,3,"Club","Men","Raleigh","NC","/teams/events/Eventteam/?TeamId=LOeSLHPk%2f3Rvxd09lpfuSIQ%2bHRiDNk%2fHcFbSmSR6zZ8%3d",244,17.3482709291901
"4","Ironside",22,8,"Club","Men","Boston","MA","/teams/events/Eventteam/?TeamId=%2bSUfrgoltBmV2%2bdmQfg34xSS4wdzXWNVd5wZMF6P5Cg%3d",164,15.6538821375827
"5","Beach Boys USA",6,0,"Beach","Men","Lots of Cities","WA","/teams/events/Eventteam/?TeamId=XqYNM%2b4vfu0O35zQ8xab2IMPYgrWb0fmcZvyxKH3QpA%3d",20,14.4611055151357
"6","Truck Stop",20,5,"Club","Men","Washington","DC","/teams/events/Eventteam/?TeamId=GlZmN2k2HxVu0P1LIZU2Fj4uMb1C2R9DheSG6aVOGBA%3d",321,13.6672304049075
"7","HIGH FIVE",19,7,"Club","Men","Ohio","MI","/teams/events/Eventteam/?TeamId=sOVWbibsDCXnU0MbzmrKJnOZWFVnKh1rgFwbtpzIVWA%3d",149,12.139110359906
"8","Dig",24,5,"Club","Men","Boston","MA","/teams/events/Eventteam/?TeamId=Dzhy%2fP4l1AkN%2baNOOVXQIFcuTLuLT2fj6Y5JGRaE5Ks%3d",94,11.6575207472673
"9","Chicago Machine",14,10,"Club","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=FlSNdyuw316eIBmyPOnE3cq9RphUqMKedbk%2fXxp5GRI%3d",62,10.4733857444346
"10","Florida United",19,2,"Club","Men","Florida","FL","/teams/events/Eventteam/?TeamId=BMlPTy%2bPzGSPqU3zFgHcSezwdIlsj6nZeo3ivtWKN50%3d",115,8.97228731733891
