"Rank","Team","Wins","Losses","Rating","City","State"
1,"Surly",7,0,6,"MINNEAPOLIS","MN"
2,"Pacemaker",5,0,4,"Chicago","IL"
3,"Voltron 2020",1,0,3.99999999989731,"Seattle","WA"
4,"Black Cans & Highlands",2,0,2.66666666666667,"Washington","DC"
5,"Crawl",2,0,2.27272727272727,"Phoenix","AZ"
6,"All Bashed Out",2,0,2.06493506493506,"Albany ""Cap City Bang Bang""","NY"
7,"Boneyard",1,0,2,"Raleigh-Durham","NC"
8,"Rest Stop",1,1,1.33333333333333,"Baltimore","MD"
9,"Horse",1,1,0.74025974025974,"New York","NY"
10,"Beyondors",1,1,0.636363636363637,"Santa Barbara","CA"
11,"Johnny Encore",8,2,0.308138376301962,"Denver","CO"
12,"Get Off My Lawn",0,2,0.194805194805195,"Burlington","VT"
13,"Young OG's",0,2,0.0909090909090909,"San Diego","CA"
14,"(burnside) TIPP CITY",1,0,8.65649947695971e-11,"Portland","OR"
15,"s.u.r.l.y. BURNSIDE",0,2,1.13098821695668e-11,"Gresham","OR"
16,"Gravy Train Wreck",1,1,4.81647206671756e-12,"Seattle","WA"
17,"Royal Stag",4,3,5.58608147422344e-98,"Madison","WI"
18,"Surly Cynic",5,3,5.27528248811952e-98,"Minneapolis","MN"
19,"Winnipeg",4,4,2.0166838457907e-98,"Winnipeg","Manitoba"
20,"Xtra Surly",0,6,4.42680963536392e-99,"Minneapolis","MN"
21,"Naptown",4,2,5.58202837974862e-150,"Indianapolis","IN"
22,"Polar Vortex",2,4,2.07821737767938e-150,"Chicago","IL"
23,"FoG",0,5,2.30810636799794e-151,"Cincinnati","OH"
24,"Geronimo",4,2,6.40277197865643e-176,"Dallas/Fort Worth","TX"
25,"Outlaw",3,3,4.66631809251609e-301,"Fayetteville","AR"
26,"HOV Violators",1,1,1.39989542775483e-301,"Arlington","VA"
27,"Clippers",0,2,4.6663180925161e-302,"Baltimore","MD"
28,"curmudgeon",2,4,0,"Houston","TX"
28,"Mr Miyagi",0,5,0,"Arlington","TX"
28,"Woolly Mammoth",0,1,0,"Gainesville","FL"
