"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"117","Tennessee-Chattanooga (Swamp Donkeys)",24,17,"College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",679,1.25657789328604
"118","Furious George",1,5,"Club","Men","Vancouver","BC","/teams/events/Eventteam/?TeamId=%2bG16%2bOnOtJcLrQTA1UfJdUEeagqS3nhlc05DWhhbEhY%3d",252,1.25344940511346
"119","Arkansas (Ludicrous Speed )",14,13,"College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",31,1.25340158170262
"120","Georgia Southern (Eagles)",21,15,"College","Men","Statesboro, GA","GA","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",267,1.23393832428233
"121","Streetgang",5,2,"Club","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=gE95aKKb2uQtbipzEvfM5OA6Pe552C%2fZlb5ImlZH2io%3d",647,1.15326058578571
"122","Nevada-Reno (Elevation Ultimate)",22,16,"College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",442,1.10856320307748
"123","Utah State (USULT)",16,15,"College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",728,1.09919799272607
"124","Dartmouth (Pain Train)",21,20,"College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",194,1.08889198940034
"125","Chicago (Junk)",18,15,"College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",140,1.07572692634306
"126","Chico State (Chico State Wildcats)",29,11,"College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",142,1.06378891489283
"127","Victoria (Vikes)",7,15,"College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",736,1.0637759322893
"128","Boston College (Eagles)",15,7,"College","Men","Chestnut Hill","MA","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",72,1.03283555625427
"129","Madison Club",1,5,"Club","Men","Madison","WI","/teams/events/Eventteam/?TeamId=hNa%2ffB9yEdAQ3yuH0VvgCMcphqyTjvPDb88N5DAVCDw%3d",381,1.02389515417841
"130","California (California-Berkeley)",12,18,"College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",115,1.01156735596008
"131","Virginia Commonwealth (Villains)",16,9,"College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=YucFcxZeh0tCc9S8h3JiiWygq2%2f11xXnLwTtHczf6Pc%3d",740,1.00682469080737
"132","Lehigh (Lehigh )",23,13,"College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",367,0.982657902903885
"133","North Carolina-Asheville (UNC Asheville Bulldogs)",18,11,"College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",447,0.970570926667434
"134","Williams (WUFO)",25,20,"College","Men","Williamstown","MA","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",773,0.947169055873253
"135","Kennesaw State (Parliament)",23,19,"College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",354,0.937806535503757
"136","North Carolina-Charlotte (QCG)",14,15,"College","Men","Charlotte","NC","/teams/events/Eventteam/?TeamId=keqeHbr%2bVNtcjbOZdlZgzC4VJuqVqblNkrKKvVyziAc%3d",449,0.890917903282663
"137","Reckon",9,3,"Grand Masters","Men","GA/TN/etc","GA","/teams/events/Eventteam/?TeamId=1jQ1ovn%2f9R7FXC8nGIT%2fXE8AXw5RxOxwHvGwxCHh8RE%3d",533,0.869840065822402
"138","South Florida (Scallywags)",11,17,"College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",619,0.869335060059438
"139","St John's (Saint John's Ultimate)",21,8,"College","Men","Collegeville","MN","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",632,0.85396607009365
"140","Arizona State (Prime)",10,17,"College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",29,0.848484681371024
"141","San Diego State (Federalis)",16,21,"College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",580,0.838541770143662
"142","Amherst (Army of Darkness)",23,11,"College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",20,0.829909925726522
"143","Stealth",4,3,"Beach","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=aZeI%2fLcyjPwk9UsTtHAHX%2bXgg8AC83Ok%2fQWZJ1hyzsU%3d",641,0.829321488833497
"144","Kansas (Horrorzontals)",19,23,"College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",350,0.815466191942126
"145","Santa Clara (SCAB)",19,12,"College","Men","Santa Clara","CA","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",584,0.806336618119337
"146","Ohio (Ohio University)",20,10,"College","Men","Athens","OH","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",475,0.762870908144956
"147","Indiana (HoosierMama?s)",17,18,"College","Men","Bloomington","IN","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",325,0.744673283350209
"148","AND THE WARHAWKS",7,1,"Beach","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=x5kc%2b3vtMYkzLAeyPP9ssL7y9TT2UC6uuun1rfYT3ws%3d",22,0.730438990480178
"149","California-Santa Cruz (Slugs)",7,17,"College","Men","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=cfoctX7h6HnBTcJTB33HRsDBjJtFuPEwZ1Lx5PVtt80%3d",113,0.728771330658306
"150","Mad Men",10,3,"Club","Men","Madison","WI","/teams/events/Eventteam/?TeamId=qSMSWJjslpLBOlIDPqmO1szIiizo9sB1WgWkcriG7o4%3d",380,0.720326398302207
