"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"288","Heavy Flow",4,8,"Club","Mixed","Columbia","MD","/teams/events/Eventteam/?TeamId=TGPSyBTIUvlrABK0HI6hMP%2fglVmP%2frH0SmK3Ya%2b3jIU%3d",161,0.0125507073079702
"289","Jeffersonville High School  (Devils Hammer )",0,3,"High School","Mixed","Jeffersonville","IN","/teams/events/Eventteam/?TeamId=WvN1LpzSxEGFWMUw5cXEbfS6K%2fjYOeY2G4MBxfkEVRA%3d",183,0.0125194463054859
"290","Quest",2,6,"Club","Mixed","Québec","Québec","/teams/events/Eventteam/?TeamId=ba1%2bFOaEdreklusquzesoyx7OrzqzYx%2f8OIKHDrIcVc%3d",318,0.0125160496091491
"291","Wingdings",4,3,"Club","Mixed","Des Moines","IA","/teams/events/Eventteam/?TeamId=ZheA6BXyxlT5vF650nLVyGokk3gVIUy%2bghe1mPkaNW0%3d",440,0.0124023664953542
"292","Hairy Otter",2,5,"Club","Mixed","Nashville","TN","/teams/events/Eventteam/?TeamId=hVwXtgsmD%2fNP2ca0P6KbQljAtCT%2fUl9kR%2bHg1DXxo4I%3d",155,0.012280988885057
"293","WHUF",1,6,"Beach","Mixed","Woods Hole","MA","/teams/events/Eventteam/?TeamId=IXlPxhhQUQRHm42O9u5M8FP65nF%2b5iM%2fcwSDvueeP6U%3d",436,0.0121758376808307
"294","Stackcats",3,11,"Club","Mixed","Chicago","IL","/teams/events/Eventteam/?TeamId=zp1FK7GcWa1nk0ZLyAQZ5RJ4iTPXujqcjNUfBcKIvvA%3d",371,0.0121532870924295
"295","¡Fiesta!",1,3,"Club","Mixed","San Diego","CA","/teams/events/Eventteam/?TeamId=yLdj%2b5gbzQraXvNp4WTVjn3r6CBotnIh3AB%2fiPjB%2fYg%3d",3,0.0118183328234394
"296","Friend Zone",2,12,"Club","Mixed","Gainesville","GA","/teams/events/Eventteam/?TeamId=UeKpZTGu4z5xExfCuImwuOknld9atYlmcBOBHQucl3A%3d",141,0.0114756459619649
"297","Marcus 2 (Marcus 2)",1,4,"High School","Mixed","Flower Mound","TX","/teams/events/Eventteam/?TeamId=5cZFLlnKBAlKL5oCqfFxohfQAeTtbxl86OiVn60aXv4%3d",224,0.0112875268148959
"298","Mississippi Blues",4,2,"Club","Mixed","Jackson","MS","/teams/events/Eventteam/?TeamId=Tb2dim%2fCg2M8IEaH1oWhZ0uuswQj9hyVIVWmyQgKhn4%3d",246,0.0111942878901756
"299","DR",0,6,"Club","Mixed","Berkeley","CA","/teams/events/Eventteam/?TeamId=V7%2bfVwFbZeqswtWMB0wt%2fut8P8G%2bCHGFIYdpF%2bCHqRk%3d",106,0.01107426538952
"300","NEKUD",3,3,"Club","Mixed","Burke","VT","/teams/events/Eventteam/?TeamId=kDcPFNiWjaTpkgMAGJL0e5%2bM0rf1PsYvZxB9dTVleXg%3d",268,0.0109651244379014
"301","Stormborn",3,10,"Club","Mixed","Washington","DC","/teams/events/Eventteam/?TeamId=d%2bb7jNJ%2bpRF4rRQ9b2WtHzCkJz1ORMNlILwki8pr%2fI8%3d",375,0.0108478491707318
"302","Old DErty People",1,2,"Masters","Mixed","Wilmington","DE","/teams/events/Eventteam/?TeamId=DyVyz5OhcOPNm4PMA3a%2f7sVc%2bIBCkphVRoXLxDIt%2fC4%3d",282,0.0100937605935459
"303","ELevate",3,4,"Club","Mixed","Chicago","IL","/teams/events/Eventteam/?TeamId=Np2QpSWuIhIPROcnNpP1sfEZwkcQt6pEJaoPtVqDkTI%3d",123,0.00979458179856726
"304","Liquid Hustle",3,5,"Club","Mixed","Indianapolis","IN","/teams/events/Eventteam/?TeamId=COn0TmlVNxBgyaC3QSX%2bx31pvpIXnU4RK40dBd7NKOo%3d",202,0.00972382852673525
"305","Beaches & Cream",2,5,"Beach Masters","Mixed","Nashville","TN","/teams/events/Eventteam/?TeamId=7FFB2C9%2bis7XqSd1YyJ8DQrAXXjI5JN3M1G5ijXJJys%3d",32,0.00971669678187808
"306","Serial Crusher Theory",5,3,"Club","Mixed","Twin Cities","MN","/teams/events/Eventteam/?TeamId=Hthg4sia%2bfbUwIkIGMmSqRWHen48oy8tQ2dWn3yBZXo%3d",345,0.00961466608883107
"307","Jabba",6,7,"Club","Mixed","Chicago","IL","/teams/events/Eventteam/?TeamId=Hv%2fZ7nj9Jav%2bqp%2b8tw%2bClEPUPW8kYo0%2fIHvp%2fu0dEdk%3d",180,0.00942308479785798
"308","Spirit Fowl",5,9,"Club","Mixed","Saint Paul","MN","/teams/events/Eventteam/?TeamId=VhQsHfCpfDjunxSBOpGRuGI02ZJIk3QdEXP2IQtA1fM%3d",361,0.00886982458614708
"309","Columbus Alternative High School (Columbus Alternative)",3,9,"High School","Mixed","Columbus","OH","/teams/events/Eventteam/?TeamId=oPChiLFHXqsHht8%2fu24p4YKqurE73ODGJdqhsBsfi2I%3d",86,0.00884233900028154
"310","Westerville North High School (Westerville North)",2,3,"High School","Mixed","Westerville","OH","/teams/events/Eventteam/?TeamId=nu8bHtFqFVSmeqWo5P0VVokSFC9Lsva3tzwaSgdRWRs%3d",433,0.00882612261904933
"311","Rocket LawnChair",5,3,"Club","Mixed","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=CGaIqbUDGfbqI0SwxFdmHptfTgZXnm2ixhHf434C6WM%3d",328,0.00872476975071771
"312","Mixed Results",4,9,"Club","Mixed","Knoxville","TN","/teams/events/Eventteam/?TeamId=G%2bNVeGb3ilGY%2b2tWh8%2fXvXIsJ%2bHLKSxpsFEBp7Bk%2fKE%3d",250,0.00837389260669677
"313","Carolina Reign",3,4,"Club","Mixed","Winston-Salem","NC","/teams/events/Eventteam/?TeamId=6q2LBikwRKNzRuM9%2fo6b71Z1vMAZTI2DTmM59%2fTA6Pc%3d",72,0.00793208757573907
"314","Turnstyle",2,5,"Club","Mixed","New York","NY","/teams/events/Eventteam/?TeamId=3jpCxSWoAvgew9976aTdahXReThQpjgcfyMW3tocmXI%3d",419,0.00737590387368042
"315","Madison MUFAbots",4,1,"Youth Club U-20","Mixed","Madison","WI","/teams/events/Eventteam/?TeamId=gTwpeQ0y2ZbkQEMO6gpeX1pvMhJ%2bzkP3yAxhrXi%2f0sE%3d",219,0.00693516837595001
"316","Love Handles",0,7,"Beach Masters","Mixed","Boston","MA","/teams/events/Eventteam/?TeamId=D3i5zNJUoHMc6%2fjdAaF8DwwowVZ8ZUdx%2bXwCj%2bFzSMg%3d",213,0.00688266022049698
"317","Washtenaw Technical Middle College (A-Team) (Air Raid (A))",1,1,"High School","Mixed","Ann Arbor","MI","/teams/events/Eventteam/?TeamId=3JdGysPBoE%2bYM1pCrD09jw96vg60CFXGhziVmfJTklI%3d",430,0.00626690120995993
"318","Canal Winchester (Canal Winchester)",2,3,"High School","Mixed","Canal Winchester","OH","/teams/events/Eventteam/?TeamId=79NJSxZ9nTcqT2iLbSez%2bFDzpGGOc%2fv%2bE6qF%2bhEpxkw%3d",67,0.00620955312739357
"319","The Strangers",3,7,"Club","Mixed","Westminster","CO","/teams/events/Eventteam/?TeamId=DfhnGl%2fXTnVSqc%2bk%2b3inz7YpTa%2fhpohCdfVvFlZpNno%3d",402,0.0061179340242261
"320","Hammer or Bust",1,5,"Beach","Mixed","OC and Beyond","CA","/teams/events/Eventteam/?TeamId=rgHn1eg9MbL3rFztsGdLd5Tyoo6b%2bfNKeW18yFV7Mnk%3d",156,0.00584960391844367
"321","Land Ho!",2,4,"Beach","Mixed","Saint Louis","MO","/teams/events/Eventteam/?TeamId=xb6qMXcFOHJEM4eSkyGRIty0N4e8SaV17y5FrMNazmw%3d",192,0.00579669323369497
"322","Chalice",0,6,"Club","Mixed","St. Louis","MO","/teams/events/Eventteam/?TeamId=NbC9HHBM89hOcIDb0WARRH6oNZd7lYqNAqdMw3FVe8M%3d",77,0.00575442176655541
"323","Superstition",4,6,"Club","Mixed","Phoenix","AZ","/teams/events/Eventteam/?TeamId=kXICAsDWhVyix73PSHq8Iqq2fpi12VgmN%2b8H10PmIjM%3d",378,0.00565664328127293
"324","I-79",4,11,"Club","Mixed","Pittsburgh/Erie","PA","/teams/events/Eventteam/?TeamId=sJir%2b%2fHISMJU2HHuhsmW0MhSqQQclU8AEI3HW7G6SPY%3d",171,0.00541359817682054
"325","Pink Pear",1,4,"Club","Mixed","NYC","NY","/teams/events/Eventteam/?TeamId=4ZIJCc33Nl1aImFGmh207nkW67mGfu0THO0i400g6Bs%3d",301,0.00538326615146644
"326","Carolina CottonMouth",2,4,"Beach","Mixed","Chapel Hill","NC","/teams/events/Eventteam/?TeamId=ycNIBcg%2bejj%2fiXkqHlGq48BIKnJUtaIsCkThewTmLUc%3d",70,0.00527225586652468
"327","Glitter Bomb",1,6,"Club","Mixed","San Francisco","CA","/teams/events/Eventteam/?TeamId=fJWlXkIsql6CTDsahe4e8PZCKLPYnHIig2Q2YXmh7zY%3d",147,0.00522595216469195
"328","DiscNW - Bankroll",3,1,"Youth Club U-20","Mixed","Seattle","WA","/teams/events/Eventteam/?TeamId=iwLl7kNIBt5okPpQJ0dV82hrCAosTnAWmDAcDPGn0Hc%3d",100,0.00507152421307725
"329","Blitzkrieg",3,7,"Club","Mixed","Kansas City","MO","/teams/events/Eventteam/?TeamId=aSzRihmE9x0JRRrjaJzZiVzR%2blJ0ggwZKkvVwDfWjo4%3d",47,0.00458305090795061
"330","Doppler Effect",4,9,"Club","Mixed","Detroit","MI","/teams/events/Eventteam/?TeamId=IB8cro8pWaVTUX0HoOFFokwu5WIl7kFnuPjQm90Wp1I%3d",104,0.00454400840971357
"331","Swamp City",1,4,"Beach","Mixed","Washington","DC","/teams/events/Eventteam/?TeamId=%2bOpV6M4XqPXdeFxSZfiWKlnliVMJ0138H%2frlMtnQgi0%3d",380,0.0044853944196883
"332","Feral Cows",1,5,"Club","Mixed","Palo Alto","CA","/teams/events/Eventteam/?TeamId=VeYWhvQgFV9FKA8eCRJPlkaSXdIPQV9hWpancK69ESQ%3d",129,0.00440032419264073
"333","#Beez",3,11,"Club","Mixed","Long Island","NY","/teams/events/Eventteam/?TeamId=w2R5nAiyLhsQLf2QjETHCJKeIIFc%2bbApf%2fneWhWKB68%3d",1,0.00427443317430465
