"Rank","Team","Wins","Losses","Rating","City","State"
117,"VIP Club",6,7,0.19762360147105,"Quebec","QC"
118,"TAU",10,4,0.196213259759707,"Winston Salem","NC"
119,"Fable",5,8,0.195582491837729,"Vancouver","BC"
120,"Moontower",11,13,0.19001824919203,"Austin","TX"
121,"Instant Karma",11,9,0.189559644656554,"Tucson","AZ"
122,"Makeshift Returns",5,1,0.184135530458762,"Portland","OR"
123,"Lovebomb",4,4,0.177038436510382,"Ben Avon","PA"
124,"Lawn Patrol",6,10,0.175656097350281,"San Jose","CA"
125,"Sweet Action",8,16,0.174805693291285,"Denver","CO"
126,"Asylum",11,11,0.169547601267148,"Athens","OH"
127,"Friday Night Couch",11,8,0.161296823196198,"Seattle","WA"
128,"Freetail",12,12,0.160672212714656,"San Antonio","TX"
129,"Scarecrow",12,21,0.156327786457263,"Manchester","NH"
130,"Sabotage",9,12,0.148029480622597,"Philadelphia","PA"
131,"The Bandits",11,10,0.146689793688064,"Montclair","NJ"
132,"Legion",14,13,0.146508490511844,"Lynchburg","VA"
133,"panIC",9,8,0.146414973415292,"Iowa City","IA"
134,"LoveShack",13,9,0.1438638380221,"Atlanta","GA"
135,"Tex Mix",11,12,0.142236891357163,"Dallas","TX"
136,"Trash Pandas",11,11,0.139487605943899,"Nashville","TN"
137,"Tyrannis",11,12,0.131190339987497,"Charlottesville","VA"
138,"LORD",14,13,0.128894455875189,"Fairfax","VA"
139,"Boomtown",9,4,0.124955467382717,"Tulsa","OK"
140,"DTH",9,9,0.122733619784496,"Cambridge","MA"
141,"Mad Udderburn",17,12,0.121084705823812,"Madison","WI"
142,"rubber duck ultimate.",10,6,0.116446322431625,"Fayetteville","AR"
143,"Dead Reckoning",7,10,0.116219845937363,"Portland","ME"
144,"Coalition Ultimate",12,10,0.115072905179412,"Minneapolis","MN"
145,"Crush",5,3,0.113046887429132,"Knoxville","TN"
146,"Impact",11,9,0.112435604208114,"Wichita","KS"
147,"Superstition",10,13,0.112225834895914,"Phoenix","AZ"
148,"Mimosas",7,17,0.106694910952542,"Berkeley","CA"
149,"Free Ride",10,12,0.105347548552379,"Columbia","MO"
