"Rank","Team","Wins","Losses","Rating","City","State"
1,"Sockeye",11,3,59.7640326280638,"Seattle","WA"
2,"Revolver",11,2,51.1880374614791,"San Francisco","CA"
3,"Truck Stop",10,3,19.4302800176226,"Washington","DC"
4,"Ironside",13,6,17.4937318143345,"Boston","MA"
5,"HIGH FIVE",8,6,13.086281853863,"Ohio","MI"
6,"Black Penguins Alumni",8,0,11.9524118280943,"Bourbonnais","IL"
7,"Ring of Fire",5,2,11.093898163142,"Raleigh","NC"
8,"Johnny Bravo",8,5,9.33937439909279,"Denver","CO"
9,"Patrol",7,6,8.98415749186396,"Philadelphia","PA"
10,"Dig",6,0,8.66238441500885,"Boston","MA"
11,"Rhino",9,4,5.56767783157128,"Portland","OR"
12,"Sub Zero",3,4,5.17207044030957,"Minneapolis","MN"
13,"PoNY",3,3,4.35242718603809,"New York","NY"
14,"Doublewide",4,3,3.31358424606899,"Austin","TX"
15,"CUS Bologna",1,6,2.9235049940556,"Bologna","Emilia Romagna"
16,"Florida United",6,0,2.74747300633445,"Florida","FL"
17,"Chain Lightning",7,5,2.67047932117112,"Atlanta","GA"
18,"Sprawl",7,0,2.16161473902868,"Phoenix","AZ"
19,"Guerrilla",2,5,2.15393785604929,"Oakland","CA"
20,"Clapham Ultimate",2,5,2.03488241821633,"London","UK"
21,"Voodoo",6,1,2.02190429718792,"Seattle","WA"
22,"Chicago Machine",2,4,1.83106529030625,"Chicago","IL"
23,"Freaks",18,2,1.7873011877457,"Huntsville","AL"
24,"Medicine Men",10,3,1.67878235897322,"Baltimore","MD"
25,"Richmond Floodwall",10,3,1.49200599132966,"Richmond","VA"
26,"SoCal Condors",6,0,1.31030990124801,"Calico","CA"
27,"GOAT",4,2,1.20843998099379,"Toronto","Ontario"
28,"Pittsburgh Temper",5,2,1.06650752068789,"Pittsburgh","PA"
29,"Streetgang",5,2,0.980587354967271,"San Diego","CA"
30,"Inception",9,3,0.973516978510135,"Denver","CO"
31,"Furious George",1,5,0.971596920524051,"Vancouver","BC"
32,"Prairie Fire",4,9,0.967438537942428,"Kansas City","KS"
33,"Madison Club",1,5,0.853721737522413,"Madison","WI"
34,"Inside Rakete",0,7,0.800981018672833,"Darmstadt","Hesse"
35,"Mad Men",10,3,0.543578523850923,"Madison","WI"
36,"Garden State Ultimate",12,8,0.49489076173177,"Princeton","NJ"
37,"Smokestack",8,5,0.485929953035874,"Cleveland","OH"
38,"Reaper Alum",8,0,0.480057601994879,"Charleston","IL"
39,"Lost Boys",13,7,0.461730121095776,"South Carolina","SC"
40,"Ironmen",12,8,0.438496930443114,"Birmingham","AL"
